root,train_dates,test_dates,return_bars_5m,vol_bars,train_vol_bars,test_vol_bars,vol_var_threshold,avg_5m_per_vol_bar,low_size_threshold,high_size_threshold,train_trade_count,all_trade_count
CL,12,9,1620,148,93,55,5.165565296530271e-05,10.945945945945946,1.0,3.0,1017251.0,1733426.0
RTY,13,9,1680,248,113,135,7.381551971414936e-06,6.774193548387097,1.0,3.0,956938.0,1836633.0
SR3,12,9,1589,159,101,58,1.8552209980816494e-08,9.9937106918239,1.0,47.0,579833.0,897868.0
ZB,12,9,1602,159,104,55,1.6958447581914225e-06,10.075471698113208,1.0,22.0,294788.0,460597.0
ZT,12,9,1601,142,90,52,4.539189347553539e-08,11.274647887323944,1.0,51.0,281486.0,426656.0
