frequency,normal_quantile,root,episodes,mean_cum_log_return,median_cum_log_return,tstat_cum_log_return,positive_fraction,mean_flow_signed_return,median_flow_signed_return,tstat_flow_signed_return,flow_continuation_fraction,median_duration_minutes
1h,0.5,GC,86,-4.793482948555401e-05,0.0003037207319418478,-0.11462041619371245,0.5930232558139535,0.000651079217794834,9.66907613308976e-05,1.5793994688460142,0.5232558139534884,180.0
1h,0.5,HG,29,0.0005952561035598848,0.0002444688925511418,0.71253140667161,0.5862068965517241,0.0002885955927391324,-0.00037025609802787685,0.34308259927475915,0.4482758620689655,120.0
1h,0.5,PL,13,-0.003472783861533311,-0.0016958737812311497,-1.4409106193275651,0.3076923076923077,-0.003527645983753521,0.0006397952873395951,-1.4677227479833546,0.5384615384615384,180.0
1h,0.5,SI,36,0.0013185181003792944,0.0,0.9941837014359226,0.4722222222222222,0.0009282146300679558,0.0004904258338191969,0.6949565043805666,0.5833333333333334,180.0
1h,0.75,GC,87,0.0003187951103981396,0.0001551630508176416,1.7037155072933459,0.5632183908045977,-0.00018161005911477757,-0.0004371797121098808,-0.9596886141898949,0.367816091954023,120.0
1h,0.75,HG,29,0.0007913984403140923,0.00012718600971028948,1.3878904141393655,0.5172413793103449,0.0003124083040310127,0.00012718600971028948,0.5326286693936785,0.5172413793103449,120.0
1h,0.75,PL,13,-0.002479300205711077,-0.0016958737812311497,-1.4500798698097759,0.3076923076923077,-0.001333280840838118,0.0015361772696813603,-0.7353505371143157,0.5384615384615384,120.0
1h,0.75,SI,37,0.0006483327615862438,0.0,1.1671687270912663,0.4594594594594595,-0.0010058886200091444,-0.00039840637977217597,-1.8610907064079882,0.40540540540540543,120.0
1h,0.95,GC,88,0.00014037183227347513,9.755349713280737e-05,0.877076834711428,0.5113636363636364,-0.00021734551982162525,-0.00042182997097484076,-1.3664953320028945,0.3409090909090909,60.0
1h,0.95,HG,29,0.0009152342644404661,0.0005125576739584137,1.712556043915012,0.5862068965517241,0.00034139965269215216,0.00012718600971028948,0.6118267549559644,0.5172413793103449,60.0
1h,0.95,PL,13,-0.0005472082772397695,-0.0011399724384109078,-0.8073215585280377,0.23076923076923078,0.0004035606357633516,-0.0003075188379515481,0.5881509938570871,0.46153846153846156,60.0
1h,0.95,SI,37,0.0008585795610677033,0.00016346546828360786,1.747135540708127,0.5135135135135135,-0.0010572402267358446,-0.00022148394331944488,-2.200089616705411,0.4594594594594595,60.0
5m,0.5,GC,706,4.305947705350529e-05,0.0,1.2339725746433363,0.48583569405099153,2.4799940222871037e-05,0.0,0.7101894030815433,0.49008498583569404,20.0
5m,0.5,HG,339,0.00012366092618773061,0.00010382598773794882,1.1939795748006126,0.504424778761062,2.576651095211067e-05,-8.849949118583389e-05,0.24828225305285861,0.41887905604719766,15.0
5m,0.5,PA,110,0.00018851170285727874,0.0,0.4428187701224713,0.4818181818181818,0.00040678605106505764,0.0,0.9587090872364574,0.42727272727272725,15.0
5m,0.5,PL,205,-0.0002561724743922797,0.0,-1.178062283171397,0.4634146341463415,-0.00016915548111449727,-0.00011090778029387849,-0.7764085451853837,0.4146341463414634,15.0
5m,0.5,SI,309,4.7814331860991256e-05,0.0,0.29816217150994156,0.47249190938511326,-0.00016359481793435805,-0.00014774322254806904,-1.0217298415958547,0.4045307443365696,20.0
5m,0.75,GC,760,-1.6212915355606762e-05,-2.9918621894609032e-05,-0.6794893447773819,0.4486842105263158,1.017779779515694e-05,-2.97302988236936e-05,0.4264767218980538,0.4473684210526316,10.0
5m,0.75,HG,366,2.5696231415947795e-05,0.0,0.36571707466961406,0.48633879781420764,3.982039602252207e-05,-0.0,0.5668823292084316,0.4262295081967213,10.0
5m,0.75,PA,114,0.0004881988364814018,0.0,1.7273931131376106,0.4824561403508772,9.657304739346186e-05,0.0,0.3374500412830859,0.43859649122807015,10.0
5m,0.75,PL,217,-9.108100932163361e-05,0.0,-0.7479432791466148,0.4423963133640553,-2.0904042115331223e-05,-9.848820611679798e-05,-0.17145059126134798,0.4055299539170507,5.0
5m,0.75,SI,338,-1.5571196064662424e-05,0.0,-0.18744751544266441,0.47041420118343197,0.00016622102423361504,0.0,2.0128720037160255,0.45857988165680474,10.0
5m,0.95,GC,813,-1.0273760979221856e-05,-3.4190956495372404e-05,-0.6538143254469725,0.4354243542435424,-7.900716265220025e-06,0.0,-0.502741497275961,0.45264452644526443,5.0
5m,0.95,HG,381,6.511767229716596e-05,0.0,1.3993024383549744,0.4645669291338583,-6.22347370839113e-05,0.0,-1.337053308402476,0.3989501312335958,5.0
5m,0.95,PA,118,0.00033657967766284743,0.0,1.144426323452078,0.4491525423728814,0.00019652287672429703,0.0,0.6657587231302824,0.4152542372881356,5.0
5m,0.95,PL,224,-0.00010852052760283528,-0.00010085194846398693,-1.1823081296663076,0.39285714285714285,-4.19390541884065e-05,-0.00010530201910441406,-0.4557037644118232,0.39285714285714285,5.0
5m,0.95,SI,361,-1.2276767105920998e-05,0.0,-0.19755208584509248,0.4515235457063712,3.903312919284105e-05,-0.0,0.6284134940639872,0.4182825484764543,5.0
