variant,ts,GC,SI,HG,PL,PA
EW_1N,2021-01-03 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-03 00:00:00+00:00,0.33949778348378873,0.13742712554838232,0.26072250491114124,0.1333725346419054,0.12898005141478233
LS_MINVAR_G125_B25,2021-01-03 00:00:00+00:00,0.7340734265999717,-0.11078332643430734,0.3290341573861148,-0.009850163820229156,0.057525906268450146
LS_MINVAR_G150_B25,2021-01-03 00:00:00+00:00,0.7340734265999717,-0.11078332643430734,0.3290341573861148,-0.009850163820229156,0.057525906268450146
LS_MINVAR_G200_B25,2021-01-03 00:00:00+00:00,0.7340734265999717,-0.11078332643430734,0.3290341573861148,-0.009850163820229156,0.057525906268450146
MINVAR_30D_SHRINK25,2021-01-03 00:00:00+00:00,0.6203760545634913,0.0,0.3235094048113076,5.2518860605220813e-17,0.05611454062520116
MINVAR_CAP40_SHRINK25,2021-01-03 00:00:00+00:00,0.39999999999999997,0.01651209223191245,0.4,0.056325967522672084,0.12716194024541544
MINVAR_CAP50_SHRINK25,2021-01-03 00:00:00+00:00,0.4999999999999999,0.0,0.42185582559575835,0.0,0.07814417440424161
MINVAR_CAP60_SHRINK25,2021-01-03 00:00:00+00:00,0.5999999999999999,0.0,0.3401565031627229,0.0,0.05984349683727719
EW_1N,2021-01-04 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-04 00:00:00+00:00,0.33769858703258343,0.13628334319757415,0.26178190941168733,0.13479888669637036,0.12943727366178476
LS_MINVAR_G125_B25,2021-01-04 00:00:00+00:00,0.7303832212891698,-0.11239245470682506,0.3334409392458029,-0.008925883661439106,0.05749417783329157
LS_MINVAR_G150_B25,2021-01-04 00:00:00+00:00,0.7303832212891698,-0.11239245470682506,0.3334409392458029,-0.008925883661439106,0.05749417783329157
LS_MINVAR_G200_B25,2021-01-04 00:00:00+00:00,0.7303832212891698,-0.11239245470682506,0.3334409392458029,-0.008925883661439106,0.05749417783329157
MINVAR_30D_SHRINK25,2021-01-04 00:00:00+00:00,0.6155906068113636,0.0,0.32803573697112387,0.0,0.05637365621751257
MINVAR_CAP40_SHRINK25,2021-01-04 00:00:00+00:00,0.4,0.012239409501387136,0.39999999999999997,0.05976953691854511,0.12799105358006774
MINVAR_CAP50_SHRINK25,2021-01-04 00:00:00+00:00,0.5,1.9803532119672696e-17,0.4225990673806964,2.820853102402264e-18,0.0774009326193036
MINVAR_CAP60_SHRINK25,2021-01-04 00:00:00+00:00,0.6,3.192204715495305e-17,0.3407902334609424,0.0,0.05920976653905773
EW_1N,2021-01-05 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-05 00:00:00+00:00,0.33946826485222426,0.13734098995860544,0.26305859436024903,0.1309911519301713,0.12914099889875
LS_MINVAR_G125_B25,2021-01-05 00:00:00+00:00,0.7334760675703057,-0.11321197570217575,0.33460052662832906,-0.010656258534296097,0.05579164003783706
LS_MINVAR_G150_B25,2021-01-05 00:00:00+00:00,0.7334760675703057,-0.11321197570217575,0.33460052662832906,-0.010656258534296097,0.05579164003783706
LS_MINVAR_G200_B25,2021-01-05 00:00:00+00:00,0.7334760675703057,-0.11321197570217575,0.33460052662832906,-0.010656258534296097,0.05579164003783706
MINVAR_30D_SHRINK25,2021-01-05 00:00:00+00:00,0.617879344793343,0.0,0.32795830376142304,0.0,0.05416235144523392
MINVAR_CAP40_SHRINK25,2021-01-05 00:00:00+00:00,0.4,0.01694399701126624,0.4000000000000001,0.05459265768866193,0.12846334530007175
MINVAR_CAP50_SHRINK25,2021-01-05 00:00:00+00:00,0.5,0.0,0.4247417555776507,4.9319475135919306e-17,0.07525824442234932
MINVAR_CAP60_SHRINK25,2021-01-05 00:00:00+00:00,0.6,0.0,0.34263793098551204,4.084498132423137e-17,0.05736206901448801
EW_1N,2021-01-06 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-06 00:00:00+00:00,0.3397207498604733,0.13812039583496577,0.2634660358786097,0.130759470820636,0.12793334760531525
LS_MINVAR_G125_B25,2021-01-06 00:00:00+00:00,0.7335936520429501,-0.11380451008717082,0.3363386467716975,-0.009717066489788134,0.05358927776231127
LS_MINVAR_G150_B25,2021-01-06 00:00:00+00:00,0.7335936520429501,-0.11380451008717082,0.3363386467716975,-0.009717066489788134,0.05358927776231127
LS_MINVAR_G200_B25,2021-01-06 00:00:00+00:00,0.7335936520429501,-0.11380451008717082,0.3363386467716975,-0.009717066489788134,0.05358927776231127
MINVAR_30D_SHRINK25,2021-01-06 00:00:00+00:00,0.6183706008669101,0.0,0.32947973309717693,2.2794510998734426e-17,0.05214966603591306
MINVAR_CAP40_SHRINK25,2021-01-06 00:00:00+00:00,0.4000000000000001,0.018383867877413473,0.4000000000000001,0.05561569275662946,0.1260004393659569
MINVAR_CAP50_SHRINK25,2021-01-06 00:00:00+00:00,0.5,0.0,0.42677111774718235,0.0,0.07322888225281768
MINVAR_CAP60_SHRINK25,2021-01-06 00:00:00+00:00,0.6,6.672917082433839e-17,0.34457893137561685,0.0,0.055421068624383035
EW_1N,2021-01-07 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-07 00:00:00+00:00,0.3321692806638239,0.1395993318582851,0.26326458050241586,0.13519467969980226,0.12977212727567305
LS_MINVAR_G125_B25,2021-01-07 00:00:00+00:00,0.7137469327176672,-0.10898778329821228,0.34872657145118885,-0.009863036586638873,0.056377315715995226
LS_MINVAR_G150_B25,2021-01-07 00:00:00+00:00,0.7137469327176672,-0.10898778329821228,0.34872657145118885,-0.009863036586638873,0.056377315715995226
LS_MINVAR_G200_B25,2021-01-07 00:00:00+00:00,0.7137469327176672,-0.10898778329821228,0.34872657145118885,-0.009863036586638873,0.056377315715995226
MINVAR_30D_SHRINK25,2021-01-07 00:00:00+00:00,0.6053390197922356,3.08600225429884e-17,0.340134947500246,2.3799281057162458e-17,0.05452603270751838
MINVAR_CAP40_SHRINK25,2021-01-07 00:00:00+00:00,0.39999999999999997,0.01551193708896607,0.4,0.05845256245299146,0.12603550045804243
MINVAR_CAP50_SHRINK25,2021-01-07 00:00:00+00:00,0.5,7.573650863472714e-19,0.4261441561197416,1.460793062815496e-19,0.07385584388025836
MINVAR_CAP60_SHRINK25,2021-01-07 00:00:00+00:00,0.6000000000000001,0.0,0.3444942371419253,6.170973710316017e-18,0.055505762858074674
EW_1N,2021-01-08 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-08 00:00:00+00:00,0.33059766230290516,0.14030282515452655,0.26268144072739996,0.13523300097289678,0.13118507084227155
LS_MINVAR_G125_B25,2021-01-08 00:00:00+00:00,0.7112717724543863,-0.10840540695515387,0.34972387336552324,-0.011868161084122497,0.05927792221936681
LS_MINVAR_G150_B25,2021-01-08 00:00:00+00:00,0.7112717724543863,-0.10840540695515387,0.34972387336552324,-0.011868161084122497,0.05927792221936681
LS_MINVAR_G200_B25,2021-01-08 00:00:00+00:00,0.7112717724543863,-0.10840540695515387,0.34972387336552324,-0.011868161084122497,0.05927792221936681
MINVAR_30D_SHRINK25,2021-01-08 00:00:00+00:00,0.6023466261584485,2.1167414766164156e-17,0.34022338026273663,1.093650719942878e-17,0.05742999357881498
MINVAR_CAP40_SHRINK25,2021-01-08 00:00:00+00:00,0.4,0.01586806887227324,0.4000000000000001,0.055027956904773405,0.12910397422295328
MINVAR_CAP50_SHRINK25,2021-01-08 00:00:00+00:00,0.5,0.0,0.4234117162356605,1.7228236520714003e-17,0.07658828376433961
MINVAR_CAP60_SHRINK25,2021-01-08 00:00:00+00:00,0.5999999999999999,0.0,0.3421309120112692,5.410446515314771e-17,0.057869087988730805
EW_1N,2021-01-09 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-09 00:00:00+00:00,0.32673340818021734,0.13922304584194312,0.2652181925252496,0.13523180849835498,0.13359354495423492
LS_MINVAR_G125_B25,2021-01-09 00:00:00+00:00,0.706643220176531,-0.1072093059522271,0.36184934656447265,-0.017790694047772993,0.05650743325899637
LS_MINVAR_G150_B25,2021-01-09 00:00:00+00:00,0.7095409504619629,-0.10922801819604616,0.3622864090076596,-0.01928134318580728,0.05668200191223101
LS_MINVAR_G200_B25,2021-01-09 00:00:00+00:00,0.7095409504619629,-0.10922801819604616,0.3622864090076596,-0.01928134318580728,0.05668200191223101
MINVAR_30D_SHRINK25,2021-01-09 00:00:00+00:00,0.5942833744672793,0.0,0.35243165467288967,6.94891057867407e-18,0.05328497085983109
MINVAR_CAP40_SHRINK25,2021-01-09 00:00:00+00:00,0.4,0.015734981798529966,0.3999999999999999,0.05125386974703467,0.13301114845443543
MINVAR_CAP50_SHRINK25,2021-01-09 00:00:00+00:00,0.5000000000000001,0.0,0.4282270548489214,4.100557829360059e-17,0.07177294515107858
MINVAR_CAP60_SHRINK25,2021-01-09 00:00:00+00:00,0.5942833989058596,6.175536751289653e-17,0.35243163912983405,0.0,0.053284961964306383
EW_1N,2021-01-10 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-10 00:00:00+00:00,0.32446973911011623,0.13738115041476875,0.2691986713476893,0.13402460855551188,0.1349258305719137
LS_MINVAR_G125_B25,2021-01-10 00:00:00+00:00,0.6934772174730286,-0.10627962476382234,0.3733310130267516,-0.018720375236177606,0.05819176950021986
LS_MINVAR_G150_B25,2021-01-10 00:00:00+00:00,0.6967250910890826,-0.10852198492638736,0.37381084173859536,-0.020399861625828273,0.05838591372453758
LS_MINVAR_G200_B25,2021-01-10 00:00:00+00:00,0.6967250910890826,-0.10852198492638736,0.37381084173859536,-0.020399861625828273,0.05838591372453758
MINVAR_30D_SHRINK25,2021-01-10 00:00:00+00:00,0.5808105806511932,0.0,0.3642641715933186,1.3352517676296971e-17,0.05492524775548826
MINVAR_CAP40_SHRINK25,2021-01-10 00:00:00+00:00,0.4000000000000001,0.012410808175766869,0.40000000000000013,0.04999840089353432,0.13759079093069865
MINVAR_CAP50_SHRINK25,2021-01-10 00:00:00+00:00,0.5,2.348831477046234e-19,0.4292507541355749,1.4266404910640193e-17,0.07074924586442519
MINVAR_CAP60_SHRINK25,2021-01-10 00:00:00+00:00,0.5808105801326501,2.272278274575438e-17,0.36426417112395315,0.0,0.054925248743396826
EW_1N,2021-01-11 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-11 00:00:00+00:00,0.3204259239198282,0.134741584553333,0.2773856255589853,0.1321797093167175,0.13526715665113598
LS_MINVAR_G125_B25,2021-01-11 00:00:00+00:00,0.6698394207993331,-0.10635993146377076,0.3982593340349328,-0.01864006853622906,0.05690124516573382
LS_MINVAR_G150_B25,2021-01-11 00:00:00+00:00,0.6725055615574607,-0.10819076545896868,0.39866246733139604,-0.020032120015047866,0.057054856585159644
LS_MINVAR_G200_B25,2021-01-11 00:00:00+00:00,0.6725055615574607,-0.10819076545896868,0.39866246733139604,-0.020032120015047866,0.057054856585159644
MINVAR_30D_SHRINK25,2021-01-11 00:00:00+00:00,0.5571804116167838,1.0384910450095324e-17,0.3890951593167133,0.0,0.053724429066502766
MINVAR_CAP40_SHRINK25,2021-01-11 00:00:00+00:00,0.4,0.008034759264695579,0.4,0.05136548168694873,0.14059975904835548
MINVAR_CAP50_SHRINK25,2021-01-11 00:00:00+00:00,0.5,6.388364593758499e-17,0.43551483935199425,0.0,0.06448516064800568
MINVAR_CAP60_SHRINK25,2021-01-11 00:00:00+00:00,0.5571804154779887,0.0,0.38909515620009455,5.712754403514192e-18,0.05372442832191675
EW_1N,2021-01-12 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-12 00:00:00+00:00,0.3193732067368001,0.135405765959301,0.2786066675641052,0.13016560996993665,0.136448749769857
LS_MINVAR_G125_B25,2021-01-12 00:00:00+00:00,0.6636455767394406,-0.10559447261394922,0.402057969102486,-0.019405527386050815,0.059296454158073546
LS_MINVAR_G150_B25,2021-01-12 00:00:00+00:00,0.6696895069800093,-0.1098347552453053,0.40293805930287796,-0.022430959472530487,0.059638148434948406
LS_MINVAR_G200_B25,2021-01-12 00:00:00+00:00,0.6696895069800093,-0.1098347552453053,0.40293805930287796,-0.022430959472530487,0.059638148434948406
MINVAR_30D_SHRINK25,2021-01-12 00:00:00+00:00,0.5512818675186587,0.0,0.3926736647701013,0.0,0.05604446771123998
MINVAR_CAP40_SHRINK25,2021-01-12 00:00:00+00:00,0.40000000000000013,0.008655319166553365,0.40000000000000013,0.04619679154524722,0.1451478892881992
MINVAR_CAP50_SHRINK25,2021-01-12 00:00:00+00:00,0.5,1.691310937578568e-17,0.4342156755675544,0.0,0.06578432443244557
MINVAR_CAP60_SHRINK25,2021-01-12 00:00:00+00:00,0.5512818691904083,4.1498682007210474e-18,0.3926736631483918,5.644871388019981e-18,0.056044467661199956
EW_1N,2021-01-13 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-13 00:00:00+00:00,0.3187612735818863,0.13654632522176005,0.2772904029700963,0.12960634202477495,0.13779565620148257
LS_MINVAR_G125_B25,2021-01-13 00:00:00+00:00,0.662067466181963,-0.10398388675013728,0.4000346649609976,-0.021016113249862745,0.0628978688570394
LS_MINVAR_G150_B25,2021-01-13 00:00:00+00:00,0.6700124884443803,-0.10961333671195302,0.401182567173201,-0.024898039062178426,0.0633163201565502
LS_MINVAR_G200_B25,2021-01-13 00:00:00+00:00,0.6700124884443803,-0.10961333671195302,0.401182567173201,-0.024898039062178426,0.0633163201565502
MINVAR_30D_SHRINK25,2021-01-13 00:00:00+00:00,0.550307529452894,0.0,0.38988361201507676,3.9177748643984177e-17,0.059808858532029385
MINVAR_CAP40_SHRINK25,2021-01-13 00:00:00+00:00,0.4,0.009279273351437859,0.4,0.041903629701358254,0.14881709694720383
MINVAR_CAP50_SHRINK25,2021-01-13 00:00:00+00:00,0.5,2.0828597451261878e-17,0.43034777727299944,0.0,0.06965222272700067
MINVAR_CAP60_SHRINK25,2021-01-13 00:00:00+00:00,0.5503075370353882,5.704931092203577e-17,0.3898836058869946,0.0,0.05980885707761711
EW_1N,2021-01-14 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2021-01-14 00:00:00+00:00,0.31933802506724385,0.13640336742465248,0.2780016819473229,0.12891020320100902,0.1373467223597718
LS_MINVAR_G125_B25,2021-01-14 00:00:00+00:00,0.6621935846288111,-0.10396553542549979,0.40027594460823746,-0.021034464574500276,0.06253047076295169
LS_MINVAR_G150_B25,2021-01-14 00:00:00+00:00,0.6708907288152575,-0.11013436293577396,0.4015165817925814,-0.02522980998315914,0.06295686231109436
LS_MINVAR_G200_B25,2021-01-14 00:00:00+00:00,0.6708907288152575,-0.11013436293577396,0.4015165817925814,-0.02522980998315914,0.06295686231109436
MINVAR_30D_SHRINK25,2021-01-14 00:00:00+00:00,0.5501079441957621,0.0,0.3900937714875811,1.2808378139890389e-17,0.05979828431665662
