variant,root,mean_weight,median_weight,min_weight,p10_weight,p90_weight,max_weight
EW_1N,GC,0.19999999999999993,0.2,0.2,0.2,0.2,0.2
EW_1N,SI,0.19999999999999993,0.2,0.2,0.2,0.2,0.2
EW_1N,HG,0.19999999999999993,0.2,0.2,0.2,0.2,0.2
EW_1N,PL,0.19999999999999993,0.2,0.2,0.2,0.2,0.2
EW_1N,PA,0.19999999999999993,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,GC,0.3409410966349649,0.3423442027278236,0.20968583811468564,0.29016474799568415,0.3868898669609591,0.43658440721124464
INV_VOL_30D_DAILY,SI,0.17085239745157565,0.17121061079435637,0.1029044779984936,0.1385220023238899,0.19617803910844334,0.26728267999778077
INV_VOL_30D_DAILY,HG,0.2139181152717415,0.20850299669384265,0.06550863332635572,0.17455331231987548,0.2693396833668498,0.3402100785935463
INV_VOL_30D_DAILY,PL,0.16400966005189804,0.1643770839030688,0.09662487296561943,0.13694918486612612,0.18801952900600144,0.2458303171736367
INV_VOL_30D_DAILY,PA,0.11027873058981989,0.10697821539569485,0.06156099571552357,0.08035631169979589,0.14599853541132057,0.18921609779284945
LS_MINVAR_G125_B25,GC,0.7106932139270234,0.75,0.2764070048414079,0.6316167092717353,0.7500000000000001,0.7500000000000002
LS_MINVAR_G125_B25,SI,-0.05186014154252153,-0.0642943926565403,-0.1250000000000001,-0.11467202724019293,0.001168102074219332,0.2044478211290591
LS_MINVAR_G125_B25,HG,0.263546334031182,0.2421348324633522,0.011693201276413046,0.15706814578166683,0.3975573354276559,0.7402091026695021
LS_MINVAR_G125_B25,PL,0.05050059257176931,0.037350098039989975,-0.041775520805716546,-0.011029280727449657,0.1251723374152203,0.3526987053582054
LS_MINVAR_G125_B25,PA,0.027120001012546767,0.01955576118178796,-0.046463611168745034,-0.006811531753350235,0.08141372106787051,0.1569628672863615
LS_MINVAR_G150_B25,GC,0.7121477218012371,0.75,0.2764070058213515,0.6335038460031527,0.7500000000000001,0.7500000000000002
LS_MINVAR_G150_B25,SI,-0.05344116211716161,-0.0642943919428377,-0.16980800462106463,-0.12151204754739917,0.0011681070380073985,0.2044478211539037
LS_MINVAR_G150_B25,HG,0.26399424365288104,0.24231837602019227,0.011693201382530237,0.15706814646656447,0.39866246733139604,0.7447928338842722
LS_MINVAR_G150_B25,PL,0.04967740606156145,0.0373500985364548,-0.04399402638721819,-0.016939119942851667,0.12520852964639761,0.3526987085627992
