variant,split,start_ts,end_ts,nobs_5m,years,cum_log_return,gross_cum_log_return,cost_cum_log_return,total_return_pct,cagr,annual_log_return,annual_vol,sharpe_0rf,max_drawdown,avg_gross_exposure,p95_gross_exposure,avg_short_exposure,active_short_fraction,annual_turnover
EW_1N,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.023916482615861025,-0.023916482615861025,0.0,-2.3632750008473336,-0.011961002435734275,-0.012033110794344866,0.229184285293895,-0.05250408324861444,-0.31577888960066625,1.0,1.0,0.0,0.0,0.0
INV_VOL_30D_DAILY,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.023263774464782346,-0.022443128883736473,0.0008206455810459023,-2.29952591208407,-0.011636479764542683,-0.011704713444933084,0.19271589855965596,-0.06073558815029391,-0.28331439749989384,1.0,1.0000000000000002,0.0,0.0,2.0815675171208925
LS_MINVAR_G125_B25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.006708238201533656,-0.005145421977410074,0.0015628162241235642,-0.6685788199686303,-0.0033694296310272215,-0.003375118942464323,0.1451352860631589,-0.023254985290038728,-0.23397262226078264,1.0890334527524042,1.25,0.04451672637620203,0.9150592216582064,3.8909779150410113
LS_MINVAR_G150_B25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.010142702480082973,-0.008570036110421026,0.0015726663696620684,-1.0091438737306855,-0.005090103812579574,-0.005103102519597696,0.1450885508818084,-0.03517233088746451,-0.2339726230871917,1.0904155322468372,1.2566768489035915,0.04520776612341855,0.9150592216582064,3.9248561987456854
LS_MINVAR_G200_B25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.010142702480082973,-0.008570036110421026,0.0015726663696620684,-1.0091438737306855,-0.005090103812579574,-0.005103102519597696,0.1450885508818084,-0.03517233088746451,-0.2339726230871917,1.0904155322468372,1.2566768489035915,0.04520776612341855,0.9150592216582064,3.9248561987456854
MINVAR_30D_SHRINK25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.009568883350182557,-0.008491615455538157,0.0010772678946444343,-0.9523247264024339,-0.004802826007834742,-0.004814396639351445,0.14442601864872798,-0.03333469055226808,-0.2423658640621087,1.0,1.0,0.0,0.0,3.9296632399308433
MINVAR_CAP40_SHRINK25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.003397643970256062,0.00543955646962211,0.0020419124993660723,0.3403422505145044,0.001710920115177829,0.0017094581586472588,0.17709921769365522,0.00965254494576179,-0.26583076869074607,1.0,1.0000000000000002,0.0,0.0,4.444680472844778
MINVAR_CAP50_SHRINK25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,0.002881359170171814,0.0047497137515251295,0.0018683545813532243,0.28855142753306073,0.0014507508743407712,0.0014496995519728015,0.16647146723824857,0.008708396556017847,-0.25683083575491683,1.0,1.0000000000000002,0.0,0.0,4.139655967694784
MINVAR_CAP60_SHRINK25,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.0038949999722293557,-0.0022934025625214044,0.0016015974097079912,-0.38874242987785074,-0.0019577741656799253,-0.0019596931105046057,0.1574737409376654,-0.01244457075088051,-0.24825300980734133,1.0,1.0000000000000002,0.0,0.0,3.666055917669198
FVD_20D_T1P5_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.2493430222869542,0.04962049539046762,0.2989635176774219,-22.068739406151565,-0.11790195621428529,-0.12545206839846604,0.15120776543443454,-0.8296668364751646,-0.2522209057681958,0.7797095318668923,1.0000000000000002,0.38985476593344615,0.7797095318668923,658.6597404739567
FVD_20D_T2P5_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.09126335806938599,0.10128784020956992,0.1925511982789559,-8.722270802287069,-0.04487912413358116,-0.04591737492304126,0.11617632691275497,-0.3952386526863073,-0.16285748147694434,0.45018330513254373,1.0000000000000002,0.22509165256627187,0.45018330513254373,430.08114170643813
FVD_60D_T2P5_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.19075198018796524,-0.07207388013191049,0.11867810005605473,-17.36624891881877,-0.09151157380608271,-0.09597313069440364,0.13169383680191274,-0.7287594698813552,-0.22562919789212166,0.4524675690919346,1.0000000000000002,0.2262337845459673,0.4524675690919346,259.5556300408762
FVD_120D_T2P5_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.2433955488589989,-0.17648764797179464,0.06690790088720426,-21.60386425858207,-0.11525845253071892,-0.12245971338311999,0.12886066347825795,-0.9503265781631028,-0.25129942063059796,0.4767343485617597,1.0000000000000002,0.23836717428087986,0.4767343485617597,147.99226656406665
FVD_20D_RANK_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.20323825462897363,0.05780966173072437,0.26104791635969804,-18.39162174776534,-0.09720101258318521,-0.10225535564238189,0.15590423480240678,-0.6558856837466952,-0.23785912167159617,0.9984066553863509,1.0000000000000002,0.49920332769317544,0.9984066553863509,599.3237462847932
FVD_60D_RANK_DN,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.25027800838243264,-0.11177239454816693,0.13850561383426577,-22.141569998108814,-0.11831681517193555,-0.12592248837864334,0.15682824652809935,-0.8029324510497633,-0.23000721100599097,0.9999929498025945,1.0000000000000002,0.4999964749012972,0.9999929498025945,317.6785153835048
BLEND_MINVAR_FVD20_T2P5_10,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.017574323054927732,0.0027580646676122894,0.020332387722540025,-1.7420795337035826,-0.008803200081951628,-0.008842177165103231,0.14518397020343618,-0.06090326055082599,-0.23973349480717476,1.0220288656163068,1.0999999999999999,0.011014432808153354,0.3660039481105471,46.937777410574654
BLEND_MINVAR_FVD20_T2P5_20,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.025847602361529935,0.013739905188905686,0.039587507550435615,-2.551641270945517,-0.012920520009898998,-0.013004715951759211,0.1468600491067286,-0.08855176088296285,-0.23741435165126856,1.0481112379342437,1.2,0.024055618967121856,0.3887619853355894,89.94589158121848
BLEND_MINVAR_FVD60_T2P5_10,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.027014976648665718,-0.014069898748415827,0.012945077900249909,-2.6653336055840424,-0.013500102585349375,-0.013592057508676045,0.1447515108176659,-0.09389924451840147,-0.2441955350300845,1.0224996913401971,1.0979277169256667,0.011249845670098428,0.37150310208685844,29.88522624401847
BLEND_MINVAR_FVD60_T2P5_20,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.044805631225857435,-0.01999274332000199,0.024812887905855383,-4.3816684048683,-0.022290881126167554,-0.02254307765113187,0.14626701245710227,-0.15412277363457727,-0.24637088994369993,1.0483916130072741,1.1962898645373874,0.02419580650363711,0.3869853355893965,55.840789248106105
BLEND_MINVAR_FVD20_RANK_10,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.027733243018189663,-0.0005511834875753796,0.027182059530614235,-2.735220721256957,-0.013856541172176835,-0.013953439194401085,0.1453128298568645,-0.09602344960280142,-0.24951971238911363,1.0505377572959527,1.1,0.025268878647976237,0.8528059785673999,63.86203786841016
BLEND_MINVAR_FVD20_RANK_20,2021_2022,2021-01-03 23:00:00+00:00,2022-12-30 21:55:00+00:00,141840,1.9875560879154308,-0.046380619473369564,0.0069062316932144915,0.05328685116658404,-4.532147620772667,-0.02306533495048369,-0.023335502205632866,0.14784761350682646,-0.15783482500754342,-0.2569963315589161,1.1082514712558686,1.2,0.05412573562793427,0.8930062041737169,123.79441249688948
EW_1N,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,-0.08292580723601826,-0.08292580723601826,0.0,-7.9580566851299706,-0.04069938974702077,-0.041550791014395766,0.2008455312604256,-0.20687934032507346,-0.22005487978342686,1.0,1.0,0.0,0.0,0.0
INV_VOL_30D_DAILY,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.04062091376162232,0.04133207185070214,0.0007111580890798756,4.14572286007791,0.020562053331632333,0.020353508211492743,0.17111152495133394,0.118948786280068,-0.17595714709527288,1.0,1.0000000000000002,0.0,0.0,2.0092677723297476
LS_MINVAR_G125_B25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1868396840404562,0.1882068211165194,0.0013671370760632226,20.543401924708,0.09814002319344964,0.09361786063372536,0.12748923557674402,0.734319726761329,-0.1494583617722256,1.161395996181549,1.25,0.08069799809077437,0.9921348077045056,4.065381925059748
LS_MINVAR_G150_B25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.18694104148084373,0.1883410115664534,0.0013999700856096922,20.555620514594732,0.0981957949048269,0.09366864677574396,0.1274261376186979,0.735081895490172,-0.1494583589356474,1.163566981812955,1.2699944821791727,0.08178349090647752,0.9921348077045056,4.13751581492624
LS_MINVAR_G200_B25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.18694104148084373,0.1883410115664534,0.0013999700856096922,20.555620514594732,0.0981957949048269,0.09366864677574396,0.1274261376186979,0.735081895490172,-0.1494583589356474,1.163566981812955,1.2699944821791727,0.08178349090647752,0.9921348077045056,4.13751581492624
MINVAR_30D_SHRINK25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.24273208911906174,0.24376384048356092,0.0010317513644990915,27.472706511584487,0.12932860323456927,0.12162329971378516,0.1311552097771597,0.9273234354962353,-0.15234083982599989,1.0,1.0,0.0,0.0,4.81595441104985
MINVAR_CAP40_SHRINK25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.08003781354107495,0.0814751408645212,0.001437327323446236,8.332803136947433,0.04091874661175763,0.04010373337975676,0.15276916528332524,0.2625119624459589,-0.16893833043826356,1.0,1.0000000000000002,0.0,0.0,3.277791143167536
MINVAR_CAP50_SHRINK25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.11399575812368551,0.11524408793684693,0.001248329813161345,12.074737080234318,0.05878147540277318,0.057118695376022204,0.14414845377393604,0.39624910209303976,-0.16294194229966086,1.0,1.0000000000000002,0.0,0.0,3.0296621131406534
MINVAR_CAP60_SHRINK25,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.1448521946542971,0.14585067145496772,0.000998476800670663,15.586871406673295,0.07527841233851906,0.07257961626984419,0.13781496384177397,0.5266453964547217,-0.1574200232828853,1.0,1.0000000000000002,0.0,0.0,2.544834111035995
FVD_20D_T1P5_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,-0.222664753835062,0.0731899252649313,0.29585467909999336,-19.961687030323457,-0.1055697575825536,-0.11156836407441134,0.11412490502664598,-0.9775987462890967,-0.24944757381204452,0.7788443241643234,1.0000000000000002,0.3894221620821617,0.7788443241643234,661.3100615957613
FVD_20D_T2P5_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,-0.23076712246239914,-0.054576516749204496,0.17619060571319461,-20.607566834772094,-0.10919357903343971,-0.1156281355349158,0.09020279395515167,-1.28186867019225,-0.22815099772338376,0.42022397474117457,1.0000000000000002,0.21011198737058728,0.42022397474117457,395.9148249424127
FVD_60D_T2P5_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,-0.18461044278190808,-0.07178669414730746,0.11282374863460064,-16.857189040488002,-0.08835158890159653,-0.0925008773839757,0.09008920791191875,-1.0267697932744049,-0.21670683646410271,0.42377599706817204,1.0000000000000002,0.21188799853408602,0.42377599706817204,261.69279854151796
FVD_120D_T2P5_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.05861651136809297,0.12030947006501116,0.06169295869691822,6.036852348503303,0.029805942672684053,0.029370379318908995,0.10716062447283882,0.27407809037500785,-0.149420258222693,0.45761887646150917,1.0000000000000002,0.22880943823075459,0.45761887646150917,135.85369864919952
FVD_20D_RANK_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,-0.19204775934339138,0.05616939643339783,0.24821715577678924,-17.47325466812243,-0.09174256148150152,-0.09622741796831473,0.11431365338655484,-0.8417841186731999,-0.23932391827302768,0.9993234243186672,1.0000000000000002,0.4996617121593336,0.9993234243186672,588.5778352291355
FVD_60D_RANK_DN,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.03546299896520927,0.16960982180758105,0.1341468228423717,3.609931067216555,0.017927893708282867,0.0177690842918576,0.11268021791450915,0.1576947987919145,-0.18782579585356152,1.0,1.0000000000000002,0.5,1.0,320.654960559248
BLEND_MINVAR_FVD20_T2P5_10,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.22047276067693355,0.23912357261275216,0.018650811935818558,24.66659659387216,0.11680289399619852,0.1104700443515878,0.1311286921970147,0.8424551675205587,-0.1560068989434532,1.0195107769083276,1.0999999999999999,0.009755388454163698,0.32787139423924,44.40743690529113
BLEND_MINVAR_FVD20_T2P5_20,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.19805138973800512,0.23432126224514316,0.03626987250713802,21.902503758930898,0.10432644380961867,0.0992355960032211,0.1317213408085379,0.753375234370442,-0.1599198295020866,1.0424619342347763,1.2,0.021230967117388023,0.3459838890415883,83.9989193995324
BLEND_MINVAR_FVD60_T2P5_10,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.22503161182355597,0.23734573805151504,0.012314126227959157,25.2362305022338,0.11935687489861345,0.11275430153970199,0.13133972639326613,0.8584935010606431,-0.16388532095356856,1.0170142220700489,1.1,0.008507111035024393,0.320767349585245,30.98523426520165
BLEND_MINVAR_FVD60_T2P5_20,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.20716937416759862,0.23076587525901776,0.023596501091419225,23.019091669863435,0.10938327382170968,0.10380425174664085,0.1321396235902572,0.7855649117672714,-0.17553899023114383,1.0368771359985665,1.2,0.01843856799928314,0.32617995503590785,57.15451411935346
BLEND_MINVAR_FVD20_RANK_10,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.22478066031970403,0.25063412726188217,0.025853466942178018,25.204806225002248,0.11921613389049293,0.11262855982142578,0.13134728360244624,0.8574867841372561,-0.15677486234098115,1.0459099572408759,1.1,0.02295497862043794,0.8630991394803053,63.67373793396341
BLEND_MINVAR_FVD20_RANK_20,2023_2024,2023-01-02 23:00:00+00:00,2024-12-31 21:55:00+00:00,141891,1.9957696402768272,0.2065685872542775,0.25724376977413443,0.05067518251985695,22.94520560661187,0.10904936622504566,0.10350322155698541,0.1325287873458081,0.7809867096038076,-0.16147155243942068,1.1016646277536193,1.2,0.05083231387680966,0.9074148466076073,122.53152145687697
EW_1N,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5132661971394304,0.5132661971394304,0.0,67.0739256661587,0.41868932386469254,0.34973343401298734,0.3436287394009308,1.0177653784799816,-0.3473770232075304,1.0,1.0,0.0,0.0,0.0
