strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_20D_agree_60D_carry_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.08241680767061478,0.15205995824582097,0.1973475770153945,0.04528761876957352,0.07950866312447699,0.07650599606741312,0.04036776540916793,1.8952249472307385,2.6719016059973164,-0.028463262596089778,0.5083832335329341,0.14818408680908693,227.85580263584725
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.07697405527354766,0.12038019338842781,0.16429144984697747,0.043911256458549645,0.062438716475966244,0.0605669415421045,0.0387698932520518,1.5622158448656327,2.202423005728172,-0.030223124895489617,0.508334859864444,0.12918797638984197,220.93090466998706
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.07215172024816695,0.09988311453651469,0.13940388579768018,0.03952077126116552,0.05153840228111513,0.050254236921320354,0.037287480740891284,1.3477509320228516,1.9000688467181823,-0.027402581047533237,0.5076216533124878,0.11557857586135888,198.84103649429744
hf_event_60D_pure_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.11574309080654259,0.038868202419289365,0.05218244585250153,0.013314243433212167,0.01974824315091308,0.01955577639072049,0.02916781415762138,0.6704573844663873,0.9452155876937194,-0.03486506813162593,0.5041115916428093,0.027513067198202686,66.98801364230322
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.1136350817822899,0.03784936527869974,0.05039638673643386,0.012547021457734127,0.019225646004068935,0.019043168396015702,0.028752381792466843,0.6623162050875742,0.9337380951202138,-0.03486506813162593,0.5041568432808041,0.02720521483974422,63.12788622178492
hf_event_60D_pure_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.11717428087986463,0.038569727791263594,0.05188414949585952,0.013314421704595923,0.019595117346439365,0.01940560471514337,0.029487345450472636,0.6580994124322687,0.9277932308526071,-0.03486506813162582,0.5046931407942238,0.02699742947729458,66.98891057992847
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.12065002820078963,0.038962532537669334,0.05012932366840052,0.011166791130731194,0.01979664191348965,0.019603236746155744,0.03860249433463389,0.5078230586920353,0.7159325588576295,-0.02833378789857699,0.4767136095366096,0.02592329371686398,56.18352708950739
hf_event_252D_pure_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.12402707275803722,0.03798760144984716,0.05135713860013992,0.013369537150292786,0.0192965364566459,0.019112719223782482,0.0392839953258103,0.48652686839174625,0.6859090383525255,-0.0283337878985771,0.47743292405638926,0.025288541069717563,67.26621317295701
hf_event_252D_pure_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.1226804850535815,0.03730431636224753,0.05027382141290557,0.012969505050658043,0.018946181352521074,0.01876893768636873,0.0389743804399116,0.48157116224863583,0.6789224485960034,-0.0283337878985771,0.47686914545141085,0.025058511787970535,65.25352984760592
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.08513113367174281,0.023053630334754608,0.03313677088739827,0.010083140552643657,0.011666512579428202,0.011598983533055156,0.025308028420018586,0.4583124114038212,0.6461320962810675,-0.028851975330204782,0.5036024844720497,0.02281874147805766,50.73135099910041
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.08681613085166384,0.023145276017116016,0.03399092551424113,0.010845649497125104,0.0117131613286097,0.011645093266973421,0.02567903496194449,0.4534864057092129,0.6393283591390373,-0.028606196896624247,0.5028422933246711,0.022693906137011548,54.56776572529398
hf_event_60D_agree_120D_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.08807106598984772,0.02219916040446831,0.03329029576094762,0.011091135356479313,0.011231680661465708,0.011169073687752388,0.026002921664845958,0.4295314900268363,0.605556548686249,-0.028708059520156648,0.5033621517771374,0.021613160746452375,55.80287984784274
hf_event_120D_agree_60D_carry_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.08900169204737733,0.012288126781091313,0.04482785250773475,0.03253972572664344,0.006201682116750408,0.006182530825572438,0.03233079460184392,0.19122730825860465,0.2695936188436549,-0.03025759649226878,0.5011089987325729,0.017846943567874016,163.71727029233895
hf_event_120D_carry_tailwind_state_hold,2021_2022,1.0,141840,1.9875560879154308,0.1083756345177665,0.0019860119813833992,0.04063682894464253,0.03865081696325914,0.000999722502711902,0.0009992231129770778,0.03652278130943739,0.02735889976481285,0.03857077141514816,-0.03025759649226878,0.5024069737184491,0.009906236508181253,194.4640314719194
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.08577270163564579,-0.011327678137324246,0.01934081500956554,0.03066849314688979,-0.005683089662632709,-0.0056992998618745055,0.0318235012624271,-0.17909091192940077,-0.252483641006775,-0.03315705797036095,0.49852046687489726,-0.001148676789695639,154.3025292888978
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.08348843767625494,-0.019535357211885478,0.009018660702973379,0.028554017914858846,-0.009780688058997657,-0.009828833173897678,0.03161016044376743,-0.31093904731621275,-0.4383640797391408,-0.041318269944705666,0.498311096098632,-0.00834501795080755,143.66396042089355
