strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_20D_agree_60D_carry_state_hold,full,0.0,704270,9.944558521560575,0.061254916438297814,0.40648685385669825,0.40648685385669825,0.0,0.04172219897455752,0.04087530411484866,0.032436254547532344,1.2601733672717874,3.9739559687287613,-0.045405172258495385,0.5090403337969402,0.09422504725468203,125.24103732132151
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,full,0.0,704270,9.944558521560575,0.058264586025246,0.35015566029243383,0.35015566029243383,0.0,0.03583801951973532,0.035210779798144805,0.030870432519862614,1.1405988489305918,3.5968777958273517,-0.04446976558767801,0.5082614417312472,0.08533305558620505,121.9436511177166
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,full,0.0,704270,9.944558521560575,0.05539068823036619,0.2889518595184961,0.2889518595184961,0.0,0.029482530324476,0.029056278254286104,0.030209883146511348,0.9618136592375909,3.0330788058209475,-0.044723434162831865,0.5069982055883107,0.07407122776685365,110.28197579082067
hf_event_60D_agree_120D_state_hold,full,0.0,704270,9.944558521560575,0.1511011401877121,0.186212600384012,0.186212600384012,0.0,0.018901488229233352,0.01872507462048603,0.039708584866333524,0.4715623758317782,1.4870716734171725,-0.063076092112065,0.5024056532852202,0.017498552885281533,77.40598563044676
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,full,0.0,704270,9.944558521560575,0.14948670254305876,0.14871702275392606,0.14871702275392606,0.0,0.015066992582524402,0.014954612860037578,0.04093845344172743,0.36529501245874507,1.1519576058412206,-0.08404887666162242,0.5019899505124479,0.014125991199947379,76.6004547340604
hf_event_60D_pure_state_hold,full,0.0,704270,9.944558521560575,0.15939909409743422,0.13499902854045404,0.13499902854045404,0.0,0.01366772650833367,0.013575165579021498,0.03848954798578884,0.3526974539694189,1.1122312125922904,-0.0743500676615455,0.5028861571352218,0.012025568193519864,71.08956510989921
hf_event_60D_pure_exhaust_30m_flip5_hold_state,full,0.0,704270,9.944558521560575,0.1577874962727363,0.1226000219015683,0.1226000219015683,0.0,0.01240465979401859,0.012328352398526483,0.03819270424321602,0.3227933879732098,1.0179287581513026,-0.0834562302883668,0.5026411698537683,0.011032622893279486,70.78976731228252
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,full,0.0,704270,9.944558521560575,0.14740795433569512,0.12333195955167531,0.12333195955167531,0.0,0.012479177366298368,0.01240195422293328,0.04083418812244535,0.30371497005756043,0.9577649785326805,-0.08295398072742854,0.5015267543225931,0.011879974912264639,71.9740969160291
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,full,0.0,704270,9.944558521560575,0.15572578698510514,0.11046757784758063,0.11046757784758063,0.0,0.011170270829619477,0.011108344086675978,0.037655415378128956,0.2949999083831096,0.930282036694287,-0.08222994988241794,0.5021108203477611,0.010072449723047664,66.6164169217874
hf_event_120D_carry_tailwind_state_hold,full,0.0,704270,9.944558521560575,0.07897539296008634,0.04665209542266917,0.04665209542266917,0.0,0.004702239342395552,0.004691218350369582,0.034541353488023105,0.13581454913155672,0.4282911003983719,-0.0741207625977316,0.5003775620280475,0.008387647504974682,101.18118067247597
hf_event_120D_agree_60D_carry_state_hold,full,0.0,704270,9.944558521560575,0.05997699745836114,0.04247443954708664,0.04247443954708664,0.0,0.00428025794462375,0.004271123695938715,0.032099333576017575,0.13305957539036903,0.41960329233416394,-0.08103091173561794,0.500189393939394,0.010055501786715585,87.22523941280978
hf_event_252D_pure_state_hold,full,0.0,704270,9.944558521560575,0.09293026822099479,0.053642756377889365,0.053642756377889365,0.0,0.005408756572178769,0.005394181779069197,0.040931665261896746,0.13178505552009964,0.41558409467671337,-0.08971462185356538,0.4852554699914436,0.008196240737362385,35.8693031101108
