strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,HG,0.016457151425598837,164.57151425598838,-0.1689450468390366
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,PL,0.0,0.0,-0.0
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,PA,-0.08083457526258461,-808.3457526258461,0.8298277600282854
hf_event_60D_pure_state_hold,GC,-0.056748293912210326,-567.4829391221033,-0.42036075759763736
hf_event_60D_pure_state_hold,SI,0.03592929875204433,359.29298752044326,0.26614486889642835
hf_event_60D_pure_state_hold,HG,0.15581802370061998,1558.1802370061998,1.1542158887012086
hf_event_60D_pure_state_hold,PL,0.0,0.0,0.0
hf_event_60D_pure_state_hold,PA,0.0,0.0,0.0
hf_event_60D_pure_exhaust_30m_flip5_hold_state,GC,-0.05669598121472664,-566.9598121472663,-0.462446746218741
hf_event_60D_pure_exhaust_30m_flip5_hold_state,SI,0.025661550628748423,256.6155062874842,0.20931114228797834
hf_event_60D_pure_exhaust_30m_flip5_hold_state,HG,0.15363445248754648,1536.344524875465,1.2531356039307624
hf_event_60D_pure_exhaust_30m_flip5_hold_state,PL,0.0,0.0,0.0
hf_event_60D_pure_exhaust_30m_flip5_hold_state,PA,0.0,0.0,0.0
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,GC,-0.0461907571869332,-461.90757186933195,-0.41813858950239335
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,SI,0.012178042425787877,121.78042425787878,0.11024087486185967
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,HG,0.14448029260872594,1444.8029260872595,1.3078977146405337
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,PL,0.0,0.0,0.0
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,PA,0.0,0.0,0.0
hf_event_60D_pure_confirm_30m_momo_exit,GC,-0.2401991574911295,-2401.9915749112947,0.5526397537907354
hf_event_60D_pure_confirm_30m_momo_exit,SI,-0.12556433689663205,-1255.6433689663204,0.2888929542977865
hf_event_60D_pure_confirm_30m_momo_exit,HG,-0.06887617068071306,-688.7617068071305,0.15846729191147815
hf_event_60D_pure_confirm_30m_momo_exit,PL,0.0,0.0,-0.0
hf_event_60D_pure_confirm_30m_momo_exit,PA,0.0,0.0,-0.0
hf_event_252D_pure_state_hold,GC,0.0,0.0,0.0
hf_event_252D_pure_state_hold,SI,0.0,0.0,0.0
hf_event_252D_pure_state_hold,HG,0.053642756377889365,536.4275637788936,1.0
hf_event_252D_pure_state_hold,PL,0.0,0.0,0.0
hf_event_252D_pure_state_hold,PA,0.0,0.0,0.0
hf_event_252D_pure_exhaust_30m_flip5_hold_state,GC,0.0,0.0,0.0
hf_event_252D_pure_exhaust_30m_flip5_hold_state,SI,0.0,0.0,0.0
hf_event_252D_pure_exhaust_30m_flip5_hold_state,HG,0.04627414736195143,462.7414736195143,1.0
hf_event_252D_pure_exhaust_30m_flip5_hold_state,PL,0.0,0.0,0.0
hf_event_252D_pure_exhaust_30m_flip5_hold_state,PA,0.0,0.0,0.0
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,GC,0.0,0.0,0.0
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,SI,0.0,0.0,0.0
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,HG,0.03941276390438897,394.1276390438897,1.0
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,PL,0.0,0.0,0.0
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,PA,0.0,0.0,0.0
hf_event_252D_pure_confirm_30m_momo_exit,GC,0.0,0.0,-0.0
hf_event_252D_pure_confirm_30m_momo_exit,SI,0.0,0.0,-0.0
hf_event_252D_pure_confirm_30m_momo_exit,HG,-0.3715652637742412,-3715.652637742412,1.0
hf_event_252D_pure_confirm_30m_momo_exit,PL,0.0,0.0,-0.0
hf_event_252D_pure_confirm_30m_momo_exit,PA,0.0,0.0,-0.0
hf_event_120D_carry_tailwind_state_hold,GC,-0.026730162599502484,-267.30162599502484,-0.5729681026613388
hf_event_120D_carry_tailwind_state_hold,SI,0.03858561532141535,385.8561532141535,0.8270928662866843
hf_event_120D_carry_tailwind_state_hold,HG,0.08128027224508472,812.8027224508471,1.7422641257307605
hf_event_120D_carry_tailwind_state_hold,PL,-0.046483629544328386,-464.83629544328386,-0.9963888893561055
hf_event_120D_carry_tailwind_state_hold,PA,0.0,0.0,0.0
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,GC,-0.032647087164373464,-326.47087164373465,1.7806082428654748
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,SI,0.0369282637158521,369.282637158521,-2.0141083471272743
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,HG,0.028523321240470068,285.2332124047007,-1.5556934883337725
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,PL,-0.051139292823468685,-511.39292823468685,2.7891935925955704
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,PA,0.0,0.0,-0.0
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,GC,-0.033788395369357446,-337.8839536935745,0.6751748404697718
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,SI,0.024010689811774608,240.10689811774608,-0.47979235136854587
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,HG,0.0037545315749982827,37.54531574998283,-0.07502473051700868
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,PL,-0.04402074552402532,-440.20745524025324,0.8796422414157822
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,PA,0.0,0.0,-0.0
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,GC,-0.07479153655019387,-747.9153655019387,0.2361527969865918
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,SI,-0.005971417411844954,-59.714174118449534,0.018854632339786653
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,HG,0.0016314431474195382,16.31443147419538,-0.005151249461617512
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,PL,-0.23757672853111395,-2375.7672853111394,0.7501438201352391
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,PA,0.0,0.0,-0.0
