strategy,root,side,event_count,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,PL,long_cheap,1555,0.29839228295819936,-1.3447846838458406,-1.9182685040858356,-9.352732910488061,6.783170894314953,0.4925509110396571,0.25,-4.890379826010596
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,GC,short_rich,1187,0.3074978938500421,-0.5215257669302831,-1.216462333993928,-4.595506614987615,4.672323465096804,0.5380511092389779,0.3333333333333333,-3.4960790345010655
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,HG,long_cheap,1201,0.33555370524562866,-0.289541608786062,-1.7283427669180877,-8.182527587612661,9.663227030336055,0.695600888148765,0.3333333333333333,-1.0666004037017822
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,SI,short_rich,489,0.28629856850715746,-0.13322176298827695,-1.1475934105025525,-4.8431745878693,4.698396165020428,0.500852079072938,0.25,-0.3087640037761017
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,GC,short_rich,86,0.5,-4.859625498120498,0.00355449166001328,-35.9974972063028,18.70123661479211,21.25290697674419,3.875,-1.477722326835278
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,PL,long_cheap,154,0.5064935064935064,-0.8837681093543517,0.4511535541453754,-22.0961377666076,12.504376568484647,12.42478354978355,1.9166666666666667,-0.31070811959174954
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,HG,long_cheap,116,0.5172413793103449,1.687875111087389,1.7307260684486516,-25.428944302300238,30.780890724861905,14.438218390804595,2.0,0.6940967023030645
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,SI,short_rich,110,0.5454545454545454,5.514939754540131,0.5838766084545588,-11.750300419175844,22.885201369517485,4.647727272727272,1.8333333333333333,2.571920151571988
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,GC,short_rich,79,0.5063291139240507,-4.9284516022193525,0.15173297632299312,-39.68847383018187,23.59401542348292,22.161392405063292,4.083333333333333,-1.345371111686153
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,PL,long_cheap,144,0.5,-1.0949344451798333,0.09355113776175636,-25.023488003790877,16.377626611484253,12.909143518518517,2.0,-0.36401614295859996
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,HG,long_cheap,110,0.509090909090909,0.8912396292939362,0.34842562166083024,-25.10752007566589,32.328349764184914,14.211363636363638,2.0,0.3447909438173439
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,SI,short_rich,98,0.46938775510204084,4.47206965982672,-0.6171041778398954,-12.035909361647281,20.025303514033084,4.893707482993197,1.9166666666666667,2.0935259910405266
hf_event_120D_agree_60D_carry_state_hold,GC,short_rich,89,0.5280898876404494,-3.7041576075682308,0.3170555842161904,-35.10633008803557,20.29208619037589,20.88951310861423,4.0,-1.1581275884274667
hf_event_120D_agree_60D_carry_state_hold,PL,long_cheap,159,0.4968553459119497,-0.8973163347067884,-0.059345485716368204,-25.344490485224345,18.86141454227633,12.338574423480084,2.0,-0.34110716571714705
hf_event_120D_agree_60D_carry_state_hold,HG,long_cheap,127,0.6141732283464567,4.322034085004086,4.208888540528997,-26.171787270546314,33.78679688845061,14.114173228346457,2.0,1.7249617869755889
hf_event_120D_agree_60D_carry_state_hold,SI,short_rich,119,0.5966386554621849,4.652098747495454,1.3745766760550495,-14.27139911777573,20.282435714915813,4.689075630252101,2.0,2.2910860991197866
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,PL,long_cheap,2122,0.29029217719132894,-1.1704459838876804,-1.7829680006343547,-8.687498098523134,6.469722033044108,0.5232092365692743,0.25,-5.365722259801148
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,GC,short_rich,1608,0.29912935323383083,-0.5215891828185918,-1.1148817495233825,-4.127515857536858,3.952101157265093,0.5430140961857379,0.3333333333333333,-4.553976118418974
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,SI,short_rich,502,0.28884462151394424,-0.10083177555316619,-1.1305704737686981,-4.680830453665848,4.819983169877119,0.4960159362549801,0.25,-0.23825616793134402
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,HG,long_cheap,1459,0.3420150788211104,-0.0395993697811683,-1.6943316694697956,-8.15079852421255,10.426975272490006,0.6920265021704364,0.3333333333333333,-0.15234643252761607
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,GC,short_rich,94,0.5106382978723404,-4.151344922895712,0.12496411449177014,-33.67681987207064,17.498910816998066,27.026595744680847,4.0,-1.4169823903017564
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,PL,long_cheap,174,0.4827586206896552,-2.707475857686719,-0.3408450091779891,-23.574079735345695,13.092649169189603,14.969348659003833,2.583333333333333,-1.0290830962406576
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,HG,long_cheap,153,0.5228758169934641,2.2149741896887862,1.287332964394798,-25.884818664034526,29.927401010988405,13.054466230936818,1.9166666666666667,0.9659558753449138
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,SI,short_rich,115,0.5391304347826087,5.371417751592554,0.396087779735338,-11.064205125827023,21.71333379473429,4.480434782608697,1.8333333333333333,2.614858103165779
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,GC,short_rich,86,0.5116279069767442,-4.363963600983374,0.19353382917098708,-38.36656287222478,21.49145493504684,28.648255813953483,4.625,-1.3312488324715335
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,PL,long_cheap,163,0.48466257668711654,-2.297648227504056,-0.11384180521370744,-24.412435000753824,17.80720839228984,15.604294478527608,2.25,-0.8391134419642555
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,HG,long_cheap,142,0.5,0.7926661255045889,-0.09102049080435552,-29.435616170024172,30.414181828028006,12.855633802816905,2.0,0.31942991792357245
