root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
6Z,South African Rand,FX,3,next_3_vol_bars,2.927993534230865,8.66648976380142,-0.3020487913205016,0.03088907556217927,0.056577007078291684,-0.003960207554911119,0.4470588235294118,0.49382716049382713,0.4117647058823529,85,81,85,0.26094294160229026,0.4108417499027958,-0.03296827718304433,0.0009541349890860307,0.003200957729937115,1.5683243878239495e-05,-0.025687931516112414
6Z,South African Rand,FX,6,next_6_vol_bars,17.209702215667313,-6.456791024574363,12.80453764179549,0.11524570089592377,-0.02652917254567122,0.10623220385752416,0.5365853658536586,0.5384615384615384,0.5121951219512195,82,78,82,0.9688098337221406,-0.21731004398790654,0.8498488389311998,0.013281571574992657,0.0007037969959582391,0.011285281136426573,0.08871652835025255
6Z,South African Rand,FX,12,next_12_vol_bars,4.018234560365226,-35.66603494330092,10.870718005046339,0.01672365457419624,-0.09315847122495384,0.05612096091111944,0.4868421052631579,0.5,0.4868421052631579,76,72,76,0.11777098287789667,-0.7374339368617404,0.46724239136357665,0.0002796806223170911,0.008678500760970542,0.0031495622535873125,-0.0764348166507576
BZ,Brent Crude Oil,Energy,0,same_vol_bar,132.83278228172566,224.93652082359992,83.39818657245294,0.2847076961479788,0.21740591400373663,0.18255951781756047,0.5602836879432624,0.5319148936170213,0.5352112676056338,141,141,142,3.601089910840063,3.2327180586102373,2.432250321130285,0.08105847224588991,0.047265331443800296,0.033327977545780096,0.06730178214424218
BZ,Brent Crude Oil,Energy,1,next_1_vol_bar,-58.99239151140057,148.85745327175215,-87.53495984475785,-0.12530312030571655,0.1372866736125639,-0.18519600903796954,0.44285714285714284,0.5142857142857142,0.41843971631205673,140,140,141,-1.588958349169854,1.367036518117693,-2.5058254285192056,0.015700871958348794,0.018847630751602673,0.034297561763592,-0.011983553306847333
BZ,Brent Crude Oil,Energy,3,next_3_vol_bars,-70.31143805337398,299.7899708440211,-127.65697061876256,-0.10192482088142443,0.18524046256689222,-0.17986909553972527,0.427536231884058,0.5217391304347826,0.4172661870503597,138,138,139,-1.4302772385241573,1.7119166432867012,-2.531802487242101,0.010388669111710325,0.03431402897199587,0.03235289153027887,-0.08331564168546779
BZ,Brent Crude Oil,Energy,6,next_6_vol_bars,-66.93869132695657,227.718648907052,-111.33125886612505,-0.07622248472836,0.1159822857812248,-0.12510952586691387,0.4740740740740741,0.5185185185185185,0.4485294117647059,135,135,136,-1.2342636371883142,1.3191485202247206,-1.870048683132388,0.005809867178165007,0.013451890615037487,0.01565239346264402,-0.03975980105286479
BZ,Brent Crude Oil,Energy,12,next_12_vol_bars,58.902951773165306,339.6083092031368,-7.031555154919917,0.05350221931870333,0.13551215728995572,-0.00619699250833363,0.4806201550387597,0.5736434108527132,0.43846153846153846,129,129,130,0.7188334369399498,1.4127902279813633,-0.07426171040480345,0.0028624874720268867,0.01836354477337765,3.8402716148300264e-05,-0.08200993797125239
CL,WTI Crude Oil,Energy,0,same_vol_bar,528.9885478273042,409.4196046486288,421.0211057793352,0.5771484596101577,0.227857354531634,0.4608301206326703,0.6344827586206897,0.5625,0.6137931034482759,145,144,145,7.6841563854627335,2.4723926269564283,6.390717785268958,0.33310034443037806,0.051918974014154684,0.2123644000823215,0.3492911050785237
CL,WTI Crude Oil,Energy,1,next_1_vol_bar,-38.897108074640734,1.403774165836756,-39.79268732812781,-0.04238398226567705,0.0007550193478747816,-0.042961321814553644,0.5069444444444444,0.46153846153846156,0.5,144,143,144,-0.49646558937955204,0.011177794282604975,-0.45505326039812405,0.0017964019526971464,5.700542159425837e-07,0.0018456751720535847,0.04162896291780227
