horizon_vol_bars,horizon,feature,assets,median_abs_corr,mean_abs_corr,median_abs_tstat,assets_abs_t_gt_2,median_hit_rate,mean_r2,median_r2
0,same_vol_bar,low,30,0.1385477637466302,0.15184833288240757,1.5917865917994412,11,0.5351882160392798,0.03289385323494564,0.01924076925213969
0,same_vol_bar,high,30,0.3936625703423816,0.3813906913789616,4.793131575654154,23,0.6104102167182663,0.17795934551178524,0.15507334959469116
0,same_vol_bar,spread,30,0.20789219232305178,0.23903913086511905,2.4103970164751924,18,0.5646008403361344,0.07941020756123814,0.043551712680698296
1,next_1_vol_bar,low,30,0.06606035482116475,0.08364432577364005,0.774893481008019,3,0.46126568466994,0.010957875668118925,0.004364150382465903
1,next_1_vol_bar,high,30,0.05358895138619854,0.060181186495349086,0.56193169610234,1,0.47605019094380796,0.006167412309926083,0.0028759651293578936
1,next_1_vol_bar,spread,30,0.05385654018329776,0.0694786894139276,0.6508070593717067,3,0.47756410256410253,0.008322983493644106,0.0029043438194502613
3,next_3_vol_bars,low,30,0.06561975706270519,0.09485563403085394,0.7130210605282951,3,0.4888490641178813,0.01502387407802633,0.004306743927235235
3,next_3_vol_bars,high,30,0.06233293578818391,0.06787796122238783,0.6779009659472344,1,0.4825721153846154,0.007233095680289263,0.0038859168365494856
3,next_3_vol_bars,spread,30,0.06534240010284348,0.0732777061693693,0.6850245835217317,3,0.49381868131868134,0.008514255489902652,0.004270199207312253
6,next_6_vol_bars,low,30,0.10335092722104967,0.1140478441479099,1.1296195380987293,4,0.49789915966386555,0.019649800478492976,0.010685805869735387
6,next_6_vol_bars,high,30,0.0724940661822494,0.08068788564110489,0.7597470467750567,2,0.4881410256410256,0.009100695933229123,0.005268371332197153
6,next_6_vol_bars,spread,30,0.07083771504518052,0.08078347158156216,0.6124085798728389,3,0.4847287275565964,0.011853066811061937,0.005044427823417186
12,next_12_vol_bars,low,30,0.08935993541868413,0.11743463229487396,0.9167959183170893,5,0.5040322580645161,0.021700223825782163,0.00799295229104613
12,next_12_vol_bars,high,30,0.0821281952595502,0.08698323053939776,0.8746948148088955,4,0.4917870657034744,0.01102089079066194,0.006751407173356705
12,next_12_vol_bars,spread,30,0.0858525094092315,0.10921970647257678,1.0483902758766879,3,0.49381547393664016,0.02085283428990681,0.007371429413660924
