,rpc1,rpc2,rpc3
0,-0.7486421436928199,0.8146480596921293,-0.8085930311883999
46,-1.0891195520075618,0.03021344927123676,-0.8568611125535887
93,2.0381837294438325,-1.347633681726816,-1.1893840304963965
139,2.522590252769601,-0.274859155514069,-0.06044296378104218
185,-1.3230968761172015,-0.2017037033329442,-0.1713705640151236
231,3.7939009398239953,-0.0048110333914932624,-1.0952479618911213
278,1.2191806594833037,1.506903074404175,-0.4233178283118595
324,-1.215521304893198,0.4687042396011461,-0.7695577368245105
370,0.6453193233149476,2.0970613698058314,-0.4183930308278851
417,-2.0742382760718674,-0.03944998665627118,-1.126453146964732
463,1.6534214382683698,-1.8627889213878912,-0.27748188833587717
509,0.20407596613202061,0.9184121452287207,-0.40307298152126775
556,-0.011278967010331153,-0.19685663788255234,-0.8982108052020078
602,1.0875490994091068,-0.08052987893883001,0.6692396536346351
648,3.4320435708993253,-0.1479620709626908,-0.17578295332103255
694,-0.5401337602290538,0.17763859570113227,-0.7690686563156522
741,1.1135386646601635,-0.4288131151827313,-1.1998081149118098
787,0.09694212007429559,0.20777819136685088,-0.2824167664218592
833,-0.5325555745718369,0.02370785292977578,-0.517304728016099
880,5.820436689290865,-4.5919550661819075,0.03639043651890798
926,-1.5515421078857337,-0.22041834684246578,-0.034415999324442496
972,0.8926247571651872,-0.7671231619161415,0.5483747568081374
1019,3.199653133081085,2.0653354941036293,-0.810491650589024
1065,-1.6176766797638806,-0.06941815534931127,-0.2644794182406103
1111,1.3524068379185215,1.35722152484423,0.5168695200725617
1157,3.4365432796376068,0.4213043115357614,-1.4559319637679085
1204,2.8235969176137368,-2.2786439298027164,-0.7921463258538051
1250,-1.351686416954153,-0.4252884183931261,-0.8144663100644706
1296,-0.24339098465007936,-0.5052605249265385,-0.20164551631495367
1343,2.232856396244909,-2.4249910369964116,-0.6788177442124965
1389,-2.0793210869356176,-0.04330326048906116,-1.137929098600552
1435,-0.4459422626673408,-0.6658564871242422,-0.5892779243187417
1482,1.7582855994725533,-1.2511823088860978,-0.3751859650266627
1528,4.9087257612600945,-0.12887056449055606,-0.21769374700108038
1574,0.43649874046441306,-0.39592110082667553,-0.588253016530224
1620,-1.5847740395874927,0.5567529840701597,-1.1947552871417257
1667,2.2712727102335903,-2.8273985035618905,-1.0301953046860022
1713,7.455260847703176,-3.0335057591583277,-0.4870291453511827
1759,1.516223776527991,-1.6337717512487389,-0.7427213746032805
1806,-1.5135285170281139,0.1700914252982031,-0.7171750725890815
1852,1.0238502215023577,-2.2771779193734543,0.0019477616208043516
1898,-0.3116989773996105,1.3746937472717062,0.06426357628834736
1945,-0.7788090430887766,-0.10797179070634425,-0.5086804326022488
1991,-0.9822123823618549,0.2783554716184736,-0.5857378335369986
2037,0.5832761579478626,0.6309506280695312,-0.5302058693500354
2083,-0.29851395805441033,-0.08437572495972966,-0.25108364106993997
2130,3.309105401097604,-2.6496726070758894,-1.4455770674981125
2176,3.2291457496697147,-0.8737790934182164,-0.24344475589683356
2222,3.167255841336518,0.4784353018481602,-0.7809174288408222
2269,1.15524968648177,-0.04645120642448263,-0.22916267764740633
2315,-1.176791719578352,-0.7816868461989193,-0.9708878006688947
2361,-0.5524019828036877,-0.11980799627509535,0.9163663513328829
2408,2.570270179482217,-0.9357960450813252,-0.9841183727786702
2454,-1.6496359377749692,-0.2883398357533431,-0.7260422585242079
2500,-0.07500167971490046,0.40260908716383315,-0.42344504796832
2546,4.853503193079664,4.818067916177121,-0.6923071055566118
2593,-0.32155738275829543,0.7894912764834974,-0.0719319246546262
2639,-0.8684571063897032,-0.5804634133926222,-0.8014233153054614
