root,trades,start_ts,end_ts,symbol_count,notional,signed_ratio,side_n_notional_share,median_trade_size,p99_trade_size,median_trade_notional,p99_trade_notional,exact_duplicate_extra_rows
GC,32866642,2025-06-23 00:00:00.067470+00:00,2026-06-21 23:59:56.082051+00:00,40,20654207209430.0,-0.0018136740941040357,0.04802932929747521,1.0,7.0,455320.0,2703760.0,94556.0
SI,12784246,2025-06-23 00:00:00.293375+00:00,2026-06-21 23:59:52.143142+00:00,32,6037136990350.0,-0.0009768158415862144,0.04651991812491869,1.0,7.0,379400.0,2088400.0,43878.0
HG,6559819,2025-06-23 00:00:00.969424+00:00,2026-06-21 23:59:56.506287+00:00,38,1454721690537.5,-0.006357382238579881,0.07498946914353986,1.0,7.0,148800.0,1024362.5000000001,21027.0
PL,5127976,2025-06-23 00:00:04.952303+00:00,2026-06-21 23:58:25.144921+00:00,23,623400057595.0,0.0010469797476727646,0.0723844417244435,1.0,6.0,97325.0,502260.00000000006,9508.0
PA,1028491,2025-06-23 00:01:36.730638+00:00,2026-06-21 23:55:48.277942+00:00,23,210607909450.0,-0.0047615851779682535,0.03634703971940499,1.0,5.0,156100.0,768500.0,1764.0
ALI,112563,2025-06-23 00:10:43.178975+00:00,2026-06-21 23:50:52.149488+00:00,24,19757275462.5,0.006047565881580369,0.07199672546955561,1.0,10.0,81512.5,750437.5,26.0
