threshold,threshold_m,bars,bars_per_day,median_duration_seconds,mean_duration_seconds,median_trades,mean_trades,median_dominant_share,mean_hhi
100000000.0,100.0,288188,791.7289105380693,46.081430499999996,108.22077241168266,201.0,202.92161366885506,0.7444952978683053,0.6098568422494092
250000000.0,250.0,115704,317.8707837072877,120.3022885,271.5159311186476,501.0,505.4224227338726,0.7375175868648103,0.597412394335852
500000000.0,500.0,57924,159.1331390316138,248.12749150000002,542.5867603278434,1002.0,1009.5885643256681,0.7340550765129812,0.5906508918791737
1000000000.0,1000.0,28981,79.62125293138628,512.032714,1084.837635259446,2002.0,2017.8199164970154,0.7319299440136756,0.5853338771314753
