signal,root,horizon,mechanism,beta,tstat,correlation,sign_agreement,observations
GC_signed_notional_share,GC,1,mean_reversion,-1.2289199221851481e-05,-0.590312957234045,-0.001896071320374748,0.43131712248919335,96931
GC_signed_notional_share,GC,2,momentum,2.2979538694770908e-07,0.007803466125665905,2.5187284061606046e-05,0.47692964818885497,95989
GC_signed_notional_share,GC,5,momentum,3.772939085574797e-05,0.8002362672797542,0.0026204789515798963,0.4979358117889274,93257
GC_signed_notional_share,GC,10,momentum,0.00014077419109695557,2.0636901204562674,0.006911556678003918,0.5019685701786856,89151
GC_signed_notional_share,GC,20,momentum,0.0001500387596297089,1.4932331696725458,0.005204475631670385,0.5009900508995493,82319
GC_signed_notional_share,GC,50,momentum,4.6048129083985705e-05,0.26949576008702075,0.001034107421341976,0.501089549162225,67918
GC_signed_notional_share,SI,1,mean_reversion,-5.390136998752614e-05,-1.1502465266670285,-0.0036945461886099674,0.42294002950552456,96931
GC_signed_notional_share,SI,2,mean_reversion,-6.467125563970024e-05,-0.9778304232165803,-0.003156132105686556,0.4721061788329913,95989
GC_signed_notional_share,SI,5,mean_reversion,-1.2803417829314348e-05,-0.12139822107437731,-0.00039753578188882806,0.491984515907653,93257
GC_signed_notional_share,SI,10,momentum,0.00020840471234580903,1.3695229071128776,0.004586765046880196,0.4982557683032159,89151
GC_signed_notional_share,SI,20,momentum,0.0003058532219631203,1.3537876976318823,0.004718467427499031,0.49817174649837825,82319
GC_signed_notional_share,SI,50,mean_reversion,-0.00012078645632967983,-0.30952261307698337,-0.0011876980051163646,0.4998233163520716,67918
GC_signed_notional_share,HG,1,momentum,2.655240159975215e-05,1.0480915270558548,0.0033664322842775047,0.4129948107416616,96931
GC_signed_notional_share,HG,2,momentum,3.8423886846665353e-05,1.072447384202779,0.0034615226937792115,0.46276135807227914,95989
GC_signed_notional_share,HG,5,momentum,3.2386603221786694e-05,0.5661637399695949,0.0018539808411292115,0.48856386115787553,93257
GC_signed_notional_share,HG,10,momentum,0.0001331234307574429,1.6076315460957675,0.00538420995307918,0.497066774349138,89151
GC_signed_notional_share,HG,20,momentum,6.514110692711142e-05,0.54338911633709,0.001893936393645467,0.4940657685346032,82319
GC_signed_notional_share,HG,50,momentum,9.906342330724076e-05,0.4847051825338659,0.0018599054297270433,0.49487617421007685,67918
GC_signed_notional_share,PL,1,momentum,5.1595932253609775e-05,1.1650904661229915,0.0037422236695211384,0.4300172287503482,96931
GC_signed_notional_share,PL,2,momentum,2.4030389551407945e-05,0.3874020941604116,0.0012504185716193503,0.47510652262238384,95989
GC_signed_notional_share,PL,5,momentum,1.373040917219906e-05,0.14059831168631712,0.00046040920341609506,0.4955124012138499,93257
GC_signed_notional_share,PL,10,momentum,0.00011075704537327148,0.7936404235717381,0.0026580552753116805,0.4986932283429238,89151
GC_signed_notional_share,PL,20,momentum,0.00011451883960211777,0.56702397494794,0.001976313361354335,0.49707843875654467,82319
GC_signed_notional_share,PL,50,momentum,2.3662981801968255e-05,0.0685718757263957,0.00026312369820432593,0.5010159309755882,67918
GC_signed_notional_share,PA,1,momentum,0.00036115959444401,7.672675739176259,0.024637017602688358,0.38138469633037936,96931
GC_signed_notional_share,PA,2,momentum,0.00038597852207020985,5.849090824911066,0.018875774211577177,0.44910354311431516,95989
GC_signed_notional_share,PA,5,momentum,0.0004136008153426444,3.9984944343293467,0.013092518834920712,0.4800497549781786,93257
GC_signed_notional_share,PA,10,momentum,0.0004276248477624025,2.9262488548833314,0.009800137348564403,0.4903254029679981,89151
GC_signed_notional_share,PA,20,momentum,0.0004913173138511738,2.3413508559751968,0.008160321525079242,0.4902513393019837,82319
GC_signed_notional_share,PA,50,momentum,0.0004782336731020561,1.3373335489057525,0.0051315429905927044,0.49646632704143234,67918
GC_signed_notional_share,ALI,1,momentum,0.0001049424747809277,5.333404763394305,0.01712846489819776,0.11119479206429449,96929
GC_signed_notional_share,ALI,2,momentum,0.00019687408417836687,7.065786708339472,0.022800581428092055,0.17939929365434903,95987
GC_signed_notional_share,ALI,5,momentum,0.00038372220229029874,8.524029461833873,0.027902583038890087,0.2998659589298161,93255
GC_signed_notional_share,ALI,10,momentum,0.0006420190929569826,9.865518415679281,0.03302399414752544,0.3984004307395484,89149
GC_signed_notional_share,ALI,20,momentum,0.0009671899143674777,10.156122976269753,0.03537663561543291,0.4637802641009755,82317
GC_signed_notional_share,ALI,50,momentum,0.0010903883592781704,6.62062617031588,0.025396444277890035,0.4986748726405371,67918
GC_abs_signed_notional_share,GC,1,momentum,2.553274311235738e-05,0.8074064357835198,0.0025933664030088122,0.43958073268613757,96931
GC_abs_signed_notional_share,GC,2,momentum,2.4440878814455103e-05,0.5464206941193771,0.0017636818841081144,0.48526393649272315,95989
GC_abs_signed_notional_share,GC,5,momentum,0.00010528640915999914,1.4709417463011731,0.004816752953809676,0.5065035332468341,93257
GC_abs_signed_notional_share,GC,10,momentum,0.00010454503427944931,1.010224705874735,0.0033834305122210427,0.5105158663391325,89151
GC_abs_signed_notional_share,GC,20,momentum,0.00012186338389238288,0.7997897926647786,0.0027875932392104593,0.5149600942674231,82319
GC_abs_signed_notional_share,GC,50,momentum,0.00018380230484269468,0.7098918223048986,0.0027239837484285363,0.5140169027356518,67918
GC_abs_signed_notional_share,SI,1,momentum,6.053548879310821e-05,0.8504233117986852,0.0027315343748731706,0.4347938224097554,96931
GC_abs_signed_notional_share,SI,2,momentum,7.006471096162125e-05,0.6974513618906137,0.0022511613149299703,0.48243027846940795,95989
GC_abs_signed_notional_share,SI,5,momentum,0.00019869109744256134,1.2409364471455693,0.004063590078810545,0.5064391949129824,93257
GC_abs_signed_notional_share,SI,10,momentum,0.00030853571891381083,1.3364970866602208,0.004476158203047588,0.5137351235544189,89151
GC_abs_signed_notional_share,SI,20,momentum,0.0004027438211545733,1.175568269797452,0.0040973158398819815,0.5183979397222999,82319
GC_abs_signed_notional_share,SI,50,momentum,0.0008836013126393493,1.4942980248091107,0.005733819712319409,0.5151358991725316,67918
GC_abs_signed_notional_share,HG,1,mean_reversion,-1.979938675632288e-05,-0.5144943302886262,-0.0016525443897440685,0.4173587397220703,96931
GC_abs_signed_notional_share,HG,2,mean_reversion,-6.019417984692721e-05,-1.1060958662557718,-0.0035701280425968016,0.4667618164581358,95989
GC_abs_signed_notional_share,HG,5,mean_reversion,-6.74698718372843e-05,-0.7769058134283148,-0.0025440808125461742,0.4894002594979465,93257
GC_abs_signed_notional_share,HG,10,mean_reversion,-9.624620309836652e-05,-0.7661464214440519,-0.002565973161784984,0.49477852183374277,89151
GC_abs_signed_notional_share,HG,20,mean_reversion,-0.00028360075864319385,-1.5600965845619443,-0.005437512877394685,0.49854833027612094,82319
GC_abs_signed_notional_share,HG,50,mean_reversion,-7.40257795786338e-05,-0.2390268272010152,-0.0009171923299420849,0.4968638652492712,67918
GC_abs_signed_notional_share,PL,1,momentum,1.2832621991268988e-05,0.1907620349481206,0.0006127241513552639,0.4364547977427242,96931
GC_abs_signed_notional_share,PL,2,momentum,3.982748502725585e-05,0.4227148481645926,0.00136439742026627,0.4805446457406578,95989
GC_abs_signed_notional_share,PL,5,momentum,0.00014048131323889622,0.9475418602597828,0.003102846215009779,0.5009811595912371,93257
GC_abs_signed_notional_share,PL,10,momentum,0.00030073719878111676,1.4205089302847322,0.004757522110913074,0.5049298381397853,89151
GC_abs_signed_notional_share,PL,20,momentum,0.0003748837435449473,1.2240716814412604,0.004266366210038984,0.50538757759448,82319
GC_abs_signed_notional_share,PL,50,momentum,0.000746298013088016,1.4272341764418301,0.005476494730597399,0.5003386436585294,67918
GC_abs_signed_notional_share,PA,1,mean_reversion,-1.863161797475718e-05,-0.2604964960852768,-0.0008367098234665765,0.3766081026709721,96931
GC_abs_signed_notional_share,PA,2,momentum,1.017465081902005e-05,0.10149175991368252,0.00032758541003978883,0.4449676525435206,95989
