feature,root,horizon,spearman_ic,pvalue,observations
entropy,GC,1,0.002002668034941024,0.5329572381314298,96931
entropy,GC,2,0.0009045080800874571,0.7792995711357671,95989
entropy,GC,5,-0.00012820139704120486,0.968771092499395,93257
entropy,GC,10,-0.0009355701592853459,0.779983740417502,89151
entropy,GC,20,0.0008660388465706357,0.8037677060165845,82319
entropy,GC,50,-0.00758930360562581,0.04794600090788485,67918
entropy,SI,1,0.009203045760086672,0.004166453931935347,96931
entropy,SI,2,0.010076646977822358,0.0017963023649118046,95989
entropy,SI,5,0.013761267668173942,2.639134770131091e-05,93257
entropy,SI,10,0.011875134800256931,0.0003914638547814933,89151
entropy,SI,20,0.01588772729409151,5.149278996782242e-06,82319
entropy,SI,50,0.006747328124829782,0.07867702941898218,67918
entropy,HG,1,0.002771114500949396,0.3882792146964513,96931
entropy,HG,2,0.004439151337175967,0.16902891222390717,95989
entropy,HG,5,0.0029935884941273464,0.36062641066301054,93257
entropy,HG,10,0.00041246039931488424,0.9019872224687848,89151
entropy,HG,20,0.0032018981891164962,0.3582764562380207,82319
entropy,HG,50,0.007244610619249933,0.05902407828396951,67918
entropy,PL,1,0.004074508864398727,0.20460658348604777,96931
entropy,PL,2,0.001873366980522336,0.5616440793347668,95989
entropy,PL,5,0.006213586759109095,0.05776216716143703,93257
entropy,PL,10,0.002019649087988857,0.5464938469679534,89151
entropy,PL,20,-0.002074892426535474,0.5516396409422054,82319
entropy,PL,50,-0.013845619948034306,0.000308061642305937,67918
entropy,PA,1,0.0037513152526655724,0.24284148640409833,96931
entropy,PA,2,0.0026103097086895154,0.4186765717749409,95989
entropy,PA,5,0.0032130060924432462,0.32650523071625714,93257
entropy,PA,10,0.001447048956933032,0.6657004009309289,89151
entropy,PA,20,0.001748508657174631,0.6159050048857277,82319
entropy,PA,50,-0.011912201250079885,0.0019059993033000882,67918
entropy,ALI,1,-0.0019221657982163695,0.5495538301550429,96929
entropy,ALI,2,-8.440055409120746e-05,0.9791389374665382,95987
entropy,ALI,5,0.0031220801929169495,0.34038721174925796,93255
entropy,ALI,10,0.0035722984141148585,0.28615284949442366,89149
entropy,ALI,20,0.003467846300247658,0.3197627421539664,82317
entropy,ALI,50,-0.0026948524693851984,0.48249454756388166,67918
entropy_normalized,GC,1,0.002002668034941024,0.5329572381314298,96931
entropy_normalized,GC,2,0.0009045080800874571,0.7792995711357671,95989
entropy_normalized,GC,5,-0.00012820139704120486,0.968771092499395,93257
entropy_normalized,GC,10,-0.0009355701592853459,0.779983740417502,89151
entropy_normalized,GC,20,0.0008660388465706357,0.8037677060165845,82319
entropy_normalized,GC,50,-0.00758930360562581,0.04794600090788485,67918
entropy_normalized,SI,1,0.009203045760086672,0.004166453931935347,96931
entropy_normalized,SI,2,0.010076646977822358,0.0017963023649118046,95989
entropy_normalized,SI,5,0.013761267668173942,2.639134770131091e-05,93257
entropy_normalized,SI,10,0.011875134800256931,0.0003914638547814933,89151
entropy_normalized,SI,20,0.01588772729409151,5.149278996782242e-06,82319
entropy_normalized,SI,50,0.006747328124829782,0.07867702941898218,67918
entropy_normalized,HG,1,0.002771114500949396,0.3882792146964513,96931
entropy_normalized,HG,2,0.004439151337175967,0.16902891222390717,95989
entropy_normalized,HG,5,0.0029935884941273464,0.36062641066301054,93257
entropy_normalized,HG,10,0.00041246039931488424,0.9019872224687848,89151
entropy_normalized,HG,20,0.0032018981891164962,0.3582764562380207,82319
entropy_normalized,HG,50,0.007244610619249933,0.05902407828396951,67918
entropy_normalized,PL,1,0.004074508864398727,0.20460658348604777,96931
entropy_normalized,PL,2,0.001873366980522336,0.5616440793347668,95989
entropy_normalized,PL,5,0.006213586759109095,0.05776216716143703,93257
entropy_normalized,PL,10,0.002019649087988857,0.5464938469679534,89151
entropy_normalized,PL,20,-0.002074892426535474,0.5516396409422054,82319
entropy_normalized,PL,50,-0.013845619948034306,0.000308061642305937,67918
entropy_normalized,PA,1,0.0037513152526655724,0.24284148640409833,96931
entropy_normalized,PA,2,0.0026103097086895154,0.4186765717749409,95989
entropy_normalized,PA,5,0.0032130060924432462,0.32650523071625714,93257
entropy_normalized,PA,10,0.001447048956933032,0.6657004009309289,89151
entropy_normalized,PA,20,0.001748508657174631,0.6159050048857277,82319
entropy_normalized,PA,50,-0.011912201250079885,0.0019059993033000882,67918
entropy_normalized,ALI,1,-0.0019221657982163695,0.5495538301550429,96929
entropy_normalized,ALI,2,-8.440055409120746e-05,0.9791389374665382,95987
entropy_normalized,ALI,5,0.0031220801929169495,0.34038721174925796,93255
entropy_normalized,ALI,10,0.0035722984141148585,0.28615284949442366,89149
entropy_normalized,ALI,20,0.003467846300247658,0.3197627421539664,82317
entropy_normalized,ALI,50,-0.0026948524693851984,0.48249454756388166,67918
hhi,GC,1,-0.002695410733135726,0.40137225140453187,96931
hhi,GC,2,-0.0011420782755076765,0.723462358301225,95989
hhi,GC,5,0.00043852924025410367,0.8934687523707445,93257
hhi,GC,10,0.0007461682880620914,0.823699680036593,89151
hhi,GC,20,-0.00295717850828427,0.39619209997982024,82319
hhi,GC,50,0.00912713998664196,0.017376768721498265,67918
hhi,SI,1,-0.010713497759959554,0.0008512605423081112,96931
hhi,SI,2,-0.011574673732312152,0.0003355966940354502,95989
hhi,SI,5,-0.014942771282465418,5.032736548292585e-06,93257
hhi,SI,10,-0.013487108239210203,5.6461896370846215e-05,89151
hhi,SI,20,-0.018007469040650592,2.37989127473991e-07,82319
hhi,SI,50,-0.0036829812972299847,0.33715066277205247,67918
hhi,HG,1,-0.003344900266516516,0.2976982184767409,96931
hhi,HG,2,-0.004334748935208469,0.17927692632484216,95989
hhi,HG,5,-0.0013404656633650848,0.6822855984152654,93257
hhi,HG,10,0.001902705017642918,0.5699634374728777,89151
hhi,HG,20,0.0006431459947177798,0.8536023337819303,82319
hhi,HG,50,0.0011380012489019444,0.7667947583903968,67918
hhi,PL,1,-0.004808015992219536,0.134418050434686,96931
hhi,PL,2,-0.0022257386770873334,0.49046321088620737,95989
hhi,PL,5,-0.004945561682508382,0.1309758013885155,93257
hhi,PL,10,-0.0006861559547754912,0.8376731268130501,89151
hhi,PL,20,0.002617275666155553,0.4527008156858328,82319
hhi,PL,50,0.020524333441462733,8.828124012440969e-08,67918
hhi,PA,1,-0.004065360620050841,0.20562485445366394,96931
hhi,PA,2,-0.0024112338092378703,0.4550381937661778,95989
hhi,PA,5,-0.0018308421806189613,0.5760963913889801,93257
hhi,PA,10,-0.00022376486530694268,0.9467320499332591,89151
hhi,PA,20,-0.0011162293359486695,0.7487744198362372,82319
hhi,PA,50,0.0175249399185329,4.936800949621999e-06,67918
hhi,ALI,1,0.002805012671304037,0.3825067172184614,96929
hhi,ALI,2,0.0019522284178413458,0.5452935560934712,95987
hhi,ALI,5,-0.0016476878585263992,0.6148522986004405,93255
hhi,ALI,10,-0.001644062306484689,0.623515019867491,89149
hhi,ALI,20,0.0008707933931020693,0.8027149071650294,82317
hhi,ALI,50,0.010298723622119782,0.0072751329605078565,67918
effective_metals,GC,1,0.002002668034941024,0.5329572381314298,96931
effective_metals,GC,2,0.0009045080800874571,0.7792995711357671,95989
effective_metals,GC,5,-0.00012820139704120486,0.968771092499395,93257
effective_metals,GC,10,-0.0009355701592853459,0.779983740417502,89151
