,kmeans_3,dbscan,spectral_3
14029,0,0,0
14075,0,0,0
14121,0,-1,0
14168,0,0,2
14214,1,0,0
14260,0,0,0
14307,0,0,0
14353,0,0,0
14399,0,0,0
14446,0,0,2
14492,0,0,0
14538,0,0,2
14584,2,0,0
14631,0,0,0
14677,0,0,0
14723,0,0,0
14770,0,0,2
14816,2,0,1
14862,0,0,0
14909,0,0,0
14955,0,0,0
15001,0,0,2
15047,1,-1,0
15094,1,-1,0
15140,0,0,2
15186,0,0,0
15233,0,0,0
15279,0,0,2
15325,0,0,2
15372,0,0,2
15418,2,0,0
15464,0,0,0
15510,0,0,2
15557,0,0,2
15603,0,0,2
15649,0,0,0
15696,0,0,0
15742,0,0,0
15788,0,0,2
15835,0,0,0
15881,0,0,0
15927,2,0,1
15973,0,0,0
16020,0,0,0
16066,1,-1,0
16112,1,-1,0
16159,0,0,0
16205,0,0,0
16251,0,0,0
16298,0,0,0
16344,0,0,2
16390,0,0,2
16436,0,0,2
16483,1,-1,0
16529,0,0,2
16575,0,0,0
16622,0,0,2
16668,2,0,1
16714,0,0,0
16760,0,0,2
16807,0,0,2
16853,0,0,0
16899,0,0,2
16946,2,0,1
16992,0,0,2
17038,0,0,2
17085,0,0,0
17131,0,0,2
17177,0,0,0
17223,0,0,2
17270,0,0,0
17316,1,-1,0
17362,0,0,0
17409,1,0,0
17455,0,0,0
17501,0,0,0
17548,0,0,2
17594,0,0,0
17640,1,-1,0
17686,0,0,2
17733,0,0,0
17779,0,0,0
17825,0,0,0
17872,0,0,0
17918,0,0,0
17964,0,0,0
18011,1,-1,0
18057,0,0,0
18103,1,-1,0
18149,0,0,0
18196,0,0,0
18242,0,0,2
18288,0,0,0
18335,0,0,0
18381,0,0,0
18427,0,0,0
18474,0,0,2
18520,0,0,2
18566,0,0,2
18612,1,-1,0
18659,0,0,2
18705,0,0,2
18751,0,0,0
18798,0,0,0
18844,0,0,0
18890,0,0,0
18937,0,0,2
18983,1,-1,0
19029,0,0,0
19075,0,-1,0
19122,0,0,2
19168,1,-1,0
19214,0,0,2
19261,0,0,2
19307,0,0,0
19353,0,0,2
19400,2,0,0
19446,0,0,0
19492,0,-1,0
19538,0,0,0
19585,0,0,0
19631,0,0,2
19677,0,0,0
19724,0,0,0
19770,0,0,2
19816,0,0,0
19863,0,0,0
19909,1,0,0
19955,0,0,2
20001,2,0,1
20048,1,-1,0
20094,0,0,0
20140,0,0,0
20187,0,0,0
20233,0,0,0
20279,1,-1,0
20326,0,0,0
20372,0,0,0
20418,0,0,0
20464,0,0,2
20511,0,0,2
20557,0,0,0
20603,0,0,2
20650,0,-1,0
20696,0,0,2
20742,0,-1,0
20789,1,-1,0
20835,0,-1,0
20881,0,0,0
20927,0,0,0
20974,0,0,0
21020,0,0,0
21066,0,0,0
21113,0,0,0
21159,0,0,0
21205,0,0,2
21252,0,0,0
21298,1,-1,0
21344,0,0,0
21390,0,0,0
21437,0,0,2
21483,0,0,0
21529,0,0,0
21576,1,-1,0
21622,0,0,0
21668,2,-1,0
21715,0,0,0
21761,0,0,0
21807,0,0,0
21853,1,-1,0
21900,1,-1,0
21946,2,0,0
21992,1,-1,0
22039,1,-1,0
22085,1,-1,0
22131,1,-1,0
22178,0,0,0
22224,0,0,0
22270,0,0,0
22316,0,0,0
22363,2,0,0
22409,0,0,0
22455,0,0,2
22502,0,0,0
22548,0,0,0
22594,0,0,0
22641,1,-1,0
22687,0,0,0
22733,0,0,0
22779,0,0,0
22826,0,0,0
22872,0,0,0
22918,0,0,0
22965,0,0,2
23011,0,0,0
23057,0,-1,0
23104,1,-1,0
23150,1,-1,0
23196,0,0,0
23242,0,0,0
23289,0,0,0
23335,0,0,0
23381,0,0,0
23428,0,0,0
23474,0,0,2
23520,2,0,1
23567,2,0,1
23613,0,0,0
23659,0,0,2
23705,0,0,0
23752,2,0,1
23798,2,0,1
23844,0,0,0
23891,0,0,0
