root_code,calibration_trades,calibration_start,calibration_end,q50_size,q90_size,q99_size,root
0,2102469,2025-06-23 00:00:00.067470+00:00,2025-07-22 23:59:56.158324+00:00,1.0,3.0,8.0,GC
1,684733,2025-06-23 00:00:00.293375+00:00,2025-07-22 23:59:04.821615+00:00,1.0,3.0,11.0,SI
2,461465,2025-06-23 00:00:00.969424+00:00,2025-07-22 23:59:24.829133+00:00,1.0,3.0,7.0,HG
3,563058,2025-06-23 00:00:04.952303+00:00,2025-07-22 23:59:46.174642+00:00,1.0,2.0,7.0,PL
4,77352,2025-06-23 00:01:36.730638+00:00,2025-07-22 23:59:11.330924+00:00,1.0,3.0,6.0,PA
5,9945,2025-06-23 00:10:43.178975+00:00,2025-07-22 17:44:05.611037+00:00,1.0,6.0,12.0,ALI
