,pc1,pc2,pc3
0,1.4063518082087194,0.4269733181320985,-0.06343101486693772
46,1.5698426787171906,0.2791125462089553,-0.0430561110334882
93,-0.29505995423912357,2.284439903160215,0.6364493559545261
139,-1.5701636594079469,1.439769581887368,0.22048691417702654
185,1.1785366155916448,-0.3790185963111159,-0.024139556190459398
231,-1.537945269561562,2.94908083411013,-0.09366910108110531
278,-0.41220443054853395,0.8746804956393978,-0.13437996646355232
324,1.7023358567095848,0.20417571911523358,-0.04220335602742504
370,-0.0475143162528735,0.5083856099317151,-0.04520853668585688
417,2.5455041359603494,0.09349349462393665,-0.019268325925543235
463,-0.4290059474377019,1.6668115947208817,0.0594959783360876
509,0.4695524307992108,0.5948762600780569,-0.046760479027973506
556,0.7878413130013043,0.8116791570889893,0.1405469289413041
602,-1.3715279405932341,-0.08419460518596394,-0.08101929266330718
648,-2.232014833602715,1.8704376177822013,0.5160656747490112
694,1.2846196269759798,0.6125087183065869,0.03460059225187369
741,0.4408362617324561,1.7970218803341866,-0.037681125776915084
787,0.264072767501103,0.3498750213526613,-0.06308652264088703
833,0.8343204020756286,0.20409884987548696,-0.0576494968693138
880,-3.1502831046952613,4.101922620031762,0.18354412846159085
926,1.2208670087470461,-0.6072313780645399,-0.01998327564691204
972,-0.9180752879121994,0.18724087781981202,-0.01924654310751154
1019,-1.351768466399106,2.21745774566733,-0.16890144503835613
1065,1.4482579581771322,-0.4684118208581836,-0.0281413690383477
1111,-1.2090711642710645,0.22662012201190695,-0.11331625516604525
1157,-1.3854951314044988,2.683731478446215,-0.14375467504964898
1204,-1.226052573610772,2.3480472368709773,-0.0008176931251612864
1250,1.8093666583609596,0.24349134292585986,-0.00715211179216449
1296,0.6375014135329412,0.36983113107688,0.0008878427454895092
1343,-1.1640445945609306,1.7500920051621456,-0.023151395751379818
1389,2.556848259527278,0.10051382103036473,0.002753115811005351
1435,0.7845658643788426,0.3420046207124527,0.18381422036483017
1482,-0.4996727197762297,1.6684704130310017,0.020751586641843504
1528,-3.01386492318381,2.790085140697183,-0.027313092932130117
1574,0.3345279638578865,0.8828222081624085,-0.0366305995349152
1620,2.3150940466851284,0.37796560083143893,-0.04313196309870414
1667,-0.3480118445173649,2.600996454642325,0.0705692021898521
1713,-5.061944784354623,4.102520334452478,-0.08026381744529452
1759,-0.3006344565545249,1.6542977177547815,-0.0020015650996714563
1806,1.831332422752055,0.013257892767353969,-0.030620752974793983
1852,-0.24262540366534754,1.1470470239880557,0.08376411750739532
1898,0.28830388775229154,-0.235964948258532,-0.1001676594631107
1945,1.1279650991779722,0.2059670729107976,-0.030206665165469236
1991,1.2592936129677972,0.06661575784254346,-0.054762315362561924
2037,0.21533770304457106,0.8418223706487797,0.21292916529918332
2083,0.6186155807605831,0.2543211285526146,-0.030363836258773765
2130,-1.531376457361298,2.7319014876928,0.2417576860531526
2176,-1.6125459017662964,2.259805555918268,0.12271197732410961
2222,-1.6212003670254025,2.1015209181232293,-0.029545307113018688
2269,-0.38247776876558537,0.9686674500513927,-0.0018295664601461587
2315,1.8192485601014075,0.49879336635898025,0.004688253929911185
2361,-0.29231595439237135,-0.9611994923118298,-0.035759765743367936
2408,-0.7982974736278169,2.3343505778990066,-0.04112591474340464
2454,1.9500429565738624,0.015492517106017484,-0.007440206175879435
2500,0.5278211400132992,0.39007484168286194,-0.06586066810175863
2546,-2.5491247841967106,2.7022680143325863,-0.0733717297543257
2593,0.3862053527449925,-0.08614730993230202,-0.07971086489759081
2639,1.4485551049508276,0.47148642970883964,-0.008940616916570868
2685,1.076593003596489,0.8221570308698014,-0.04721662126001889
2732,-0.08436012979224053,-1.2430922498716326,-0.01141859025964276
2778,0.566812926537764,2.338745173127365,0.033127056881708694
2824,2.0361514896091966,0.5467507849788645,-0.020704742277660886
2871,1.6421028888319757,0.4114154364763521,-0.04399767137277558
2917,0.37178548911588855,1.2037118391418027,-0.04889910764192347
2963,0.8884410874628186,1.6421314445766648,0.041073415469662956
3009,0.4666554898592055,1.3289887711172725,0.2751581644393917
3056,0.47177857855296124,0.12257586247519577,-0.09652393844139197
3102,1.1555370151835467,0.4161763489180239,-0.014762431575725352
3148,0.14067798433360346,1.0646626669423211,-0.10669425096245434
3195,-3.750549684608715,2.6306683994242763,-0.5052682277384826
3241,-3.7494293854589964,1.656767185113739,-0.30721940626589805
3287,0.7091789376796541,0.9659218247759974,-0.11669840809414954
3334,-2.8880126063265323,2.155162479297112,-0.3357671936633053
3380,0.23580005291543046,0.9692111511247825,-0.018151661767431437
3426,-0.902330679064271,1.4912184257972592,-0.2722785551748503
3472,-1.0472772004456088,2.7489918292533617,-0.15999842119071048
3519,-0.5624325734211223,-0.5561933628176711,-0.09129753676096686
3565,0.6634087903497657,1.81523426176242,-0.05311593808966434
3611,1.2510349864664458,0.526130716002821,-0.0018838167372614229
3658,-0.5855171803947677,1.7349476634873788,-0.05038869679169325
3704,-2.827409672517569,1.1341713294722577,-0.09288351178301388
3750,-3.5874917791759953,2.7224292739251266,-0.09698181649608355
3797,2.0683570098317534,0.4000087528684588,0.0006411320316376214
3843,1.4062157650435048,0.7432856268122665,-0.121697277541383
3889,-0.3625827567842299,1.252164130258746,-0.08367921922727625
3935,-1.690959869035968,1.115883156249156,0.3889189754752249
3982,0.13010773607444234,0.8726973034078965,-0.04187739578582369
4028,-0.8940062273373462,-0.4912466972736613,-0.08797503790723031
4074,0.3466620278357159,0.18540161986045156,-0.0747687442071987
4121,-2.393115675752108,2.7281118373996116,-0.043021622094800704
4167,0.6740106778903676,0.25711116804248124,-0.009939675209742956
4213,-0.33115290398017194,0.41736358191825423,0.2972553454052579
4260,-0.36790252982084276,-0.023081640561276165,-0.02573416087737743
4306,-1.5197295922411038,2.04055567534899,0.03475217085840681
4352,-0.06799159400323918,0.3867482046404295,-0.05830030855464187
4398,0.45612556282728495,0.2872439053822086,-0.048886309749178555
4445,2.6521363867087904,0.19255458664171743,-0.0016958056244945835
4491,1.618417976713516,0.3959559192529495,-0.02704153799993643
4537,-1.0758292772252356,3.342689084941857,0.025753457346914845
4584,0.11258314508107378,-0.20966074639639448,-0.006504877329943427
4630,-1.26650118717144,2.052743252147205,-0.21278043721448606
4676,-1.2770982544454408,1.1504337500854358,-0.29133828699268827
4723,1.1540310756923884,0.6977248256867131,-0.05803325703022216
4769,0.32909600609633194,0.040446103078559725,-0.017149170311024975
4815,0.330186384995569,2.2622888220478354,-0.14060597263239097
4861,1.2291730425101912,-0.40958084460230754,0.009343811511997323
4908,1.8761110069121703,-0.3429930453685938,0.03877718855241
4954,1.4930095601292355,0.6261304514993905,-0.0210361583969714
5000,1.106852055583094,0.6171873066904127,0.034190350780873464
5047,0.4417946735909856,0.3609194221654829,-0.026147373869636573
5093,2.363722157924037,-0.19740710348280108,-0.01893134352382589
