,tsne1,tsne2
9260,23.104425,-7.5905433
9306,51.17736,-3.547989
9353,20.494997,11.556148
9399,13.423445,-14.032597
9445,38.73985,-7.2369814
9491,-28.742159,15.117329
9538,26.21816,-8.886191
9584,7.309054,11.173179
9630,47.251152,14.837892
9677,32.281937,4.1651826
9723,35.945763,7.6599383
9769,18.214172,-10.604016
9816,16.75148,-12.562943
9862,14.085994,-8.018665
9908,22.408669,28.453382
9954,20.464924,30.65424
10001,27.65085,-9.617051
10047,39.901413,-12.82123
10093,33.46611,5.920988
10140,37.699898,7.8680744
10186,54.653023,2.4438396
10232,33.604767,-18.767054
10279,17.005554,-12.736601
10325,20.193636,10.7766285
10371,19.271347,33.16807
10417,8.632071,19.780695
10464,-0.5266482,-33.175426
10510,59.142,4.429007
10556,43.423363,1.387841
10603,33.447662,4.295824
10649,34.84438,0.7692864
10695,53.654922,6.0995603
10742,37.06851,0.5498157
10788,21.316853,-9.377181
10834,40.18989,11.687925
10880,60.07309,3.6014664
10927,24.296318,20.87022
10973,-12.221061,19.082083
11019,38.8604,-4.814466
11066,10.969493,-23.861067
11112,45.956627,0.62906367
11158,21.794012,-4.5415277
11205,-33.344105,-29.772152
11251,6.549026,-1.7297162
11297,24.387415,19.207176
11343,-12.172842,-1.3422531
11390,41.573795,12.055464
11436,31.872345,-1.8782293
11482,53.04755,-1.0189798
11529,38.760586,-6.6307497
11575,-31.749882,28.570694
11621,23.227066,30.986397
11668,6.596544,3.6039238
11714,39.22942,14.08459
11760,36.184025,-4.493253
11806,-17.53026,21.9359
11853,24.028217,21.869894
11899,30.378143,14.143465
11945,54.932243,-1.3700575
11992,45.560757,13.373249
12038,-7.949969,7.918026
12084,9.229292,15.447555
12131,47.70925,10.215176
12177,-19.208052,-17.026066
12223,27.825785,14.992013
12269,10.450228,0.93436456
12316,-17.397778,-10.98691
12362,-12.565236,2.6054225
12408,37.261703,5.3021903
12455,38.167717,7.919377
12501,-14.690477,-4.947185
12547,-27.840664,15.105654
12594,20.967098,24.547316
12640,33.218655,-17.4396
12686,38.60488,2.5801506
12732,8.285601,20.931124
12779,-20.18593,27.144022
12825,-4.2531633,9.918361
12871,42.309788,11.328084
12918,-28.544436,5.027681
12964,31.813614,2.1345422
13010,-4.403043,-13.265095
13057,12.090337,9.528996
13103,-12.836329,9.027722
13149,-24.936304,-30.999844
13195,-10.341789,28.875444
13242,-37.25979,18.326498
13288,-22.00015,0.83271736
13334,58.04626,4.125363
13381,46.354362,1.0846313
13427,25.40591,11.002993
13473,5.7415423,14.15699
13520,10.482647,-10.428976
13566,15.543035,36.378155
13612,-8.082686,9.808717
13658,55.190067,7.603817
13705,-7.104161,-4.8346457
13751,-2.0722613,16.243792
13797,13.003797,12.120731
13844,21.077911,-2.9886577
13890,26.103535,-1.3112427
13936,-29.410408,-3.4976106
13983,-33.92348,14.011608
14029,-21.496862,-0.9041972
14075,11.636181,-23.09362
14121,-0.12968898,30.048529
14168,34.465805,-1.0435401
14214,-11.348663,16.556492
14260,9.738252,7.351328
14307,4.518082,27.1521
14353,-0.3780492,6.607145
14399,-0.94666344,-30.26631
14446,44.503365,3.7197516
14492,12.097381,9.747068
14538,54.28672,3.5379002
14584,-9.901741,-31.846312
14631,20.9268,27.119879
14677,23.330935,28.350424
14723,-3.1827507,-19.54886
14770,54.097225,1.2939253
14816,-33.420765,-11.24472
14862,4.8714833,-2.4275002
14909,-12.829449,4.4827967
14955,-1.5053291,-31.230042
15001,38.55542,-7.027477
15047,-8.767283,29.221914
15094,-11.235713,33.044037
15140,38.416058,0.94937587
15186,17.796934,-25.317165
15233,19.716864,31.230068
15279,33.34501,0.67378306
15325,45.83424,5.1336327
15372,44.976463,5.2637463
15418,-18.818277,-10.209961
15464,2.861576,14.466058
15510,43.79146,4.8561993
15557,60.523315,4.233743
15603,53.08729,-1.6004713
15649,24.82154,18.712622
15696,-7.4667897,16.1576
15742,20.743412,19.621904
15788,54.770786,5.192388
15835,18.16816,-1.1150533
15881,-12.338916,2.8727763
15927,-30.151869,-22.133593
15973,31.719809,-0.42043257
16020,8.39208,23.535671
16066,-20.482327,13.678693
16112,-28.48929,14.519891
16159,16.072239,-7.8106704
16205,-12.857476,2.2311323
16251,27.433039,4.4003963
16298,8.557685,17.682064
16344,31.816904,-15.151143
16390,45.536743,-0.6974999
16436,32.817257,-15.890182
16483,-23.795399,23.99721
16529,42.22226,7.528305
16575,19.791386,28.956146
16622,38.80635,7.1858106
16668,-46.766735,-23.815907
16714,20.825647,-15.461456
16760,45.675304,16.59159
16807,47.092163,4.7355595
16853,8.48968,-26.328394
16899,50.42393,-1.5063647
16946,-40.453266,-14.796941
16992,39.671284,7.1969743
17038,40.116272,8.039917
17085,25.819887,-15.688086
17131,42.729774,7.260198
17177,13.7144985,6.6605983
17223,33.93743,-9.846336
17270,14.691843,5.7890654
17316,-32.204845,19.096342
17362,5.962291,11.497485
17409,-15.159965,21.157913
17455,-14.099032,21.990665
17501,-7.1487274,14.092273
17548,40.458,3.3944435
17594,-2.5049534,-33.172325
17640,-36.00363,13.712187
17686,55.24846,1.3336047
17733,21.072859,10.029223
17779,18.660667,-11.204963
17825,14.888274,-15.238942
17872,-4.3469872,1.8703753
17918,26.027128,19.329647
17964,30.32148,-7.809314
18011,-28.015156,16.257431
18057,25.958887,17.55017
18103,-29.260748,-2.8074749
18149,-3.560296,10.205622
18196,-16.557634,-12.824295
18242,49.883965,0.72938365
18288,16.84195,31.229576
18335,-12.649574,19.42968
18381,27.642385,17.16339
18427,13.0495,-13.66717
18474,46.137207,11.701168
18520,38.661427,0.21783061
18566,44.678074,0.8451171
18612,15.221364,37.06053
18659,52.583233,6.9095464
18705,34.97935,4.174049
18751,-6.395068,4.471447
18798,11.0150585,11.369091
18844,12.990585,-16.403028
18890,21.93634,12.450265
18937,59.60502,3.6911147
18983,-10.670678,31.990177
19029,-11.781544,6.070601
19075,-16.040955,25.172426
19122,38.23333,7.3012776
19168,-23.477993,25.313848
19214,49.20851,-4.0549736
19261,49.90495,-2.870181
19307,12.679817,7.794489
19353,32.171616,-4.8829117
19400,-8.5495205,-31.57931
19446,16.375313,12.667066
19492,-19.760246,27.90344
19538,16.106047,-8.834938
19585,16.135332,-16.167133
19631,53.935192,-1.6099908
19677,23.579998,12.493404
19724,7.902864,15.426437
19770,31.734982,-16.70382
19816,-1.725886,-32.422073
19863,21.953846,-13.082755
19909,-13.521915,11.796292
19955,40.60084,-12.300736
20001,-32.551197,-25.70426
20048,-31.265057,28.218811
20094,22.831047,-12.832244
20140,14.463774,6.133551
20187,21.01223,17.962345
20233,9.120135,-13.082304
20279,-26.652006,27.895834
20326,-7.563877,-19.669504
20372,-9.341876,8.647953
20418,27.9435,5.9374437
20464,34.718567,-10.084923
20511,56.23769,3.0314689
20557,-1.859074,-34.30639
20603,36.921505,-11.636869
20650,-20.388132,28.09802
20696,53.793896,7.769394
20742,-13.985179,21.529934
20789,-29.867907,25.168606
20835,-16.6922,24.828564
20881,-11.232713,21.24518
20927,24.056349,21.667894
20974,26.122608,-18.159103
21020,11.37996,-27.815626
21066,26.308064,7.4079366
21113,6.651509,0.33297446
21159,-13.905753,0.19549549
21205,59.127247,6.484988
21252,6.6533966,14.110503
21298,-7.077444,34.03184
21344,17.778444,-13.459119
21390,-1.2731752,-23.890518
21437,33.355015,-10.455207
21483,0.5348656,24.238123
21529,7.7022953,13.558423
21576,-31.305916,25.941374
21622,-13.715721,16.920862
21668,-32.574406,-4.159985
21715,-4.3116097,-23.94949
21761,-3.5916598,2.2951858
21807,7.861509,-0.68471646
21853,-18.13258,20.860813
21900,-30.581362,26.967045
21946,-10.153706,-29.488024
21992,-29.378353,24.013659
