,pc1,pc2,pc3
GC,0.6535811103420421,0.22739719954865237,-0.02610889658884528
SI,-0.5304344643375625,-0.539616127301625,-0.031843331002081116
HG,-0.27800607806617905,0.35058704964722004,-0.06436985608051715
PL,-0.32872157638171445,0.4829555130325997,0.026877663869585768
PA,-0.32524933411463847,0.5483999586583947,-0.029045765706651974
ALI,-0.018401839156782975,0.014322261971224074,0.9962905118976119
