root,observations,start,end,mean_pct_ann,median_pct_ann,p10_pct_ann,p90_pct_ann,median_months_from_anchor
GC,67177,2023-06-22 00:05:00+00:00,2026-06-21 23:55:00+00:00,5.288720827708533,5.460505093179735,4.404581836014125,5.935933213159535,4.0
HG,89493,2023-06-22 07:20:00+00:00,2026-06-21 23:10:00+00:00,3.7568637108304377,3.9766664143601957,1.8068729777417445,5.705897855590937,3.0
PA,35650,2023-06-22 04:15:00+00:00,2026-06-19 16:20:00+00:00,3.9074046602537975,3.688280796863778,1.9296591053597842,6.212181897247145,3.0
PL,120602,2023-06-22 00:00:00+00:00,2026-06-21 23:55:00+00:00,3.792639985435347,3.8691112599792126,2.3375762178766584,5.109123810351456,3.0
SI,75435,2023-06-22 02:10:00+00:00,2026-06-19 16:00:00+00:00,5.3484493659230665,5.449689823858313,4.556016456223715,5.99685322224583,3.0
