label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
carry,1352,-0.1963703747738477,0.10431468646995318,-0.30068506124380084,-2.2240019322766336,-1.3061496155974843,-0.5639035797037237,0.46153846153846156,-0.43614572474530133
momentum,1352,-0.06592536765552046,0.01952263152984521,-0.08544799918536561,-0.6320118282941244,-0.33100394661233973,-0.14290423406462174,0.5318047337278107,-0.3234343002161237
combined,1352,-0.28383033788708145,0.08546034463632761,-0.3692906825234092,-2.731439959492672,-1.3368724917788537,-0.5771675577737577,0.4970414201183432,-0.5449837047254912
