variant,base_variant,detector,target_months,min_volume,lookback,side_mode,cost_multiplier,entry_level,exit_level,md_entry,component_entry,hazard_exit,hazard_min_history_events,hazard_min_tail_events,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,hazard_exit_count,hazard_exit_fraction,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
mad_z_target3m_minv500_lb252_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv500_lb252_entry1p5_both_costx1p0,mad_z,3,500.0,252,both,1.0,1.5,0.25,,1.25,True,8,4,0.020491579872458098,0.012624230502001114,0.008460332683784988,0.0028272063245676736,0.006784117351025926,0.4167390064589802,0.7209067977028697,-0.009271479701282474,0.21813403416557164,0.4362680683311433,0.028383705650459924,0.683311432325887,55,4,0.07272727272727272,0.6727272727272727,0.00020787078682156976,1.417806445436328,761,254.30489478499544
mad_z_target3m_minv500_lb252_entry1p5_backwardation_only_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv500_lb252_entry1p5_backwardation_only_costx1p0,mad_z,3,500.0,252,backwardation_only,1.0,1.5,0.25,,1.25,True,8,4,0.013629104383960923,0.005396953374841232,0.00835099439612279,0.0027906685299028807,0.005904249997298549,0.4726541950594459,0.8176331394471272,-0.008423758694694717,0.13534822601839686,0.2706964520367937,0.012089356110381077,0.49540078843626806,23,0,0.0,0.6956521739130435,0.0004185251338189665,2.1113492528184836,761,254.30489478499544
quantile_band_target1m_minv1000_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p1_backwardation_only_costx1p0,quantile_band,1,1000.0,252,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.016329159915149632,0.008124759060722655,0.008204400854426976,0.002741681072350826,0.005336488767072026,0.5137612374016305,0.8887432246530763,-0.007616599687627695,0.18230769230769228,0.36461538461538456,0.026153846153846153,0.676923076923077,51,1,0.0196078431372549,0.803921568627451,0.0002109788489192556,2.63538063502441,780,260.6541628545288
rank_pct_target1m_minv1000_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb252_entry0p1_backwardation_only_costx1p0,rank_pct,1,1000.0,252,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.016329159915149632,0.008124759060722655,0.008204400854426976,0.002741681072350826,0.005336488767072026,0.5137612374016305,0.8887432246530763,-0.007616599687627695,0.18230769230769228,0.36461538461538456,0.026153846153846153,0.676923076923077,51,1,0.0196078431372549,0.803921568627451,0.0002109788489192556,2.63538063502441,780,260.6541628545288
rank_pct_target1m_minv1000_lb252_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb252_entry0p1_contango_only_costx1p0,rank_pct,1,1000.0,252,contango_only,1.0,0.1,0.25,,1.25,True,8,4,0.012893334808220677,0.005040844058844363,0.007852490749376318,0.002624082567437969,0.00212772676853353,1.2332798582247173,2.133421204841651,-0.0016567668346641937,0.0958974358974359,0.1917948717948718,0.02,0.4166666666666667,39,0,0.0,0.7948717948717948,0.00025429360723095,4.287817532444286,780,260.6541628545288
quantile_band_target1m_minv1000_lb252_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p1_contango_only_costx1p0,quantile_band,1,1000.0,252,contango_only,1.0,0.1,0.25,,1.25,True,8,4,0.012694994943571925,0.005040844058844363,0.007654150884727565,0.002557802937462711,0.0021324277512410838,1.1994792958279858,2.0749504238004666,-0.0016567668346641948,0.09615384615384616,0.19230769230769232,0.02,0.41794871794871796,39,0,0.0,0.7948717948717948,0.00024920796967585376,4.120539667414061,780,260.6541628545288
curve_md_target6m_minv500_lb126_md2p5_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target6m_minv500_lb126_md2p5_comp1p25_both_costx1p0,curve_md,6,500.0,126,both,1.0,1.25,0.25,2.5,1.25,True,8,4,0.00924541940611571,0.0021596702134402917,0.0072963702795517315,0.002463030725144427,0.0029540214898416688,0.8337890342417386,1.4350753251401698,-0.0024051596409055674,0.06993006993006994,0.13986013986013987,0.032867132867132866,0.32867132867132864,24,0,0.0,0.4583333333333333,0.000328084904115582,1.19687820818218,286,96.54482439926063
rank_pct_target1m_minv1000_lb252_entry0p05_backwardation_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb252_entry0p05_backwardation_only_costx1p0,rank_pct,1,1000.0,252,backwardation_only,1.0,0.05,0.25,,1.25,True,8,4,0.014124932740574947,0.006957824386731339,0.007167108353843606,0.00239504695904975,0.005261601107527087,0.45519356372786757,0.7874284126900281,-0.00751053167427216,0.17102564102564102,0.34205128205128205,0.020512820512820513,0.6692307692307692,40,0,0.0,0.8,0.00023255169746341786,2.2180312880107502,780,260.6541628545288
quantile_band_target1m_minv1000_lb126_entry0p05_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb126_entry0p05_backwardation_only_costx1p0,quantile_band,1,1000.0,126,backwardation_only,1.0,0.05,0.25,,1.25,True,8,4,0.0142615603751479,0.007156436529800562,0.00713713921272366,0.002385032111113739,0.005211194893904706,0.45767470986421954,0.7917204877971525,-0.00770598575203347,0.13333333333333333,0.26666666666666666,0.027179487179487184,0.5448717948717948,53,0,0.0,0.8113207547169812,0.00018532817636360215,2.453388351923301,780,260.6541628545288
quantile_band_target1m_minv1000_lb252_entry0p05_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p05_backwardation_only_costx1p0,quantile_band,1,1000.0,252,backwardation_only,1.0,0.05,0.25,,1.25,True,8,4,0.014124967397451779,0.007001887440961944,0.007123079956489833,0.0023803339012881163,0.005262376775029331,0.45233057286644945,0.7824757935644635,-0.007627982276195877,0.1725641025641026,0.3451282051282052,0.021025641025641025,0.6730769230769231,41,0,0.0,0.8048780487804879,0.00022634319581215232,2.1630000526067508,780,260.6541628545288
quantile_band_target1m_minv500_lb126_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb126_entry0p1_contango_only_costx1p0,quantile_band,1,500.0,126,contango_only,1.0,0.1,0.25,,1.25,True,8,4,0.02388189729654949,0.017242649283227923,0.007081372572270147,0.0023663964611360215,0.0028840180799516823,0.8205206748134072,1.4193990074383749,-0.0016408660376573707,0.15806451612903227,0.31612903225806455,0.05334987593052109,0.5955334987593052,108,7,0.06481481481481481,0.7870370370370371,0.0001196457732733621,1.9889319428421033,806,269.3426349496798
mad_z_target6m_minv10_lb252_entry2p0_contango_only_costx1p0_hazardexp_minh8_tail4,mad_z_target6m_minv10_lb252_entry2p0_contango_only_costx1p0,mad_z,6,10.0,252,contango_only,1.0,2.0,0.25,,1.25,True,8,4,0.00862241484170774,0.002535864737338427,0.006988585282611954,0.0023353895466367946,0.002527999403104363,0.9238093742304507,1.598075647689386,-0.0013034992319075032,0.022711471610660488,0.045422943221320976,0.008342989571263035,0.11355735805330243,18,0,0.0,0.7222222222222222,0.0004011077670982856,2.6844121814030553,863,288.39043915828
