root,target_months_min,obs,asof_date,anchor,anchor_months_out,latest_pct_ann,hist_median_pct_ann,hist_p10_pct_ann,hist_p90_pct_ann,latest_percentile,latest_symbol,actual_months,latest_far_volume
GC,2,926,2026-06-19,GCQ6,2,4.141060296282669,5.279961114958259,4.407246100742272,6.010004084851173,3.3477321814254863,GCV6,2.0,404.0
GC,3,883,2026-06-19,GCQ6,2,4.289917137560322,5.143878229451257,4.116635480840026,5.928951609901342,14.156285390713478,GCZ6,4.0,1205.0
GC,4,883,2026-06-19,GCQ6,2,4.289917137560322,5.0545881919627735,4.291464784612651,5.90612073378326,9.85277463193658,GCZ6,4.0,1205.0
GC,6,837,2026-06-19,GCQ6,2,4.1503629679909295,4.949306417714778,4.165194485988606,5.880419144145171,9.08004778972521,GCG7,6.0,1042.0
HG,2,901,2026-06-19,HGN6,1,6.076120537630064,4.536910641573804,1.8832210246531853,6.357420209755116,83.90677025527192,HGU6,2.0,3254.0
HG,3,864,2026-06-19,HGN6,1,5.76267161038838,4.4010500500457415,1.8350866280419413,6.111460874006202,81.01851851851852,HGZ6,5.0,458.0
HG,4,819,2026-06-19,HGN6,1,5.76267161038838,4.257006647538286,1.8488065485544398,5.962111305220458,83.63858363858364,HGZ6,5.0,458.0
HG,6,780,2026-06-19,HGN6,1,5.4276694140263775,3.9599015892962335,1.80667954935967,5.679192846653211,80.8974358974359,HGH7,8.0,25.0
HG,8,651,2026-06-19,HGN6,1,5.4276694140263775,3.617676137577301,1.385557181764348,5.548706608529338,85.8678955453149,HGH7,8.0,25.0
PA,2,730,2026-06-19,PAU6,3,4.873316321457204,3.5133455814815413,1.4403152432657336,6.336230290745437,76.16438356164383,PAZ6,3.0,19.0
PA,3,730,2026-06-19,PAU6,3,4.873316321457204,3.5133455814815413,1.4403152432657336,6.336230290745437,76.16438356164383,PAZ6,3.0,19.0
PL,2,893,2026-06-19,PLN6,1,4.221738005697661,3.8201476274907407,2.4042893343763794,5.005891935941276,68.53303471444569,PLV6,3.0,1254.0
PL,3,893,2026-06-19,PLN6,1,4.221738005697661,3.8201476274907407,2.4042893343763794,5.005891935941276,68.53303471444569,PLV6,3.0,1254.0
PL,4,748,2026-06-19,PLN6,1,3.2818810124782223,3.4889536877517155,1.831999542741096,4.58224859095602,40.37433155080214,PLF7,6.0,30.0
PL,6,748,2026-06-19,PLN6,1,3.2818810124782223,3.4889536877517155,1.831999542741096,4.58224859095602,40.37433155080214,PLF7,6.0,30.0
PL,8,422,2026-06-19,PLN6,1,2.4250805122875465,3.359084312771316,1.558011138143954,4.294143102794923,21.09004739336493,PLF8,18.0,10.0
PL,12,71,2026-06-19,PLN6,1,2.4250805122875465,2.026489766145225,0.2326717002676863,3.648996683374708,61.97183098591549,PLF8,18.0,10.0
SI,2,913,2026-06-19,SIN6,1,4.328823750412344,5.428519485793366,4.13816587479132,6.155120649214558,13.362541073384445,SIU6,2.0,2751.0
SI,3,871,2026-06-19,SIN6,1,3.2136369053818483,5.3208765783339045,3.989417057223121,6.091494133756946,5.1664753157290475,SIZ6,5.0,66.0
SI,4,812,2026-06-19,SIN6,1,3.2136369053818483,5.222820101031376,3.937793226853628,6.162744243665779,4.556650246305419,SIZ6,5.0,66.0
