ts,md_signed_flow_ewma,md_notional_share_ewma,md_signed_flow_ewma_q950,md_signed_flow_ewma_q990,md_signed_flow_ewma_q995,md_notional_share_ewma_q950,md_notional_share_ewma_q990,md_notional_share_ewma_q995,complex_trades,complex_notional,complex_signed_notional_ratio,signed_share_GC,signed_share_SI,signed_share_HG,signed_share_PL,signed_share_PA,notional_share_GC,notional_share_SI,notional_share_HG,notional_share_PL,notional_share_PA
2026-02-25 18:00:00+00:00,31.685634968689822,16.08088312166638,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,40.0,10784272.5,-0.024609680439732953,0.19385915925251332,-0.042492435164263515,-0.15434861275992423,-0.021627791768058534,0.0,0.38771553667621067,0.042492435164263515,0.46160392367681735,0.1081881044827085,0.0
2024-10-23 23:00:00+00:00,18.346732044986584,7.600721060995522,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,2163.0,676594672.5,0.09011845640862624,0.045042846535271824,0.019578523950024157,0.0017590479919127652,0.0003821785930482627,0.023355859338369235,0.7097044796787104,0.18237558617489705,0.03941497558865275,0.023775741450284625,0.04472921710745513
2024-02-19 19:00:00+00:00,16.642986388466902,8.263361056429128,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,342.0,79114757.5,0.09331928370001008,0.08695950309902675,-0.04365430811059492,0.028877829777838857,-0.0005714483799056059,0.02170770731364499,0.621114714280708,0.20086707590552874,0.09882874885889652,0.03096078503432182,0.04822867592054491
2024-07-04 18:00:00+00:00,13.53741795442804,4.8840627417887745,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,421.0,104369082.5,0.04251369173433138,0.1156189142507792,-0.008806726838860541,-0.014231705064572164,-0.05006870688932232,1.91627630721004e-06,0.7251560345948236,0.07642588982230442,0.09078107494142243,0.10371150862612977,0.003925492015319766
2024-06-17 22:00:00+00:00,11.4669041755659,5.0251833587522095,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,1083.0,283875975.0,0.03787878667787931,-0.023838192013255086,0.011458613220086697,0.018852995573154792,0.03014038084765715,0.0012649890502357587,0.6004623674123885,0.21155735352384084,0.11422329769188816,0.07060595740798424,0.0031510239638983186
2025-12-03 21:00:00+00:00,11.071283488713451,5.188635359574255,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,2578.0,1214619397.5,-0.07119869004068001,-0.07260103056274465,-0.007755762849983631,-0.007091974669373745,0.019022592630709243,-0.0027725145892872173,0.681254252733931,0.19869598698715002,0.03673306024243697,0.05447457873321178,0.02884212130327023
2025-05-12 04:00:00+00:00,11.071179325523254,3.7150739365622623,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,3382.0,1244463447.5,0.04765532898466269,0.028529098280325346,-0.0015207758844198603,-0.000792128528949823,0.02143893422791753,2.0088978949299353e-07,0.8093931903130486,0.11293395180254982,0.040763802747207645,0.03548277780975162,0.0014262773274423554
2025-10-29 06:00:00+00:00,10.830295924154207,5.377594869377014,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,9137.0,3675586637.5,0.12109208512705069,0.06372923919413395,0.022274355925857293,0.03467054719914761,0.00034222700321262663,7.571580469921654e-05,0.7094980712449606,0.14710493951729087,0.12495599554480642,0.015324185104315883,0.003116808588626283
2023-08-28 23:00:00+00:00,10.572905492745683,4.275799929720497,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,730.0,216748210.0,0.06971962997987388,0.1176839707234491,-0.000666902854699469,-0.017812257826719767,-0.03238785685934846,0.002902676797192466,0.7504564858920865,0.08166768712876568,0.10352023207019795,0.060292124211775495,0.004063470697174385
2026-02-16 17:00:00+00:00,10.415335525686986,6.5524089432181905,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,2202.0,1038259812.5,0.004593291527403698,-0.009130768508869737,0.018081191984881916,-0.007971053969692195,-0.005430345980958403,0.00904426800204212,0.6771616425248088,0.1695984693619257,0.058933334184115886,0.051560894831417736,0.04274565909773186
2026-05-04 07:00:00+00:00,10.343460362870365,5.0589113153763074,3.874460369907248,5.492965684133367,6.660289488127894,3.564610541393466,5.452619868165832,6.380224554923917,3819.0,1611742667.5,0.014238771152963845,0.0014477807450611524,0.008670072016940013,0.01332374605017398,0.0009504370833441375,-0.010153264742555436,0.6801397531408344,0.16991888998309962,0.0799590499765683,0.044185664024433975,0.025796642875063676
