ts,md_signed_flow_ewma,md_notional_share_ewma,md_signed_flow_ewma_q950,md_signed_flow_ewma_q990,md_signed_flow_ewma_q995,md_notional_share_ewma_q950,md_notional_share_ewma_q990,md_notional_share_ewma_q995,complex_trades,complex_notional,complex_signed_notional_ratio,signed_share_GC,signed_share_SI,signed_share_HG,signed_share_PL,signed_share_PA,notional_share_GC,notional_share_SI,notional_share_HG,notional_share_PL,notional_share_PA
2025-12-14 00:00:00+00:00,18.82643518489846,4.713796879522367,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,6065.0,2908650865.0,-0.0684142732269794,-0.06423575350629096,-0.007613667307574916,0.003403339025359443,0.005460940737553938,-0.005429132176026909,0.6139305137950959,0.31006043415251905,0.023597925012564202,0.03416680949777724,0.018244317542043673
2025-12-21 00:00:00+00:00,10.009436645661024,3.1641622867213672,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,7743.0,3643668390.0,0.03986605515437699,0.018450567616006355,0.01181725952838425,0.0008740984796368914,0.00603740040130271,0.0026867291290467847,0.6323777230452083,0.28153790773479254,0.026250783485815513,0.04403292995606552,0.01580065577811816
2023-12-17 00:00:00+00:00,9.850340644272991,5.193588611388119,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,3014.0,965701042.5,-0.0427512430690992,0.005039499581983728,-0.051513457903303445,0.006429500152476018,-0.0003915756361006517,-0.0023152092641548537,0.6784286556261018,0.19983922715916505,0.08167818924147015,0.023848653968911917,0.016205274004351095
2026-01-01 00:00:00+00:00,9.818535715707268,3.9490407147499407,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,8775.0,4194776180.0,0.0806004910612418,0.03740922358341417,0.03711856564418653,0.0034939647244778623,0.0026506479780763893,-7.191086891315378e-05,0.4273968986826849,0.4955726624727806,0.03457335833350708,0.031676266932554195,0.010780813578473214
2024-01-07 00:00:00+00:00,9.44580206763381,11.968738632181962,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,2642.0,787176792.5,-0.02378628622997673,-0.043034487706902255,-0.014512273619906039,0.03241639964887557,-0.0026515326923843476,0.003995608140340341,0.6931373170532082,0.09064996666552513,0.16051856292498612,0.019434700242385514,0.036259453113894995
2023-11-12 00:00:00+00:00,8.637921101929644,1.8204225909727678,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,3169.0,839645180.0,-0.14302184763330625,-0.13184030902196092,-0.008903880088968056,-0.005607606775042763,0.0029795621526702504,0.0003503860999952385,0.767280329055185,0.11348031557806358,0.08610884302343044,0.0277104252536768,0.005420087089644223
2023-11-19 00:00:00+00:00,8.41380747241724,4.375793277209445,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,2701.0,848750562.5,-0.16350936733547083,-0.11639041476334809,-0.03732050545769152,-0.006014502641345819,-0.004035019417144716,0.0002510749440593154,0.7142144191509741,0.16428893382913073,0.08496693927080608,0.023703795778044035,0.012825911971045085
2026-03-08 00:00:00+00:00,8.288400295953412,1.6256977762563043,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,23943.0,13044919507.5,-0.03277898915007928,-0.020104712784867293,0.0020119614371641227,-0.014111250352611652,-0.0005950182364511612,2.003078668670735e-05,0.737254693252081,0.16275332122818773,0.07871827893683919,0.016622370868239717,0.0046513357146523585
2024-07-21 00:00:00+00:00,7.711598127743972,1.4755286878242697,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,6955.0,2556945462.5,0.11541713709898886,0.0903226773457238,0.01294667816951923,0.006769004366279087,0.0032396037074255745,0.0021391735100411828,0.7396794760537447,0.11140147655769564,0.11937819635838244,0.021806505386111653,0.007734345644065531
2023-09-24 00:00:00+00:00,7.427362497335623,3.9405723403502773,5.026037976466823,7.512633186458115,9.163043729637334,3.5759965986948616,5.282363292700108,6.515125007227306,2525.0,784568665.0,-0.08927192178902531,-0.09596484458119418,-0.005738184815219456,0.014750158929683994,-0.0024793304738980368,0.00016027915160236485,0.7126692983589906,0.14008687818293125,0.09984594528765688,0.04307441975139295,0.004323458419028244
