variant,cum_turnover,annual_turnover,mean_5m_turnover,p95_5m_turnover,max_5m_turnover
BASE_MINVAR,29.160866417248627,5.338748144551705,7.525326621277416e-05,0.0,0.5190476975628112
VOL_TARGET_16,39.481312550178394,7.228207183756865,0.00010188646939553602,0.00011754211790909451,0.5190476975628112
VOL_TARGET_14,44.51074929621961,8.148992448222993,0.00011486556051493693,0.00017128407091004252,0.5190476975628112
VOL_TARGET_12,56.30578945251469,10.30841898405754,0.00014530413816800047,0.00028220460243025454,0.47355034521397593
VOL_TARGET_10,53.4185627141775,9.779827817675725,0.00013785328814016278,0.00027774111518511163,0.39575451335057765
TSMOM_20D_HALF,1103.5619579286533,202.0392422841231,0.0028478797788111404,0.0,0.5190476975628112
TSMOM_60D_HALF,540.4356502820187,98.94252742387992,0.0013946618485070276,0.0,0.5190476975628112
TSMOM_60D_FLAT,1051.714118207065,192.54698117802252,0.0027140799379800026,0.0,1.0000000000000002
DD_SOFT,240.94509746480523,44.11203609739752,0.0006217889860589601,0.0,0.5190476975628112
DD_HARD,406.2872660456932,74.38274832854174,0.0010484751499877244,0.0,0.5190476975628112
VOL12_DD_SOFT,158.45249526965875,29.00935634135023,0.00040890649948428467,0.00020330927584692306,0.47355034521397593
VOL12_DD_HARD,220.9755351759008,40.45602457524546,0.0005702550307375706,0.00016593102864937817,0.47355034521397593
VOL10_DD_HARD,126.56628896501883,23.17165514585362,0.0003266201525279,0.0001831932874771992,0.39575451335057765
VOL14_TSMOM60_HALF,465.9167465038014,85.29966600860098,0.0012023564888627995,0.0001239049525437616,0.5190476975628112
VOL12_TSMOM60_HALF,405.02271172470745,74.15123473294932,0.0010452118092626572,0.00021017877806139653,0.5
VOL12_TSMOM60_DD_SOFT,340.3698385598604,62.31463832631447,0.0008783669766682075,0.00017956184643640175,0.4960375396605045
VOL12_TSMOM60_DD_HARD,325.6157682009532,59.61347490317936,0.0008402922511592251,0.00014690969223927938,0.4960375396605045
VOL_TARGET_12_DAILY,30.08172329832611,5.50733788721937,7.762965266933704e-05,0.0,0.4570889211138494
VOL14_TSMOM60_HALF_DAILY,58.68840025200184,10.744625467189568,0.00015145276359667368,0.0,0.5190476975628112
VOL12_TSMOM60_DD_SOFT_DAILY,46.469730513772376,8.507641165677947,0.0001199209567765214,0.0,0.46586350844454705
VOL12_TSMOM60_DD_HARD_DAILY,41.94637136220223,7.679508183205865,0.0001082478622415884,0.0,0.46467134165534824
VOL10_DD_HARD_DAILY,28.585631154390313,5.233434531837886,7.376879960771998e-05,0.0,0.40415514346726916
