root,rows,days,first_date,last_date,median_bins_per_day,median_obs_per_decision_mark
GC,108779,3024,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,45.0,30.0
SI,109834,3018,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,45.0,30.0
HG,111443,3036,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,45.0,30.0
PL,113246,3059,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,45.0,27.0
PA,85483,2932,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,33.0,14.0
