root,time_bin,time_utc,signal_window,horizon,n,ic,ic_tstat,ic_p_value,signed_mean,signed_tstat,signed_p_value,quintile_spread_mean,quintile_spread_tstat,quintile_spread_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,ic_q_value,signed_q_value,quintile_spread_q_value
PL,90,01:30,5,rest,2534,-0.11874643812423519,-6.017778061889469,1.7682740133991044e-09,-0.0004707983658210587,-1.2690569549366217,0.20442075123267048,-0.0011101320759503237,-1.5039052936633484,0.13260575380054096,2024-03-07 00:00:00+00:00,709,-0.0009889315617842588,-1.3488543260341486,305,-0.0013918735990445534,-0.7872388441146382,1.7682740133991044e-08,0.5250678912101622,0.44949694740659557
GC,1350,22:30,15,15,1579,-0.09406680379743154,-3.752167583850341,0.00017531220578889605,-2.9219722714394314e-05,-1.5424442129107236,0.1229656846121635,-6.412757814176755e-05,-1.5028817205651535,0.13286954753954605,2024-06-16 00:00:00+00:00,442,-4.691146881157318e-05,-0.999310712759911,190,-0.00010417768510990394,-1.1472760245883291,0.0006916971911412796,0.40563680106817357,0.44998620909359227
PA,1380,23:00,15,rest,441,-0.21372516639028602,-4.583957239661517,4.562575812997729e-06,-0.0003212785521981365,-2.1817376069965553,0.02912890371360358,-0.0004764881936139198,-1.5026999175008016,0.1329164440169243,2025-06-23 00:00:00+00:00,124,-0.0005718927350186539,-1.9053450141647403,54,-0.0002574110985363823,-0.32549064963546,2.5955347159114313e-05,0.18693638089038594,0.44998620909359227
GC,780,13:00,30,5,2471,-0.08151642692550165,-4.063997417578263,4.823935960327197e-05,-1.912975719713476e-05,-1.0678313099942325,0.2855966118875892,-5.2911022429121564e-05,-1.5009616365076506,0.1333654844490443,2024-01-02 00:00:00+00:00,693,5.988872455196653e-06,0.15284966789263565,297,-0.00019034411049253074,-2.5963974976346123,0.00022004631994409897,0.6061505179724824,0.45122405933041254
PL,240,04:00,60,5,2512,-0.05227217993368187,-2.62241616836327,0.0087308744345468,-2.3216316780985025e-05,-1.46406667305795,0.14317573211993548,-4.883559513884565e-05,-1.5002827494587176,0.13354117600822293,2024-05-20 00:00:00+00:00,704,-3.224202632747606e-05,-0.9243832078592232,302,-8.75172919706476e-05,-1.2190564539301454,0.0218473777478715,0.4378636013390904,0.4513393596856106
GC,1350,22:30,30,30,1579,-0.07814161661774133,-3.1126352293921276,0.0018542504266653489,-5.930118141733956e-05,-1.8615326124729463,0.06266899959569315,-0.00011222230498829349,-1.4998959881270113,0.1336413473749706,2024-06-02 00:00:00+00:00,442,-2.4741225890227658e-05,-0.27682022000127,190,-0.0003157309205743203,-2.3216509791455118,0.005696476324962826,0.2853866059029461,0.4513393596856106
SI,420,07:00,15,120,2451,0.08356105286509005,4.149729936889028,3.328677661854978e-05,0.00010473185337368073,0.9658930475214196,0.3340977016506411,0.0003178026552103156,1.4998631943063925,0.13364984366291094,2024-02-23 00:00:00+00:00,687,0.0002711297974304958,1.2704383340532035,295,0.00042649503926026885,0.8510637837821317,0.00015768954597754318,0.650929482986427,0.4513393596856106
SI,270,04:30,30,120,2429,-0.15836598964446313,-7.9015495853123126,2.7545722894441143e-15,-0.00016508866549289295,-1.5388835521516508,0.12383272727815836,-0.0003373115785059322,-1.498521728717944,0.13399775154585852,2024-04-29 00:00:00+00:00,680,4.7561566171483435e-05,0.2327894016024828,292,-0.001233591504467037,-2.140865503307208,6.107473805693712e-14,0.40746626720722035,0.4522319624847752
HG,1200,20:00,30,5,2413,-0.005118811909623786,-0.2513468615286769,0.8015459474649957,-2.5687679991380633e-05,-2.4441787757309084,0.014518230330070506,-3.313945997403397e-05,-1.4974583071489564,0.13427404638214555,2023-12-04 00:00:00+00:00,676,-2.7083677289884334e-05,-1.1047204074075903,290,-4.725569823087932e-05,-1.0134938558719127,0.8607311583536378,0.1223420967066689,0.4528563510853696
GC,570,09:30,60,60,2416,-0.06184261579786749,-3.0443077801283307,0.002332164116685371,-2.185279680002543e-05,-0.6573266240025172,0.5109709208780314,-9.224649913846304e-05,-1.49685121645675,0.13443197618782807,2024-04-23 00:00:00+00:00,677,1.5900115628260544e-05,0.22562344879122076,291,-0.00034384532455795393,-2.8186213663741895,0.006970722580810971,0.7901876928545069,0.4528563510853696
PA,930,15:30,5,5,2521,-0.045627382524630444,-2.2924093984313725,0.02188203020352779,-0.00010522713061886646,-2.1064162273574083,0.03516821293727338,-0.00015528100867870037,-1.4966607822710492,0.1344815457035003,2024-01-03 00:00:00+00:00,707,-0.00027847997763376354,-2.0989612956372765,304,0.00013123764609508136,0.8550977916419714,0.04849724842322218,0.20967820634189901,0.4528563510853696
PL,1050,17:30,30,30,2517,-0.026907144105286253,-1.3498759806724032,0.17705576746992815,-7.125058111497002e-05,-1.5386209562015023,0.12389685943731563,-0.00013334724537919198,-1.4965223468577968,0.13451758894532143,2023-06-22 00:00:00+00:00,705,-9.910412765618646e-05,-0.978643096411359,303,-0.00021302182621984838,-1.1830757037953774,0.2727425119625032,0.40746626720722035,0.4528563510853696
GC,420,07:00,15,30,2423,-0.052595490907673376,-2.5914774337596973,0.009556480886602702,-4.262397904499724e-05,-1.5232890806365835,0.1276863977950688,-7.851752445624618e-05,-1.49443930332231,0.13506083522085496,2024-03-05 00:00:00+00:00,679,-0.00011975716415983063,-2.234014592563981,291,1.770830151878418e-05,0.14447355661305825,0.023575267485873512,0.41194682285806894,0.4544024369059859
HG,60,01:00,15,rest,2472,-0.02273651674285716,-1.1302764810729737,0.2583597415436691,-0.00045580315347921573,-1.5619192907635842,0.11830700337532365,-0.0007791434984722566,-1.4937654761547638,0.1352369280589628,2023-06-14 00:00:00+00:00,693,-0.0009656667335093766,-1.8005392094699353,297,-0.00034392261671897654,-0.28462289512997696,0.3667610080690763,0.39527539608272066,0.4547121073952696
GC,720,12:00,30,120,2450,0.012639372007937077,0.6254115478698556,0.5317009849451206,0.00012527662782018222,1.3970419214633272,0.1624009651205904,0.0002424854516729104,1.4930350131624632,0.13542802199110202,2023-11-22 00:00:00+00:00,686,0.00017292472762928072,0.9107851212784951,294,0.000404793807774713,1.2996546620993994,0.6334512945503419,0.46500751961631154,0.4550718006036409
