root,rows,first_ts,last_ts,roll_bars,mean_volume,zero_volume_fraction
GC,1059862,2023-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,15,126.19074653115217,0.0
SI,1027032,2023-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,15,46.27215607692847,0.0
HG,1008337,2023-06-22 00:00:00+00:00,2026-06-21 23:59:00+00:00,15,38.223188279315345,0.0
PL,951709,2023-06-22 00:02:00+00:00,2026-06-21 23:58:00+00:00,12,19.66315438857886,0.0
PA,525807,2023-06-22 00:33:00+00:00,2026-06-21 23:55:00+00:00,12,6.106900440655982,0.0
