split,gross_return,cost_return,net_return,gross_to_cost,tstat,sharpe,max_drawdown,mean_gross_exposure,turnover
train,0.041144173567068294,0.19854882677475255,-0.15740465320768432,0.20722446078084902,-0.7469914777158174,-0.7469914777158174,-0.24555063147450912,0.4452152331353243,883.4166666666665
embargo,0.0,0.0,0.0,,,,0.0,0.0,0.0
test,0.30998505262837983,0.11572695199348038,0.1942581006348994,2.6785899679259093,1.481933426558643,1.481933426558643,-0.05926039076451988,0.41942641137316133,514.75
full,0.35112922619544806,0.31427577876823287,0.03685344742721511,1.1172646761759941,0.10582645973192326,0.10582645973192326,-0.24555063147450912,0.43624989828301736,1398.1666666666665
