root,rows,first_date,last_date,roll_days,active_contracts
GC,4493,2010-06-06,2024-11-29,73,50
SI,4493,2010-06-06,2024-11-29,74,50
HG,4493,2010-06-06,2024-11-29,76,49
PL,4494,2010-06-06,2024-11-29,59,40
PA,4493,2010-06-06,2024-11-29,59,40
CL,4495,2010-06-06,2024-11-29,159,98
ZT,4495,2010-06-06,2024-11-29,58,40
ZF,4495,2010-06-06,2024-11-29,58,40
ZN,4495,2010-06-06,2024-11-29,58,40
ZB,4495,2010-06-06,2024-11-29,58,40
