variant,lookback_days,entry_z,rebalance_days,train_observations,train_total_gross_return,train_total_cost_return,train_total_net_return,train_gross_to_cost,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_avg_turnover,train_avg_gross_exposure,train_active_fraction,test_observations,test_total_gross_return,test_total_cost_return,test_total_net_return,test_gross_to_cost,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_avg_turnover,test_avg_gross_exposure,test_active_fraction,full_observations,full_total_gross_return,full_total_cost_return,full_total_net_return,full_gross_to_cost,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_avg_turnover,full_avg_gross_exposure,full_active_fraction
non_transition_reversion,252,1.0,10,3138,0.3266921885935808,0.047401104696224224,0.2792910838973566,6.8920796400680455,0.8900289480476627,1.635834934345098,0.4635678188575084,0.3636073932441045,-0.08067721997478446,0.10070343041475298,0.7131931166347992,0.7131931166347992,1345,-0.09200052373846626,0.022549033698228547,-0.11454955743669484,-4.080020677147412,-0.851669572020036,-0.8073324080579843,-0.34945520585500695,0.3940520446096654,-0.20653522274843397,0.11176720544351204,0.8066914498141264,0.8066914498141264,4483,0.2346916648551145,0.06995013839445277,0.1647415264606617,3.3551279560259766,0.3674805408446614,0.7419822468634795,0.1759176501207778,0.37274146776712025,-0.21834363728576817,0.10402280971738088,0.7412447022083426,0.7412447022083426
stable_reversion_transition_momentum,252,1.5,10,3138,0.25213295423141363,0.03502504599819985,0.21710790823321385,7.198647340659376,0.6918671390478452,1.5328599634737308,0.4343864622050011,0.20395156150414276,-0.09895031748733572,0.07441055024049255,0.39834289356277885,0.39834289356277885,1345,-0.04697080192160134,0.013519137056867388,-0.06048993897846872,-3.474393500415127,-0.4497393232599905,-0.505459420373104,-0.2187889697413822,0.19925650557620816,-0.18277483365892133,0.06700935344172186,0.38661710037174724,0.38661710037174724,4483,0.2051621523098123,0.048544183055067226,0.15661796925474503,4.226297352189073,0.3493597351210016,0.8446082053097105,0.20024938787807664,0.2025429399955387,-0.18277483365892166,0.07219002610613018,0.3948248940441669,0.3948248940441669
stable_reversion,126,1.5,10,3138,0.17921480393592543,0.02255886574564008,0.15665593819028534,7.944318032504007,0.49922223770008073,1.5135508114850242,0.4289145766965917,0.13193116634799235,-0.07936815967265187,0.04792620723526679,0.248565965583174,0.248565965583174,1345,0.0028677258418687637,0.009127578314603833,-0.006259852472735073,0.31418255127764766,-0.04654165407237973,-0.08348248312942376,-0.03613553480090772,0.12862453531598514,-0.062062807614698845,0.045242023864207365,0.24535315985130113,0.24535315985130113,4483,0.1820825297777942,0.031686444060243915,0.15039608571755025,5.746385723548197,0.3354808960908995,1.1767600420919264,0.2789997499750536,0.1309391032790542,-0.07936815967265187,0.04712089234923625,0.2476020521971894,0.2476020521971894
ungated_reversion,126,1.5,10,3138,0.3871337737048279,0.05116562285073971,0.33596815085408827,7.566286739715337,1.0706442028492298,1.4481678779087348,0.4103861645248586,0.3368387507966858,-0.17093224815627597,0.10870113203896263,0.6494582536647546,0.6494582536647546,1345,-0.05760275091917238,0.022977773937535823,-0.08058052485670815,-2.506889965745298,-0.5991117089718078,-0.49169444998880696,-0.21283077890050725,0.3613382899628253,-0.2216763966234874,0.11389231195804621,0.7078066914498141,0.7078066914498141,4483,0.3295310227856556,0.07414339678827551,0.2553876259973801,4.444509383980169,0.5696801829073836,0.8990811348174493,0.2131644539658497,0.3441891590452822,-0.22167639662348754,0.11025860181169682,0.6669640865491858,0.6669640865491858
stable_reversion,252,1.0,10,3138,0.19777279302340503,0.027772137924227294,0.17000065509917775,7.121266413230507,0.5417484228781955,1.4455348158420072,0.4096399994848768,0.17877629063097514,-0.06177359492857208,0.059001780166193535,0.3409815168897387,0.3409815168897387,1345,0.08319076745419907,0.011573427928843558,0.07161733952535551,7.188083596811379,0.5324709258390745,0.7964439571062745,0.34474212134261284,0.17100371747211895,-0.06871577746882225,0.057365194195011446,0.33680297397769515,0.33680297397769515,4483,0.2809635604776041,0.039345565853070856,0.24161799462453326,7.140920568452707,0.5389649668180533,1.6322924356109099,0.3870025877255606,0.1764443453044836,-0.06871577746882221,0.05851076786834836,0.339727860807495,0.339727860807495
stable_reversion,252,2.0,10,3138,0.14651621287256195,0.015235508043575773,0.13128070482898618,9.616759247771997,0.4183578866443154,1.4030755007175257,0.397607751188187,0.08986615678776291,-0.0751508206317716,0.03236776724787715,0.16889738687061823,0.16889738687061823,1345,0.07475745456699151,0.004933213489128452,0.06982424107786306,15.153906217871562,0.5191393388688703,0.9188241363464853,0.3977145900582364,0.06691449814126393,-0.053869027567105356,0.024452111470277333,0.13382899628252787,0.13382899628252787,4483,0.2212736674395535,0.02016872153270422,0.20110494590684924,10.97113007786593,0.4485945703922579,1.6685982092239973,0.3956103763981734,0.08298014722284185,-0.0751508206317716,0.029992893944091346,0.15837608744144546,0.15837608744144546
stable_reversion_transition_momentum,504,1.0,10,3138,0.2750316032208656,0.03848521122360744,0.23654639199725822,7.146423118814971,0.7538125940001855,1.3932528152050925,0.39482416905363316,0.2517527087316762,-0.14422120787793155,0.08176165545699478,0.4875717017208413,0.4875717017208413,1345,0.04211719280694429,0.015290753398975569,0.026826439407968704,2.754422343229079,0.19945308110013904,0.24454892494983937,0.1058534180679502,0.2520446096654275,-0.11768562458746308,0.07579059925142785,0.4929368029739777,0.4929368029739777,4483,0.3171487960278099,0.053775964622583015,0.2633728314052269,5.897593808937914,0.5874923743145815,1.3030489089022947,0.30894176109406574,0.25184028552308724,-0.14422120787793155,0.07997020540201208,0.489181351773366,0.489181351773366
stable_reversion_transition_momentum,252,1.0,10,3138,0.27908256088530936,0.04052857872229136,0.23855398216301804,6.886068292639375,0.7602102682059212,1.3476824166319743,0.38191029258145415,0.2530274059910771,-0.1692697894748973,0.08610278037453019,0.49394518801784576,0.49394518801784576,1345,0.008145118674374008,0.01618220432966525,-0.008037085655291223,0.5033380192488585,-0.059755283682462634,-0.07011842118366297,-0.03035087785947663,0.24237918215613383,-0.14103158389847706,0.08020919122510656,0.4855018587360595,0.4855018587360595,4483,0.28722767955968337,0.056710783051956606,0.23051689650772672,5.064780701344479,0.5142023120850473,1.0931561657032618,0.2591779853203692,0.24983270131608298,-0.19639930024969282,0.08433457216440868,0.49141200089225967,0.49141200089225967
ungated_reversion,252,2.0,21,3138,0.2308242049861909,0.016533926138139705,0.21429027884805124,13.960640870031238,0.6828880779096598,1.2627381966939213,0.3578385443050913,0.2074569789674952,-0.1574728586635526,0.035126250559039104,0.39101338432122373,0.39101338432122373,1345,-0.0029829789712470384,0.007788578947906522,-0.010771557919153588,-0.3829939955925885,-0.08008593248441329,-0.07233692465830739,-0.031311160861476756,0.2200743494423792,-0.18123408999590462,0.03860510011353915,0.44609665427509293,0.44609665427509293,4483,0.22784122601494386,0.024322505086046227,0.2035187209288976,9.36750656270418,0.4539788555183975,0.9015153150293372,0.21374157729279722,0.21124247155922374,-0.1812340899959045,0.03616998302631605,0.40753959402186035,0.40753959402186035
ungated_reversion,252,2.0,5,3138,0.24939871732960192,0.05739054943667606,0.19200816789292588,4.345640872540957,0.6118807134892476,1.2470745497949265,0.3533997329825857,0.2029955385595921,-0.116584261359336,0.12192596013740399,0.4040790312300829,0.4040790312300829,1345,0.1729167231105395,0.027589609558215607,0.14532711355232392,6.267458143823152,1.080498985519137,0.9334500089474301,0.40404542388772036,0.220817843866171,-0.08043336677837183,0.13675147240751231,0.4401486988847584,0.4401486988847584,4483,0.4223154404401414,0.08498015899489167,0.33733528144524977,4.969576962847618,0.7524766483275703,1.540813121230119,0.36531362402251183,0.20834262770466205,-0.116584261359336,0.12637394452359532,0.41490073611420925,0.41490073611420925
