date,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2010-11-22,,,,,,False,False,,,
2010-11-23,,,,,,False,False,,,
2010-11-24,,,,,,False,False,,,
2010-11-25,,,,,,False,False,,,
2010-11-26,,,,,,False,False,,,
2010-11-28,,,,,,False,False,,,
2010-11-29,,,,,,False,False,,,
2010-11-30,,,,,,False,False,,,
2010-12-01,,,,,,False,False,,,
2010-12-02,,,,,,False,False,,,
2010-12-03,,,,,,False,False,,,
2010-12-05,,,,,,False,False,,,
2010-12-06,,,,,,False,False,,,
2010-12-07,,,,,,False,False,,,
2010-12-08,,,,,,False,False,,,
2010-12-09,,,,,,False,False,,,
2010-12-10,,,,,,False,False,,,
2010-12-12,,,,,,False,False,,,
2010-12-13,,,,,,False,False,,,
2010-12-14,,,,,,False,False,,,
2010-12-15,,,,,,False,False,,,
2010-12-16,,,,,,False,False,,,
2010-12-17,,,,,,False,False,,,
2010-12-19,,,,,,False,False,,,
2010-12-20,,,,,,False,False,,,
2010-12-21,,,,,,False,False,,,
2010-12-22,,,,,,False,False,,,
2010-12-23,,,,,,False,False,,,
2010-12-26,,,,,,False,False,,,
2010-12-27,,,,,,False,False,,,
2010-12-28,,,,,,False,False,,,
2010-12-29,,,,,,False,False,,,
2010-12-30,,,,,,False,False,,,
2010-12-31,,,,,,False,False,,,
2011-01-02,,,,,,False,False,,,
2011-01-03,,,,,,False,False,,,
2011-01-04,,,,,,False,False,,,
2011-01-05,,,,,,False,False,,,
2011-01-06,,,,,,False,False,,,
2011-01-07,,,,,,False,False,,,
2011-01-09,,,,,,False,False,,,
2011-01-10,,,,,,False,False,,,
2011-01-11,,,,,,False,False,,,
2011-01-12,,,,,,False,False,,,
2011-01-13,,,,,,False,False,,,
2011-01-14,,,,,,False,False,,,
2011-01-16,,,,,,False,False,,,
2011-01-17,,,,,,False,False,,,
2011-01-18,,,,,,False,False,,,
2011-01-19,,,,,,False,False,,,
2011-01-20,,,,,,False,False,,,
2011-01-21,,,,,,False,False,,,
2011-01-23,,,,,,False,False,,,
2011-01-24,,,,,,False,False,,,
2011-01-25,,,,,,False,False,,,
2011-01-26,,,,,,False,False,,,
2011-01-27,,,,,,False,False,,,
2011-01-28,,,,,,False,False,,,
2011-01-30,,,,,,False,False,,,
2011-01-31,,,,,,False,False,,,
2011-02-01,,,,,,False,False,,,
2011-02-02,,,,,,False,False,,,
2011-02-03,,,,,,False,False,,,
2011-02-04,,,,,,False,False,,,
2011-02-06,,,,,,False,False,,,
2011-02-07,,,,,,False,False,,,
2011-02-08,,,,,,False,False,,,
2011-02-09,,,,,,False,False,,,
2011-02-10,,,,,,False,False,,,
2011-02-11,,,,,,False,False,,,
2011-02-13,,,,,,False,False,,,
2011-02-14,,,,,,False,False,,,
2011-02-15,,,,,,False,False,,,
2011-02-16,,,,,,False,False,,,
