frequency,lags,observations,mean,tstat,net_return
daily,0,934,-0.00022319272970093443,-1.1840227837462165,-0.20846200954067276
daily,5,934,-0.00022319272970093443,-1.145579057688032,-0.20846200954067276
daily,20,934,-0.00022319272970093443,-1.0902222649495346,-0.20846200954067276
daily,60,934,-0.00022319272970093443,-0.9913524105206979,-0.20846200954067276
daily,120,934,-0.00022319272970093443,-0.8121919412736007,-0.20846200954067276
