variant,cost_multiplier,observations,active_bars,gross_return,cost_return,net_return,mean_net_bps,tstat,annualized_sharpe,hit_rate,max_drawdown,gross_to_cost,turnover
cost_0.0,0.0,242166,114817,0.18259226953290003,0.0,0.18259226953290003,0.007539963063885931,0.8729353781918784,0.5039326076192558,0.21803638826259672,-0.32054895389508387,inf,1688.6944444444443
cost_1.0,1.0,242166,114817,0.18259226953290003,0.3910542790735726,-0.2084620095406728,-0.008608227808225464,-0.9977153548347943,-0.5759662318476381,0.21742110783512136,-0.49692505152735694,0.466923082814668,1688.6944444444443
cost_2.0,2.0,242166,114817,0.18259226953290003,0.7821085581471452,-0.5995162886142454,-0.02475641868033685,-2.8666785685837097,-1.6548908915398395,0.2168347331995408,-0.6943668228218217,0.233461541407334,1688.6944444444443
cost_3.0,3.0,242166,114817,0.18259226953290003,1.1731628372207177,-0.9905705676878178,-0.04090460955244823,-4.722639865141819,-2.7263097378606274,0.2162318409685918,-1.0147481737255193,0.15564102760488935,1688.6944444444443
cost_5.0,5.0,242166,114817,0.18259226953290003,1.955271395367863,-1.772679125834963,-0.073200991296671,-8.352433934576318,-4.821735855564577,0.21544312578974753,-1.788915840213432,0.09338461656293359,1688.6944444444443
cost_10.0,10.0,242166,114817,0.18259226953290003,3.910542790735726,-3.7279505212028266,-0.15394194565722794,-16.54476185493434,-9.551044890935808,0.2148113277669037,-3.7354885546429166,0.046692308281466796,1688.6944444444443
