feature,root,month,spearman_ic,pvalue,observations
rv_z_GC,GC,2023-07,-0.11925409830612918,1.3138047381369547e-10,2885
rv_z_GC,GC,2023-08,0.017497745788852572,0.2909113222626713,3645
rv_z_GC,GC,2023-09,0.042464894371106565,0.010611718385265548,3620
rv_z_GC,GC,2023-10,0.013154770247301557,0.3784958474318115,4484
rv_z_GC,GC,2023-11,0.015302497864387326,0.3313921707918815,4031
rv_z_GC,GC,2023-12,0.03783079086668269,0.018981653614987576,3845
rv_z_GC,GC,2024-01,-0.10816343212818226,5.423408185987872e-13,4425
rv_z_GC,GC,2024-02,0.027076840671083964,0.09328710876408239,3843
rv_z_GC,GC,2024-03,-0.02064490181414035,0.13253119359008947,5310
rv_z_GC,GC,2024-04,-0.06730713485832439,3.0516498357300254e-09,7744
rv_z_GC,GC,2024-05,-0.04939895045975622,6.295010434941181e-05,6556
rv_z_GC,GC,2024-06,-0.04738138968762822,0.0015689382865967329,4450
rv_z_GC,GC,2024-07,0.09014759445364147,2.5127171959172786e-11,5459
rv_z_GC,GC,2024-08,-0.09615086474434714,1.5215054992288066e-12,5388
rv_z_GC,GC,2024-09,-0.08357742754305947,1.151530015577348e-09,5288
rv_z_GC,GC,2024-10,-0.10715991989929,6.636266828198498e-16,5651
rv_z_GC,GC,2024-11,0.024029850921712923,0.07880887923161925,5351
rv_z_GC,GC,2024-12,0.03299106254424668,0.03378108233323212,4140
rv_z_GC,GC,2025-01,-0.006906453005054679,0.6387724386177823,4622
rv_z_GC,GC,2025-02,0.03144840143322379,0.023475303278270302,5190
rv_z_GC,GC,2025-03,0.02501461410083771,0.06714278673659296,5357
rv_z_GC,GC,2025-04,0.06654640594090687,2.031501050656487e-09,8101
rv_z_GC,GC,2025-05,0.07572115551392511,1.6563934761712316e-10,7104
rv_z_GC,GC,2025-06,-0.013006579091524756,0.29147040465036034,6580
rv_z_GC,GC,2025-07,0.05909745585953745,1.510448763592818e-06,6615
rv_z_GC,GC,2025-08,0.03773661910868518,0.00380243140890312,5880
rv_z_GC,GC,2025-09,-0.009378322470270293,0.3779355971628939,8841
rv_z_GC,GC,2025-10,-0.030568838707883985,0.00014256832126290577,15478
rv_z_GC,GC,2025-11,-0.06799948696874833,2.80000241537994e-10,8592
rv_z_GC,GC,2025-12,-0.03578532739154892,8.555556592442611e-05,12045
rv_z_GC,GC,2026-01,0.0017227320025616068,0.8153667879264841,18375
rv_z_GC,GC,2026-02,-0.06599557893006729,6.753633688919563e-10,8729
rv_z_GC,GC,2026-03,-0.05492019424954488,4.318383004685391e-08,9934
rv_z_GC,GC,2026-04,-0.005044241432334913,0.6829005348820525,6561
rv_z_GC,GC,2026-05,-0.04657835779808645,0.00022495832034583513,6269
rv_z_GC,GC,2026-06,-0.014659372000706312,0.3248303778016984,4513
rv_z_GC,SI,2023-07,-0.12117370803265395,6.58756909285517e-11,2885
rv_z_GC,SI,2023-08,-0.05699019233872202,0.000576717378480846,3645
rv_z_GC,SI,2023-09,-0.05608822901377564,0.0007351555299747296,3620
rv_z_GC,SI,2023-10,0.052085538161446995,0.0004844993600787443,4484
rv_z_GC,SI,2023-11,-0.05246057816015223,0.0008622681945676048,4031
rv_z_GC,SI,2023-12,0.05129961411004542,0.001462362501640741,3845
rv_z_GC,SI,2024-01,-0.15796861653420463,4.0333846091289445e-26,4425
rv_z_GC,SI,2024-02,-0.04521769163399374,0.005052704892863118,3843
rv_z_GC,SI,2024-03,-0.06083058582123805,9.174214953932508e-06,5310
rv_z_GC,SI,2024-04,-0.04051280546972498,0.0003624502155811582,7744
rv_z_GC,SI,2024-05,-0.07248283223210114,4.216152265645399e-09,6556
rv_z_GC,SI,2024-06,0.029694002732998694,0.04762298601627202,4450
rv_z_GC,SI,2024-07,0.07227712294916491,8.993499691615069e-08,5459
rv_z_GC,SI,2024-08,-0.10893552284024068,1.0729748164631193e-15,5388
rv_z_GC,SI,2024-09,-0.021075895051050005,0.12541926655014765,5288
rv_z_GC,SI,2024-10,-0.10193905766672336,1.573596389243259e-14,5651
rv_z_GC,SI,2024-11,-0.039005442721573316,0.004321493407948216,5351
rv_z_GC,SI,2024-12,0.008739331294612884,0.5740109267762677,4140
rv_z_GC,SI,2025-01,-0.030326064876820817,0.03924174832303537,4622
rv_z_GC,SI,2025-02,0.02016767764144513,0.14630411307328947,5190
rv_z_GC,SI,2025-03,0.029522867417095536,0.0307115241818192,5357
rv_z_GC,SI,2025-04,0.04124205529552573,0.00020479992138768504,8101
rv_z_GC,SI,2025-05,0.06926761117611192,5.089190215638843e-09,7104
rv_z_GC,SI,2025-06,-0.05067741848281866,3.911062045765977e-05,6580
rv_z_GC,SI,2025-07,0.02835326559328157,0.021106496811815187,6615
rv_z_GC,SI,2025-08,0.04525773644813845,0.0005176431660785944,5880
rv_z_GC,SI,2025-09,-0.03734192234840406,0.00044497899498327725,8841
rv_z_GC,SI,2025-10,-0.036488421075872544,5.606986872942896e-06,15478
rv_z_GC,SI,2025-11,-0.04566403525543324,2.2923287517300387e-05,8592
rv_z_GC,SI,2025-12,-0.04828998773039376,1.1431783798464106e-07,12045
rv_z_GC,SI,2026-01,0.010449835693824799,0.1566397873307273,18375
rv_z_GC,SI,2026-02,-0.00717365421280836,0.5027680248410995,8729
rv_z_GC,SI,2026-03,-0.061356714016890794,9.334819850854354e-10,9934
rv_z_GC,SI,2026-04,-0.0025305572770088444,0.8376218060338897,6561
rv_z_GC,SI,2026-05,-0.07124816435835567,1.6301596345442833e-08,6269
rv_z_GC,SI,2026-06,0.0036334863479100714,0.8072101568763523,4513
rv_z_GC,HG,2023-07,-0.07771479358156429,2.9312330209814983e-05,2885
rv_z_GC,HG,2023-08,0.06234171827875814,0.0001657634838549953,3645
rv_z_GC,HG,2023-09,-0.09797042353872704,3.4900916223398562e-09,3620
rv_z_GC,HG,2023-10,-0.03909598944677309,0.008838380493888744,4484
rv_z_GC,HG,2023-11,-0.07525322933771375,1.725772618739421e-06,4031
rv_z_GC,HG,2023-12,0.04720523125583869,0.0034138560508870687,3845
rv_z_GC,HG,2024-01,-0.11658391393236493,7.275986374741944e-15,4425
rv_z_GC,HG,2024-02,-0.07091882201310243,1.0799868687281214e-05,3843
rv_z_GC,HG,2024-03,-0.0877414972298302,1.5081365187964706e-10,5310
rv_z_GC,HG,2024-04,-0.07097513653437314,4.0344274064408254e-10,7744
rv_z_GC,HG,2024-05,-0.004511274474580414,0.7149575083664369,6556
rv_z_GC,HG,2024-06,-0.005608444620192284,0.7083836666738995,4450
rv_z_GC,HG,2024-07,0.06925479616147748,3.0251702574522726e-07,5459
rv_z_GC,HG,2024-08,-0.14356042199146693,3.3082120094535824e-26,5388
rv_z_GC,HG,2024-09,-0.04068826419074938,0.003083177553922723,5288
rv_z_GC,HG,2024-10,0.024998348111668216,0.06023328883153236,5651
rv_z_GC,HG,2024-11,0.023302175844560704,0.08830644288868397,5351
rv_z_GC,HG,2024-12,0.04716295726098391,0.00240240039189768,4140
rv_z_GC,HG,2025-01,-0.001242641419369353,0.9326918791781308,4622
rv_z_GC,HG,2025-02,-0.03552712403095154,0.010478538111649461,5190
rv_z_GC,HG,2025-03,-0.04730836963962646,0.0005327940119815172,5357
rv_z_GC,HG,2025-04,0.015898444628848183,0.1524823984042169,8101
rv_z_GC,HG,2025-05,0.11750055357179982,2.895102913099624e-23,7104
rv_z_GC,HG,2025-06,-0.0016607194190042204,0.8928590301083886,6580
rv_z_GC,HG,2025-07,0.08951661357169252,3.0112258327130373e-13,6615
rv_z_GC,HG,2025-08,0.05173034287028607,7.230935968043205e-05,5880
rv_z_GC,HG,2025-09,0.003315965455808265,0.7552337921787752,8841
rv_z_GC,HG,2025-10,-0.04622010464366567,8.773502391041988e-09,15478
rv_z_GC,HG,2025-11,-0.0009624958101671277,0.9289200213102592,8592
rv_z_GC,HG,2025-12,-0.03914572996546392,1.7278674188158357e-05,12045
rv_z_GC,HG,2026-01,0.0076589387223120016,0.29920135732888264,18375
rv_z_GC,HG,2026-02,-0.004671181084073497,0.6625725043154755,8729
rv_z_GC,HG,2026-03,-0.052912841180429424,1.314399668328829e-07,9934
rv_z_GC,HG,2026-04,-0.09075795120823715,1.7688555687752848e-13,6561
rv_z_GC,HG,2026-05,-0.029316958164247744,0.020272529039084615,6269
rv_z_GC,HG,2026-06,0.009048618237822216,0.5433732223208745,4513
rv_z_GC,PL,2023-07,-0.15019302730680373,5.072734945185925e-16,2885
rv_z_GC,PL,2023-08,0.0012257260130994934,0.9410291427872031,3645
rv_z_GC,PL,2023-09,-0.1141678127303279,5.609375710326529e-12,3620
rv_z_GC,PL,2023-10,-0.020374533290395243,0.17253783238544693,4484
rv_z_GC,PL,2023-11,0.04550751453145225,0.003853885793095888,4031
