root,rows,first_ts,last_ts
GC,3336941,2016-06-22 00:01:00+00:00,2026-06-21 23:59:00+00:00
SI,3226462,2016-06-22 00:01:00+00:00,2026-06-21 23:59:00+00:00
HG,3278030,2016-06-22 00:01:00+00:00,2026-06-21 23:59:00+00:00
PL,2874098,2016-06-22 00:01:00+00:00,2026-06-21 23:58:00+00:00
PA,1370958,2016-06-22 00:29:00+00:00,2026-06-21 23:55:00+00:00
