variant,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,hit_rate,mean_gross_exposure,mean_turnover,gross_to_cost,bars
horizon_4h_q95,-0.0355028568910815,0.30879336882070463,-0.3442962257117861,-0.11453023355303267,0.05535598770123157,-2.06897642529978,-3.5872496338239785,-0.36476739701416033,0.06421081258854483,0.04598322707953856,0.004931946974296702,-0.11497286041688155,316224
horizon_1d_q95,-0.016526354545175773,0.40897602764321633,-0.42550238218839204,-0.1415434836924501,0.047495347495954236,-2.9801547131433686,-5.167076228001662,-0.4349536106158886,0.06638016089860352,0.049337178708763404,0.00677367941712204,-0.04040910329246261,316224
horizon_4h_q90,0.011293773437817928,0.6410095107196888,-0.6297157372818708,-0.20947511206029443,0.0772405081561959,-2.7119851624576765,-4.702116303501506,-0.6386363614426391,0.11998773021655536,0.10237489880590973,0.010310412871888282,0.01761872990798206,316224
horizon_1h_q95,-0.119760618917508,0.5485378163343084,-0.6682984352518163,-0.22230965708171757,0.08019852547520763,-2.7719918260896437,-4.806157548007027,-0.6867917367083595,0.08579677696822506,0.07837988261485529,0.008504730823719893,-0.21832700563441088,316224
horizon_1d_q90,-0.03146914046871402,0.6413519381234902,-0.6728210785922042,-0.2238141156245925,0.07609425579577922,-2.94127478196596,-5.099665107616832,-0.6756704196915732,0.12131906496660595,0.10460116879174254,0.010016950010119409,-0.04906688293604991,316224
horizon_15m_q95,0.07303940991754757,0.9173376313782109,-0.8442982214606632,-0.28085603405146375,0.07928856996296697,-3.5422007760089786,-6.141567531311092,-0.851235166493477,0.10132374519328072,0.09578969338190649,0.013923674357417527,0.0796210767106686,316224
horizon_4h_q80,0.23285169237454403,1.2792146075399897,-1.0463629151654459,-0.34807290962129245,0.10054691556547365,-3.461795995070938,-6.002159456163069,-1.0685363022885768,0.17227345173041894,0.20060463468933415,0.020573391013964784,0.18202707427046388,316224
horizon_1h_q90,-0.06679716899503568,1.031690235459226,-1.0984874044542616,-0.36541213522488075,0.09965174560820507,-3.6668914628103986,-6.357759758104999,-1.108937285587374,0.1370800445253997,0.14519075086014976,0.016001947986237604,-0.06474537288346335,316224
horizon_1d_q80,-0.13828753337891664,1.0996117646863937,-1.2378992980653103,-0.4117875397252774,0.09797330827246102,-4.203058434855622,-7.287381164428688,-1.2492077451942984,0.17197935640558593,0.19236680327868852,0.01649906395466505,-0.12576032543481916,316224
horizon_15m_q90,0.1809397513099584,1.580844273984653,-1.3999045226746945,-0.4656786219553116,0.09461703132220249,-4.921720914805717,-8.533418425423806,-1.4047796340185077,0.14634879073062132,0.16639154523375835,0.02414554240032382,0.11445766941602938,316224
horizon_1h_q80,-0.08287008262381518,1.793964783896984,-1.876834866520799,-0.6243296311445554,0.11832230378023227,-5.276516862823796,-9.148573638913334,-1.887422435392166,0.1815991196114147,0.24823100080955268,0.028035190244889704,-0.04619381794318091,316224
horizon_15m_q80,0.31257788572555645,2.5912357345528996,-2.2786578488273426,-0.7579961559965271,0.10979910682687612,-6.90348198543805,-11.969451619432963,-2.2841875381069796,0.17980924913985022,0.2580828779599271,0.039083055049585105,0.12062888820089912,316224
