root,horizon,threshold,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_exposure,mean_turnover,gross_to_cost,bars
GC,1h,q90,0.1900130790110488,0.18352262087046564,0.006490458140583224,0.0021590526738142282,0.11448939139389974,0.018858102462838908,0.032696709506794944,-0.2210065152913882,0.15929214733859542,0.010536834648856507,1.0353659843663865,316224
PA,4h,q95,0.19491214097414478,0.2237553608055193,-0.0288432198313745,-0.009594704957567883,0.07244417708442127,-0.13244273513365884,-0.22963294665961426,-0.13647332833067619,0.011324251163732039,0.0012649261283141065,0.871094843370282,316224
GC,4h,q95,-0.04509614636342718,0.05199440399211273,-0.09709055035553985,-0.03229719810324311,0.08415629552806538,-0.38377637585618635,-0.6654022959980916,-0.2112664295016103,0.056042552114956484,0.002985225662821291,-0.8673269217638888,316224
GC,4h,q80,0.1653918466599853,0.2735214091364743,-0.10812956247648893,-0.03596932850140035,0.13654263241895168,-0.26342928845136226,-0.45674112424878816,-0.20023992582471178,0.24509841125278284,0.01570405788301963,0.6046760550925011,316224
PA,1d,q95,0.022530226702481393,0.14208465411150478,-0.11955442740902335,-0.039769812942755715,0.05584822557574991,-0.7121052196871289,-1.234668098355286,-0.22105846123363326,0.007640153815017203,0.0008032280914794576,0.15856903649003634,316224
GC,1h,q95,-0.024182981841200935,0.0958371429515637,-0.1200201247927646,-0.03992472730469697,0.08836970880365966,-0.4517919980182572,-0.7833296985105909,-0.16248284942480248,0.08696683363691561,0.005502428658166363,-0.2523341274209631,316224
GC,4h,q90,-0.014182953203673243,0.12062261095627845,-0.13480556415995162,-0.044843107749929265,0.11088653996633754,-0.40440532965987164,-0.7011693574655609,-0.27145801808700964,0.11953235681036227,0.006925470552519733,-0.11758121542248888,316224
HG,1d,q80,0.2079236901315269,0.3539298863452497,-0.14600619621372313,-0.04856900106289833,0.1479730267930937,-0.3282287462485371,-0.5690922503478819,-0.26759023051152026,0.16923130439182352,0.013983758348512447,0.5874714121448975,316224
GC,15m,q95,0.03375388781251232,0.18253120215027707,-0.14877731433776475,-0.04949081426399688,0.11690174463975497,-0.4233539406662239,-0.7340229932357999,-0.22825997012475624,0.12403549382716049,0.010479912973082373,0.18492119382812644,316224
HG,1d,q95,-0.004835924854102114,0.1522330718744154,-0.15706899672851762,-0.05224904467676782,0.09003925839009233,-0.5802918150480586,-1.006126302642904,-0.2296273982252918,0.050666616069621535,0.006014723740133576,-0.031766585240370813,316224
GC,1d,q95,-0.0664753331647745,0.09484572423137512,-0.16132105739614955,-0.05366349381962079,0.05452322669075428,-0.98423180498818,-1.7064888409882149,-0.19044572607324228,0.04016140457397288,0.0054455069823922285,-0.700878544641703,316224
SI,15m,q95,0.39657628050172766,0.6034772854740578,-0.2069010049723296,-0.06882567583437467,0.2793786783530873,-0.24635264308678095,-0.4271331552637571,-0.5107754975361669,0.11020036429872496,0.010207953855494839,0.6571519592327318,316224
