root,mean_train_signed_next_return,direction,train_events
CL,-0.0023681027963661705,-1.0,7
RTY,-0.0006880881259786106,-1.0,6
SR3,-8.453838718658346e-05,-1.0,8
ZB,-0.00028533586507359685,-1.0,9
ZT,-8.518515141620053e-05,-1.0,8
