root,model_direction,ofi_high_abs_threshold,ret_abs_threshold,train_events,label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
CL,fade,0.11756116334926922,0.01185688657477062,7,CL_impact_decay,6,0.04981890569212055,0.0017999999999999997,0.04801890569212054,80.03150948686756,1.2840275799360286,37.21465482670174,0.8333333333333334,-0.015811259897333042
RTY,fade,0.12398020779437044,0.0039335063853863875,6,RTY_impact_decay,16,-0.016445253807737537,0.0048,-0.021245253807737535,-13.27828362983596,-2.046608881696645,-36.32370428675291,0.25,-0.025678435211736662
SR3,fade,0.2568478040520397,0.00015612396274367057,8,SR3_impact_decay,4,-2.1645541359305298e-08,0.0012,-0.0012000216455413592,-3.000054113853398,-5.764353631980931,-204.6142559087954,0.0,-0.0009520738018137123
ZB,fade,0.14237177667673231,0.0016963532481790722,9,ZB_impact_decay,2,0.0008375725159863734,0.0006,0.00023757251598637344,1.1878625799318672,0.8417144786670202,42.253731483339884,0.5,-2.2337912974268166e-05
ZT,fade,0.172963076910323,0.00030282843980451447,8,ZT_impact_decay,4,-0.0003787735358340427,0.0012,-0.0015787735358340424,-3.946933839585106,-3.665187236602196,-130.10124067042202,0.0,-0.0008621305360371079
