root,rows,median_spread_bps,p75_spread_bps,median_top_depth,per_side_cost_bps,source
GC,41124344,1.1015763557651,1.3803257568794602,3.0,0.55078817788255,mbp1
SI,23412610,3.739016638624893,4.665629860031281,3.0,1.8695083193124464,mbp1
HG,14503067,1.6007683688161451,2.384453364066378,4.0,0.8003841844080726,mbp1
PL,16496932,5.126364894653202,6.613160188776484,3.0,2.563182447326601,mbp1
PA,2584537,11.187768040275966,12.332990750256938,5.0,5.593884020137983,mbp1
