variant,gate,target_roots,entry_z,exit_z,max_holding_bars,observations,active_bars,gross_return,cost_return,net_return,mean_net_bps,tstat,annualized_sharpe,hit_rate,max_drawdown,gross_to_cost,turnover,entries,exits,root_active_bars,max_active_roots,mean_gross_exposure
all_resid_momentum_no_flow_h20,no_flow,"GC,SI,HG,PL,PA",2.0,0.75,20,242166,129794,-0.4728410231868252,1.2679916899814676,-1.740832713168293,-0.07188592590075787,-7.564215708074788,-4.36670919932264,0.24149963248350306,-1.7646990205932909,-0.372905459020584,5489.5,3216,3216,181270,5,0.5359711933136774
pa_pl_resid_momentum_no_flow_h20,no_flow,"PL,PA",2.0,0.75,20,242166,66117,-0.477038508398383,0.7814986592494669,-1.25853716764785,-0.051970019228456926,-6.870387992974858,-3.966172781113727,0.12298175631591553,-1.2669795866679845,-0.6104150055183968,2566.75,1361,1361,74542,2,0.2730234632442209
pa_pl_resid_momentum_md_q95_h20,md_q95,"PL,PA",2.0,0.75,20,242166,26157,-0.06197906970270253,0.7537986814945227,-0.8157777511972255,-0.03368671701218278,-6.716107361123183,-3.8771088674994116,0.04852043639486964,-0.8356220466557798,-0.08222231110807918,2544.5,1385,1385,29180,2,0.10801268551324299
pa_pl_resid_momentum_md_q99_h20,md_q99,"PL,PA",2.0,0.75,20,242166,9439,-0.10539454764035742,0.2789765295191975,-0.384371077159555,-0.01587221480965763,-5.132619458123102,-2.962984857833055,0.017401286720679202,-0.4012063513614807,-0.377790016321444,941.5,533,533,10787,2,0.038977395670738255
pa_pl_resid_momentum_md_q99_h50,md_q99,"PL,PA",2.0,0.75,50,242166,19070,-0.06286511859716244,0.23741805362168433,-0.3002831722188468,-0.012399889836675951,-2.9575049571845597,-1.7073236145016133,0.03552108883988669,-0.31327129909890433,-0.2647865974730606,799.25,447,447,21760,2,0.0787476359191629
pa_pl_resid_momentum_md_q99_z2_5_h20,md_q99,"PL,PA",2.5,0.75,20,242166,5241,-0.049137472907561375,0.15302433299920837,-0.2021618059067698,-0.008348067272316089,-3.40946456670456,-1.9682331735067147,0.0094976173368681,-0.2067253175600843,-0.3211088847406744,517.75,273,273,5564,2,0.021642179331532917
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,md_q99,,2.0,0.75,20,242166,0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,0.0,0,0,0,0,0.0
