variant,split,start_index,end_index,gross_exposure_mean,observations,active_bars,gross_return,cost_return,net_return,mean_net_bps,tstat,annualized_sharpe,hit_rate,max_drawdown,gross_to_cost,turnover
all_resid_momentum_no_flow_h20,train,0,169515,0.5432407560348286,169516,92087,0.13931988950679786,0.867313711627699,-0.7279938221209014,-0.04294543418443694,-4.040098630729264,-2.7876199877295194,0.25264281837702635,-0.7534837171691937,0.1606337910250887,3743.166666666667
all_resid_momentum_no_flow_h20,test_purged,169566,242165,0.5186776859504132,72600,37657,-0.614747543116517,0.4000643822993465,-1.0148119254158638,-0.13978125694433385,-7.0916454306838155,-7.47697026209908,0.2152892561983471,-1.0232776707191762,-1.5366215297230204,1744.1666666666665
pa_pl_resid_momentum_no_flow_h20,train,0,169515,0.28020363859458697,169516,47498,0.0019702799971014207,0.5310607900415337,-0.5290905100444324,-0.031211833103921307,-3.648170691787582,-2.517194372861237,0.13054814884730645,-0.537959103599631,0.0037100837306164648,1734.25
pa_pl_resid_momentum_no_flow_h20,test_purged,169566,242165,0.25575757575757574,72600,18569,-0.4820374052648772,0.2499390973176967,-0.7319765025825741,-0.10082320972211764,-6.547072484197776,-6.902807923299358,0.1050137741046832,-0.7380519239986941,-1.9286194534509387,831.0
pa_pl_resid_momentum_md_q95_h20,train,0,169515,0.11225489039382713,169516,19029,0.04133207230122348,0.5473376871538269,-0.5060056148526035,-0.029850020933280843,-5.136886601239788,-3.5443906382382537,0.05184171405649024,-0.5262822597264304,0.075514756742134,1843.75
pa_pl_resid_momentum_md_q95_h20,test_purged,169566,242165,0.09772727272727273,72600,7096,-0.1027383274919463,0.20503569053078413,-0.3077740180227305,-0.042393115430128164,-4.338566455658243,-4.574302633453757,0.04055096418732782,-0.3114380728785523,-0.5010753358402308,696.75
pa_pl_resid_momentum_md_q99_h20,train,0,169515,0.04195474173529343,169516,7112,-0.011723279974461055,0.21055846496841923,-0.22228174494288033,-0.013112729473493966,-3.6313252216305245,-2.5055711988735174,0.01944949149342835,-0.24470153257210925,-0.05567707751013183,704.0
pa_pl_resid_momentum_md_q99_h20,test_purged,169566,242165,0.032052341597796144,72600,2327,-0.09367126766589637,0.06841806455077824,-0.16208933221667463,-0.022326354299817445,-3.7571107440893057,-3.961253503090032,0.012630853994490357,-0.16445126127354293,-1.3691013956756377,237.5
pa_pl_resid_momentum_md_q99_h50,train,0,169515,0.08526628754807805,169516,14454,0.045876025474860124,0.17924587102860967,-0.13336984555374962,-0.007867684793986977,-1.619610556563965,-1.1175120145520998,0.03984874584110055,-0.15898633838457896,0.25593909199469256,597.75
pa_pl_resid_momentum_md_q99_h50,test_purged,169566,242165,0.06358126721763085,72600,4616,-0.10874114407202257,0.058172182593074634,-0.16691332666509723,-0.022990816345054715,-2.810214341951294,-2.9629074479641715,0.025440771349862258,-0.16997508979076784,-1.8692979913215109,201.5
pa_pl_resid_momentum_md_q99_z2_5_h20,train,0,169515,0.023425517355293895,169516,3971,0.00691466742299366,0.11701464706992348,-0.11009997964692986,-0.00649496092681103,-2.354379062521468,-1.624493541681691,0.01059487010075745,-0.1178612059053391,0.0590923238768709,390.75
pa_pl_resid_momentum_md_q99_z2_5_h20,test_purged,169566,242165,0.0174931129476584,72600,1270,-0.05605214033055505,0.036009685929284885,-0.09206182625983994,-0.012680692322292002,-2.5253740406903127,-2.662590337810747,0.006942148760330578,-0.10060954893946165,-1.5565850932615504,127.0
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,train,0,169515,0.0,169516,0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,0.0
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,test_purged,169566,242165,0.0,72600,0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,0.0
