gate,root,horizon,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate
no_flow,PL,1,27608,-0.13190459184722564,0.0,14.850702853877927,-1.47580976336545,0.4409953636627065
no_flow,PL,2,27577,-0.2413081820417495,0.0,20.81842564996501,-1.924853466594293,0.4732929615259093
no_flow,PL,5,27492,-0.2619543600002591,0.0,32.68165640546245,-1.328999260030274,0.4963262039866143
no_flow,PL,10,27355,-0.07491695839598611,1.0067958729820248,46.35307049689383,-0.2673129438148954,0.5050630597696948
no_flow,PL,20,27095,-0.3173987444634073,0.7063393963679943,63.95037482222651,-0.8169710888004673,0.5013102048348403
no_flow,PL,50,26297,-0.686243668776474,1.862370803413782,101.24641194371748,-1.099136961951084,0.5064456021599422
no_flow,PA,1,27345,-0.5501590857046105,0.0,19.22557449261751,-4.73203477277758,0.377546169317974
no_flow,PA,2,27330,-0.7953824229427285,0.0,26.612298825394575,-4.9409836155186,0.43077204537138675
no_flow,PA,5,27289,-1.0302727539169327,0.0,41.27880684302213,-4.123052738108125,0.45890285463007074
no_flow,PA,10,27216,-1.0348329315410925,0.0,57.25215178245722,-2.981882834793897,0.4658289241622575
no_flow,PA,20,27064,-0.40941943077084936,0.0,78.35439818913541,-0.8596092164782816,0.4827076559266923
no_flow,PA,50,26403,3.9170693497208084,0.0,118.45787214453726,5.373088220377591,0.49763284475249026
md_q95,PL,1,1964,-0.39919678004777737,0.0,18.867480989535615,-0.9376566762834007,0.4424643584521385
md_q95,PL,2,1964,-0.5349142972388737,0.0,26.14519484535746,-0.9066988500237255,0.46181262729124234
md_q95,PL,5,1960,0.23940930568019764,0.0,39.41522762496358,0.2689088056701171,0.4872448979591837
md_q95,PL,10,1953,-0.34990656665448117,0.9394522999972565,56.23453246682758,-0.2749793783301171,0.5023041474654378
md_q95,PL,20,1926,-2.2169501582064868,0.0,68.92154116239706,-1.4116566896948464,0.4994807892004154
md_q95,PL,50,1839,1.7681596223613494,4.201239427406023,100.25391358209845,0.7563294274895084,0.5236541598694943
md_q95,PA,1,1866,-0.9618483202673083,0.0,23.44027824993196,-1.7725547071470544,0.4067524115755627
md_q95,PA,2,1866,-1.1471634713307284,0.0,31.788902360448393,-1.5588545565980039,0.4255091103965702
md_q95,PA,5,1864,-1.1734252274484671,0.0,46.422807118445284,-1.091307090214888,0.4560085836909871
md_q95,PA,10,1864,-1.0906776779267506,0.0,64.81516300524989,-0.7265119485057921,0.4619098712446352
md_q95,PA,20,1856,-2.1150718748490465,-3.4533519004043,82.63055809912505,-1.1027407668076912,0.4682112068965517
md_q95,PA,50,1780,0.34746055059489156,0.0,119.56603390499659,0.12260485867319704,0.4960674157303371
md_q99,PL,1,415,-0.8084262723422571,0.0,18.444768213309427,-0.8928762377292311,0.4433734939759036
md_q99,PL,2,415,-0.7875175221376683,0.0,26.74148354335723,-0.5999275095264843,0.4795180722891566
md_q99,PL,5,415,1.2460410755219664,1.207073451885421,41.05908463709458,0.6182258271351287,0.5132530120481927
md_q99,PL,10,414,0.6783480941361032,1.9204407337758411,59.43510923847448,0.23222539725107078,0.5169082125603864
md_q99,PL,20,409,-1.8204857899825573,2.1088148538783713,70.69146582752306,-0.5208131728605508,0.5256723716381418
md_q99,PL,50,380,2.945743443868828,5.895192509233205,88.3508169891262,0.6499443133274581,0.5263157894736842
md_q99,PA,1,441,-0.8974320273597278,0.0,27.336912419742593,-0.6894001884771647,0.3900226757369615
md_q99,PA,2,441,-1.3955801132173313,0.0,36.235026543901576,-0.8088080835833253,0.41043083900226757
md_q99,PA,5,441,-2.0082643461872776,-4.3907794338782224,49.37083671360175,-0.8542199014081919,0.43537414965986393
md_q99,PA,10,441,-4.559798643103505,-4.92975114740446,64.32492527517435,-1.4886262377381998,0.42857142857142855
md_q99,PA,20,438,-5.8002993798956854,-6.015266088086335,79.22005930803955,-1.532329992287277,0.4497716894977169
md_q99,PA,50,409,0.5410654810433302,3.390405185879075,108.59240344509307,0.10076553992858099,0.5061124694376528
