strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl
event_20D_pure,GC,0.03187153421750498,318.7153421750498,-0.16953940206869042
event_20D_pure,SI,-0.09718405434703063,-971.8405434703063,0.5169668442116349
event_20D_pure,HG,0.025607166173427925,256.07166173427925,-0.13621633687568455
event_20D_pure,PL,-0.0477591446921406,-477.591446921406,0.254052935737571
event_20D_pure,PA,-0.10052445158170253,-1005.2445158170253,0.534735958995169
event_60D_pure,GC,0.019467554197247532,194.67554197247532,-0.07333435259180181
event_60D_pure,SI,-0.05750896067495811,-575.0896067495811,0.21663647916910525
event_60D_pure,HG,0.017432409923385128,174.32409923385129,-0.06566795617433538
event_60D_pure,PL,-0.07366866733465413,-736.6866733465413,0.2775101571851032
event_60D_pure,PA,-0.17118529459118906,-1711.8529459118906,0.6448556724119286
event_120D_pure,GC,-0.0010311512333933369,-10.311512333933369,0.009355241998978971
event_120D_pure,SI,0.013116505196567738,131.16505196567738,-0.11900105078761898
event_120D_pure,HG,0.01649011249672154,164.9011249672154,-0.14960850358443087
event_120D_pure,PL,-0.0327179207546646,-327.179207546646,0.2968372208177799
event_120D_pure,PA,-0.10607930517504269,-1060.793051750427,0.9624170915552913
event_252D_pure,GC,0.00044104440430513345,4.410444043051335,-0.003641728537683849
event_252D_pure,SI,0.006015818873140295,60.15818873140295,-0.049672955951834796
event_252D_pure,HG,0.037294861235613,372.94861235613,-0.3079457740421222
event_252D_pure,PL,-0.08548228579679534,-854.8228579679534,0.7058320582098654
event_252D_pure,PA,-0.07937797268338824,-793.7797268338824,0.6554284003217754
event_120D_carry_tailwind,GC,0.010151114826018302,101.51114826018302,2.39754986495036
event_120D_carry_tailwind,SI,0.018355464446320094,183.55464446320093,4.335301300264942
event_120D_carry_tailwind,HG,0.036012081709050875,360.12081709050875,8.5055447719709
event_120D_carry_tailwind,PL,0.017109773740913426,171.09773740913425,4.041086759920791
event_120D_carry_tailwind,PA,-0.07739448114560468,-773.9448114560469,-18.27948269710698
event_120D_agree_60D,GC,-0.002623717073825898,-26.23717073825898,0.02008255627654536
event_120D_agree_60D,SI,0.009021513135990325,90.21513135990325,-0.06905281330083732
event_120D_agree_60D,HG,0.0017106673859505657,17.10667385950566,-0.013093856190335044
event_120D_agree_60D,PL,-0.03564249837394348,-356.4249837394348,0.2728161837921151
event_120D_agree_60D,PA,-0.10311253405155645,-1031.1253405155644,0.7892479294225121
event_120D_agree_60D_carry,GC,0.006848367146274474,68.48367146274474,-0.23638897903920159
event_120D_agree_60D_carry,SI,0.008476319981113579,84.76319981113579,-0.292581951806577
event_120D_agree_60D_carry,HG,0.017417750881918364,174.17750881918363,-0.6012184014368578
event_120D_agree_60D_carry,PL,0.034912714470256914,349.1271447025691,-1.2051019977223083
event_120D_agree_60D_carry,PA,-0.09662590726732682,-966.2590726732683,3.3352913300049445
event_60D_agree_120D,GC,0.02443795817765841,244.3795817765841,-0.1279369467327064
event_60D_agree_120D,SI,-0.04678976193135197,-467.89761931351967,0.24495251347635164
event_60D_agree_120D,HG,0.04618483089112507,461.84830891125074,-0.24178559463199323
event_60D_agree_120D,PL,-0.07931203875773415,-793.1203875773415,0.4152122695376032
event_60D_agree_120D,PA,-0.13553663164587343,-1355.3663164587342,0.7095577583507447
event_20D_agree_60D_carry,GC,0.02267406113415956,226.7406113415956,-0.5144906572862931
event_20D_agree_60D_carry,SI,-0.07784901846821758,-778.4901846821758,1.7664498849068058
event_20D_agree_60D_carry,HG,0.06724792816919978,672.4792816919978,-1.5259035670848051
event_20D_agree_60D_carry,PL,-0.047891343209850556,-478.91343209850555,1.0866888159368437
event_20D_agree_60D_carry,PA,-0.00825251756866753,-82.52517568667531,0.18725552352744929
xs_120D_paired_extremes,GC,0.011301757917008963,113.01757917008963,1.2124844543396471
xs_120D_paired_extremes,SI,-0.019988152847090702,-199.88152847090703,-2.1443853934960386
xs_120D_paired_extremes,HG,0.01255914979041793,125.59149790417929,1.3473809997015795
xs_120D_paired_extremes,PL,0.013472159555290962,134.7215955529096,1.4453312614836706
xs_120D_paired_extremes,PA,-0.00802375745022571,-80.2375745022571,-0.8608113220288581
xs_120D_paired_spread,GC,0.014024958151528976,140.24958151528975,-0.22945726120283255
xs_120D_paired_spread,SI,0.009437801605786856,94.37801605786855,-0.1544084541887535
xs_120D_paired_spread,HG,0.010809181425712078,108.09181425712077,-0.17684510277972063
xs_120D_paired_spread,PL,-0.0373183679772993,-373.183679772993,0.6105523036941874
xs_120D_paired_spread,PA,-0.05807588451550831,-580.7588451550831,0.9501585144771189
xs_120D_demeaned,GC,0.009497088793459911,94.97088793459912,-0.3426382656759802
xs_120D_demeaned,SI,0.016946079729760866,169.46079729760865,-0.6113847616767211
xs_120D_demeaned,HG,0.008060118444531415,80.60118444531415,-0.2907949019997631
xs_120D_demeaned,PL,-0.01794941754574406,-179.4941754574406,0.6475834259866041
xs_120D_demeaned,PA,-0.04427140638398,-442.7140638398,1.597234503365861
xs_multi_window_demeaned,GC,0.007651709813637178,76.51709813637179,-0.10969011077750768
xs_multi_window_demeaned,SI,-0.013015131074055823,-130.15131074055824,0.18657675265632595
xs_multi_window_demeaned,HG,-0.003245161909384533,-32.45161909384533,0.04652060493681137
xs_multi_window_demeaned,PL,0.0007368990240957784,7.368990240957784,-0.01056372203776519
xs_multi_window_demeaned,PA,-0.06188583327678562,-618.8583327678563,0.887156475222136
