root,daily_rows,hourly_rows,first_ts,last_ts,contracts,first_date,last_date
GC,22236,339832,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,120,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00
SI,16968,244408,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,120,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00
HG,22259,305627,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,120,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00
PL,10152,160022,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,114,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00
PA,6003,97411,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,68,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00
