root,target_months,hourly_obs,days,first_ts,last_ts,median_tenor_months,median_funding_pct_ann,mean_funding_pct_ann,p10_funding_pct_ann,p90_funding_pct_ann,contango_fraction,backwardation_fraction,median_abs_funding_z,latest_ts,latest_funding_pct_ann,latest_funding_z_126d,latest_anchor,latest_far
GC,1,51812,3054,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,2.0,2.7923242668051014,3.215187283881634,0.8629154315725415,5.781633734967313,0.9859878020535783,0.012931367250829924,0.8500476367470169,2026-06-21 23:00:00+00:00,7.654151552971003,1.7981613790728157,GCQ6,GCU6
GC,3,45187,2879,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,4.0,2.7637437780295127,3.1763786462074424,0.8371696240149682,5.688465763211371,0.9965919401597805,0.003363799322814084,1.0178768670770952,2026-06-21 23:00:00+00:00,4.44134186151035,-0.34287226251506825,GCQ6,GCZ6
GC,6,37034,2736,2016-06-22 01:00:00+00:00,2026-06-19 16:00:00+00:00,6.0,2.8270624536005267,3.192046272532726,0.8059286874282345,5.543436982751498,0.9958956634444024,0.003915321056326619,1.0268710894129487,2026-06-19 16:00:00+00:00,4.1503629679909295,0.5851197340812366,GCQ6,GCG7
HG,1,32708,2993,2016-06-22 01:00:00+00:00,2026-06-21 22:00:00+00:00,1.0,2.3295262571986224,2.313114511355595,-1.0041481947514828,5.898605001914683,0.8281460193224899,0.16026660144307203,0.6576983405341099,2026-06-21 22:00:00+00:00,6.506636506339686,0.9264314951431273,HGN6,HGQ6
HG,3,42600,2844,2016-06-22 01:00:00+00:00,2026-06-21 23:00:00+00:00,3.0,2.0730898290150743,2.0938217431429,-0.5139313727441982,5.046629802529365,0.8504225352112676,0.14565727699530517,0.8243834876378751,2026-06-21 23:00:00+00:00,6.122733267405455,0.00166136814285473,HGN6,HGZ6
HG,6,29798,2577,2016-06-22 00:00:00+00:00,2026-06-19 14:00:00+00:00,7.0,1.984644910192677,2.074894196723426,-0.37972273314520916,4.9896037321767785,0.8528089133498893,0.1443385462111551,0.884014112995529,2026-06-19 14:00:00+00:00,5.439505134236082,-0.20373357228928782,HGN6,HGH7
PA,1,28074,2269,2016-06-22 13:00:00+00:00,2026-06-19 16:00:00+00:00,3.0,0.7562286107038538,0.955479743789205,-2.7545880867027392,4.928809850033253,0.5875543207238014,0.4062477737408278,0.6329213821905482,2026-06-19 16:00:00+00:00,4.873316321457204,0.1719141654811634,PAU6,PAZ6
PA,3,28645,2269,2016-06-22 13:00:00+00:00,2026-06-19 16:00:00+00:00,3.0,0.7985173049698933,0.9983607911289999,-2.726139195466119,4.996595157611621,0.5940652818991098,0.3998254494676209,0.7247235913682066,2026-06-19 16:00:00+00:00,4.873316321457204,0.1494070690092162,PAU6,PAZ6
PA,6,810,174,2016-08-12 14:00:00+00:00,2026-06-18 16:00:00+00:00,6.0,-0.7481030219473377,0.44507240559007977,-3.209294712210678,5.287303020590902,0.44814814814814813,0.5518518518518518,1.1350099413400996,2026-06-18 16:00:00+00:00,5.504934678017987,1.2765472937008844,PAU6,PAH7
PL,1,46846,2844,2016-06-22 13:00:00+00:00,2026-06-21 23:00:00+00:00,3.0,2.1464780821755074,2.252600010105827,0.37650409715452243,4.256422449413748,0.9333561029757076,0.06359134184348716,0.6046737832703458,2026-06-21 23:00:00+00:00,4.171449252904043,0.43315359125697295,PLN6,PLV6
PL,3,49763,2844,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,3.0,2.1560811620542237,2.2455802457138576,0.4074657152520347,4.3115273155557565,0.9364186242790828,0.060466611739645924,0.8266000850343422,2026-06-21 23:00:00+00:00,4.171449252904043,0.9281505928253149,PLN6,PLV6
PL,6,18374,1669,2016-06-22 13:00:00+00:00,2026-06-19 15:00:00+00:00,6.0,2.7113934650762523,2.599818293350893,0.6751931785920071,4.321928588552337,0.9551540219875911,0.04375748340045717,0.8733914415265637,2026-06-19 15:00:00+00:00,3.7259655709645956,0.5253843332449107,PLN6,PLF7
SI,1,43038,2969,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00,2.0,3.1966868097538277,3.4302794705356554,0.7502345240196997,6.087122682270845,0.9532041451740323,0.0396626237278684,0.5782016433383479,2026-06-21 23:00:00+00:00,2.60243305468647,-2.9569942575809147,SIN6,SIQ6
SI,3,44802,2829,2016-06-22 00:00:00+00:00,2026-06-19 16:00:00+00:00,3.0,3.1277313953185466,3.376390872808824,1.0086176183183297,5.712609634599932,0.9898442033837775,0.009129056738538458,0.847907209433945,2026-06-19 16:00:00+00:00,3.2136369053818483,0.03893579160796322,SIN6,SIZ6
SI,6,20366,2255,2016-06-22 13:00:00+00:00,2026-06-17 22:00:00+00:00,7.0,3.12181378886539,3.257141536018183,0.9539175207318683,5.45683359047991,0.990768928606501,0.008396346852597466,0.8764912466469741,2026-06-17 22:00:00+00:00,4.43125186507124,0.9391807360654009,SIN6,SIH7
