method,observations,annualized_sharpe,per_obs_sharpe,skew,excess_kurtosis,n_trials,expected_max_sharpe_per_obs,probabilistic_sharpe_ratio,deflated_sharpe_ratio,fixed_universe_annualized_sharpe,fixed_universe_total_return
mahalanobis,2624,-5.070140658180346,-0.019224949004317794,-2.1783726552212537,32.168462309841445,10,0.0010994926047299962,0.1576301844918122,0.14419070258554673,-5.070140658180346,-0.027121509402072586
zscore,2624,7.733936145917427,0.029325523300427515,5.795439084035374,91.89314102150873,10,0.0037723964519832203,0.9483256233845503,0.9220942914808407,7.733936145917427,0.02196292991477078
