start_ts,end_ts,duration_minutes,start_md,peak_md,end_md,shock_threshold,normal_threshold,complex_trades,complex_notional,dominant_signed_root,dominant_signed_share,dominant_asset_ret_bp,dominant_flow_signed_ret_bp,max_abs_asset,max_abs_asset_return_bp,cross_asset_range_bp,cross_asset_std_bp,complex_mean_ret_bp,flags_count,flag_long_duration,flag_large_single_asset_move,flag_large_cross_asset_range,flag_large_complex_move,GC_ret_bp,SI_ret_bp,HG_ret_bp,PL_ret_bp,PA_ret_bp,GC_runup_bp,SI_runup_bp,HG_runup_bp,PL_runup_bp,PA_runup_bp,GC_drawdown_bp,SI_drawdown_bp,HG_drawdown_bp,PL_drawdown_bp,PA_drawdown_bp,GC_ret_robust_z,SI_ret_robust_z,HG_ret_robust_z,PL_ret_robust_z,PA_ret_robust_z
2026-04-02 20:35:00+00:00,2026-04-05 22:00:00+00:00,4405.0,7.286562974716513,7.286562974716513,1.212703079674277,5.664911163882851,2.144041517042262,3699.0,1623281985.0,PL,-0.041306048253378,-117.042652206302,117.042652206302,PA,182.942071951952,180.28779190982598,66.72310725589425,-97.7166950868648,4,True,True,True,True,-69.63608188840401,-116.30838934554,-2.654280042126,-117.042652206302,-182.942071951952,10.424978338985,12.991898986287,77.547092873935,0.9987515613740784,0.0,-69.63608188840401,-116.30838934554,-2.654280042126,-117.042652206302,-182.942071951952,-17.0765084311772,-15.270084192815707,-0.47678323737282646,-13.975535585895223,-14.054429138974143
2026-02-11 04:55:00+00:00,2026-02-11 07:10:00+00:00,135.0,5.521906466792025,6.374787161102825,1.168819725128026,5.16328945663074,2.102514630460891,9750.0,5127439227.5,GC,-0.2703293177457689,25.015031904072,-25.015031904072,SI,158.10128979071,144.60942502380502,58.40914808369203,65.8251955106496,4,True,True,True,True,25.015031904072,158.10128979071,13.491864766905001,47.193041354356,85.324749737205,34.846327674102,158.10128979071,45.462277325145,47.193041354356,99.47502802868101,0.0,-42.667381565353004,-0.8438462517146306,-38.009477730972996,0.0,6.134311288515868,20.75705819400957,2.4235178126151835,5.6351083679468665,6.555029338998667
2025-10-19 23:55:00+00:00,2025-10-20 00:10:00+00:00,15.0,6.67517635610838,7.431385597948268,1.0166379707193036,5.287523091869988,2.051931273394575,4664.0,1936117662.5,GC,-0.1103707225597712,-31.343186134105,31.343186134105,PL,193.40797518424299,166.29544163048698,72.84296832674848,-83.99993347705261,3,False,True,True,True,-31.343186134105,-43.785521242192,-27.112533553756,-193.40797518424299,-124.350451270967,0.0,0.0,0.0,0.0,0.0,-31.343186134105,-43.785521242192,-27.112533553756,-193.40797518424299,-226.322782876886,-7.686132932302853,-5.74858442763081,-4.870172444496543,-23.093974622336777,-9.553158478746612
2025-10-13 00:30:00+00:00,2025-10-13 00:40:00+00:00,10.0,8.916284829424056,8.916284829424056,0.6998764775460301,5.389157454432916,2.125990502389539,9538.0,4001752862.5,HG,0.1029485015227952,38.418015040302,38.418015040302,SI,190.40395054153302,151.985935501231,62.84825675767346,79.491679374087,3,False,True,True,True,45.247833254506,190.40395054153302,38.418015040302,60.128856526819,63.259741507274995,45.247833254506,190.40395054153302,38.418015040302,60.128856526819,63.259741507274995,0.0,0.0,0.0,0.0,0.0,11.095900072340797,24.998062235872744,6.90095441838974,7.179715755659377,4.8598966048516505
2025-05-09 20:30:00+00:00,2025-05-11 22:00:00+00:00,2970.0,10.15473571047019,10.15473571047019,0.5551659563014226,5.817669563891624,2.042100345027107,4814.0,2173682982.5,SI,-0.1310981614489093,-54.844744421593,54.844744421593,GC,165.407983384717,284.00545231224,106.84188079086132,-10.210811757882997,3,True,True,True,False,-165.407983384717,-54.844744421593,118.597468927523,9.992007226218,40.609192863154,0.0,0.0,118.597468927523,9.992007226218,40.609192863154,-165.407983384717,-54.844744421593,0.0,-1.999600086648,0.0,-40.56217331956892,-7.200545631864166,21.30343606630011,1.193100548664882,3.1197800341740507
2026-02-06 01:40:00+00:00,2026-02-06 02:00:00+00:00,20.0,5.096120869155732,5.096120869155732,1.7437305890208257,5.002452614100364,2.0144373411637333,5536.0,2611101600.0,SI,0.0423510701255921,22.145238896280002,22.145238896280002,PA,165.2930195121,143.14778061581998,52.63608927339698,78.3020838032806,3,False,True,True,True,62.634402198947996,22.145238896280002,70.114222378039,71.323536031036,165.2930195121,69.731930887009,144.837462711349,70.114222378039,116.109279474923,239.253295020107,0.0,0.0,0.0,0.0,0.0,15.359521504184285,2.907439990520168,12.59448340066779,8.516421980567126,12.698549902233642
2026-02-09 01:10:00+00:00,2026-02-09 01:15:00+00:00,5.0,5.63085459997744,5.63085459997744,1.8688909788869743,4.902000621928973,1.986231757750549,2550.0,1218172830.0,SI,0.2445198727102859,153.563389185862,153.563389185862,SI,153.563389185862,161.19147787205702,61.21989056022237,51.308844516303395,3,False,True,True,True,23.386260336568,153.563389185862,-7.628088686195,52.660415358509,34.562246386773005,23.386260336568,153.563389185862,0.0,52.660415358509,34.562246386773005,0.0,0.0,-7.628088686195,0.0,0.0,5.734895775025076,20.161278949841783,-1.3702189524274904,6.287942856196138,2.6552265290525665
2026-02-13 05:05:00+00:00,2026-02-13 05:30:00+00:00,25.0,6.767880315981048,6.767880315981048,1.1749593991934806,5.60339250100041,2.184710539133223,3179.0,1301885180.0,GC,-0.1102673032986824,-19.833127813786,19.833127813786,SI,135.763458534743,115.93033072095699,43.80769385752749,-74.93190203718879,3,False,True,True,True,-19.833127813786,-135.763458534743,-48.197012139068,-86.982855432005,-83.883056266342,9.002071084118,0.0,0.0,0.0,0.0,-19.833127813786,-135.763458534743,-53.37478236175,-86.982855432005,-89.901714287332,-4.863578839365022,-17.824332825849304,-8.657536927021587,-10.386230733306224,-6.444271991002261
2026-02-20 03:35:00+00:00,2026-02-20 03:40:00+00:00,5.0,6.663256635098141,6.663256635098141,1.9087881918565093,6.117176805143325,2.3453627329954028,1135.0,578423740.0,GC,0.1509116453265237,-21.357506696233,-21.357506696233,SI,114.11111705597399,103.65359976308,41.44209822341189,-47.701269956135796,3,False,True,True,True,-21.357506696233,-114.11111705597399,-10.457517292894,-59.973095214855,-32.607113520723,0.0,0.0,0.0,0.0,0.0,-21.357506696233,-114.11111705597399,-10.457517292894,-59.973095214855,-32.607113520723,-5.237394656287792,-14.981605149773225,-1.8784637908043431,-7.161116999417749,-2.5050244676568902
2026-02-03 07:20:00+00:00,2026-02-03 07:30:00+00:00,10.0,5.857998167303459,5.857998167303459,1.636789633857768,5.315309452052715,2.0375541706992437,4559.0,2476516422.5,HG,-0.0624346447085335,21.422105910007,-21.422105910007,PA,110.19395249610899,120.67979756735299,45.96811129435718,48.967695167433796,3,False,True,True,True,55.608691591917,-10.485845071244,21.422105910007,68.09957091038,110.19395249610899,55.608691591917,17.452011410306,21.422105910007,68.09957091038,110.19395249610899,0.0,-10.485845071244,0.0,0.0,0.0,13.63664159534274,-1.376682610529655,3.8480118318396515,8.131462835998228,8.46559285338586
2026-02-03 06:05:00+00:00,2026-02-03 06:10:00+00:00,5.0,5.508586679131831,5.508586679131831,1.833191945910188,5.197957486921197,2.0364626075730183,2140.0,862193770.0,GC,0.0683501786547332,29.435094274354,29.435094274354,SI,121.80709474466501,92.37200047031101,40.60625564755311,67.4509278077438,2,False,True,False,True,29.435094274354,121.80709474466501,42.73331736627,43.804104624749,99.47502802868101,29.435094274354,121.80709474466501,42.73331736627,43.804104624749,99.47502802868101,0.0,0.0,0.0,0.0,0.0,7.21822109914263,15.992007132928617,7.676103905468557,5.230450707084156,7.6421170789721495
2025-12-16 02:40:00+00:00,2025-12-16 02:50:00+00:00,10.0,7.543822846645465,7.543822846645465,1.2987342054266202,7.293289226924093,2.512366880843253,4426.0,1809730537.5,PL,0.0529720555042183,-57.155337302504996,-57.155337302504996,PA,118.27279643277599,80.61405981578599,33.85005639262525,-68.3515689823392,2,False,True,False,True,-37.658736616990005,-86.601076583132,-42.069897976293,-57.155337302504996,-118.27279643277599,0.0,0.0,0.0,0.0,0.0,-37.658736616990005,-86.601076583132,-42.069897976293,-57.155337302504996,-118.27279643277599,-9.234863822150205,-11.369822401066685,-7.55693515180691,-6.824661226806977,-9.086245819766052
2025-06-11 08:50:00+00:00,2025-06-11 09:05:00+00:00,15.0,8.15873636052946,8.15873636052946,1.8480175841736792,7.471434244958733,2.5024514104773217,6571.0,2278514667.5,HG,-0.1280870255880635,-117.32471184081601,117.32471184081601,SI,117.874171816505,85.746585876385,36.618524412013265,-86.00860470887021,2,False,True,False,True,-32.12758594012,-117.874171816505,-117.32471184081601,-66.847296513641,-95.869257433269,0.0,0.0,0.0,0.0,9.082652758811,-32.12758594012,-117.874171816505,-117.32471184081601,-66.847296513641,-95.869257433269,-7.878487377550001,-15.475655177796314,-21.074813149894005,-7.981934394314565,-7.365105636038866
2025-04-30 07:15:00+00:00,2025-04-30 07:35:00+00:00,20.0,7.024544525720594,7.024544525720594,1.882486561421646,5.291449232682216,1.9563010886887184,4551.0,1342908825.0,HG,-0.1120593253432657,-117.779492978791,117.779492978791,HG,117.779492978791,128.320233914706,52.54170697811007,-24.9824757728202,2,False,True,True,False,10.540740935914998,0.0,-117.779492978791,-12.290046610452,-5.383580210773,10.540740935914998,18.099552452395,0.0,13.297194206005,16.133372684672,0.0,0.0,-117.779492978791,-12.290046610452,-10.770060276374002,2.5848532338661205,0.0,-21.156504614177532,-1.4674990742172769,-0.4135907381991652
