variant,root,observations,active_bars,gross_excess_return,price_return,carry_return,cost_return,net_return,turnover,mean_score,mean_pressure_bp,target_months,lookback,score_method,cost_multiplier
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,GC,58460,46926,0.14556692362912055,0.14859463203381262,-0.003027708404692071,0.0,0.14556692362912055,923.4000000000001,0.05242789451602221,2.163155060259627,1,1d,pressure_vol_scaled,0.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,HG,57712,46402,-0.09898374547126891,-0.10138722911517203,0.002403483643903099,0.0,-0.09898374547126891,915.8000000000001,0.03428751077399781,2.706059735767111,1,1d,pressure_vol_scaled,0.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,PA,49538,40192,0.3226653291988211,0.31946397830043893,0.0032013508983822327,0.0,0.3226653291988211,737.4000000000001,0.06877693232238459,4.1652081612933145,1,1d,pressure_vol_scaled,0.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,PL,58788,47688,0.04572855732594619,0.04528454281350847,0.0004440145124377346,0.0,0.04572855732594619,888.6,0.01399340109963469,0.5598861036469274,1,1d,pressure_vol_scaled,0.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,SI,58118,46404,0.22243800955309576,0.22352473961278765,-0.0010867300596919093,0.0,0.22243800955309576,908.6,0.04433843752941359,3.2236438644225878,1,1d,pressure_vol_scaled,0.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,GC,58460,46926,0.14556692362912055,0.14859463203381262,-0.003027708404692071,0.05085978034567466,0.09470714328344589,923.4000000000001,0.05242789451602221,2.163155060259627,1,1d,pressure_vol_scaled,1.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,HG,57712,46402,-0.09898374547126891,-0.10138722911517203,0.002403483643903099,0.0732991836080913,-0.17228292907936021,915.8000000000001,0.03428751077399781,2.706059735767111,1,1d,pressure_vol_scaled,1.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,PA,49538,40192,0.3226653291988211,0.31946397830043893,0.0032013508983822327,0.41249300764497493,-0.0898276784461538,737.4000000000001,0.06877693232238459,4.1652081612933145,1,1d,pressure_vol_scaled,1.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,PL,58788,47688,0.04572855732594619,0.04528454281350847,0.0004440145124377346,0.22776439226944178,-0.1820358349434956,888.6,0.01399340109963469,0.5598861036469274,1,1d,pressure_vol_scaled,1.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,SI,58118,46404,0.22243800955309576,0.22352473961278765,-0.0010867300596919093,0.16986352589272888,0.05257448366036688,908.6,0.04433843752941359,3.2236438644225878,1,1d,pressure_vol_scaled,1.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,GC,58460,46926,0.14556692362912055,0.14859463203381262,-0.003027708404692071,0.10171956069134933,0.04384736293777122,923.4000000000001,0.05242789451602221,2.163155060259627,1,1d,pressure_vol_scaled,2.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,HG,57712,46402,-0.09898374547126891,-0.10138722911517203,0.002403483643903099,0.1465983672161826,-0.2455821126874515,915.8000000000001,0.03428751077399781,2.706059735767111,1,1d,pressure_vol_scaled,2.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,PA,49538,40192,0.3226653291988211,0.31946397830043893,0.0032013508983822327,0.8249860152899499,-0.5023206860911287,737.4000000000001,0.06877693232238459,4.1652081612933145,1,1d,pressure_vol_scaled,2.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,PL,58788,47688,0.04572855732594619,0.04528454281350847,0.0004440145124377346,0.45552878453888357,-0.4098002272129374,888.6,0.01399340109963469,0.5598861036469274,1,1d,pressure_vol_scaled,2.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,SI,58118,46404,0.22243800955309576,0.22352473961278765,-0.0010867300596919093,0.33972705178545776,-0.117289042232362,908.6,0.04433843752941359,3.2236438644225878,1,1d,pressure_vol_scaled,2.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,GC,58460,46926,0.14556692362912055,0.14859463203381262,-0.003027708404692071,0.15257934103702397,-0.007012417407903426,923.4000000000001,0.05242789451602221,2.163155060259627,1,1d,pressure_vol_scaled,3.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,HG,57712,46402,-0.09898374547126891,-0.10138722911517203,0.002403483643903099,0.21989755082427392,-0.31888129629554285,915.8000000000001,0.03428751077399781,2.706059735767111,1,1d,pressure_vol_scaled,3.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,PA,49538,40192,0.3226653291988211,0.31946397830043893,0.0032013508983822327,1.2374790229349248,-0.9148136937361038,737.4000000000001,0.06877693232238459,4.1652081612933145,1,1d,pressure_vol_scaled,3.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,PL,58788,47688,0.04572855732594619,0.04528454281350847,0.0004440145124377346,0.6832931768083254,-0.6375646194823792,888.6,0.01399340109963469,0.5598861036469274,1,1d,pressure_vol_scaled,3.0
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,SI,58118,46404,0.22243800955309576,0.22352473961278765,-0.0010867300596919093,0.5095905776781866,-0.2871525681250908,908.6,0.04433843752941359,3.2236438644225878,1,1d,pressure_vol_scaled,3.0
