variant,target_months,lookback,lookback_bars,score_method,entry_threshold,exit_threshold,funding_scaled_filter,cost_multiplier,split,observations,active_fraction,gross_excess_return,price_return,carry_return,cost_return,net_return,annualized_net_return,sharpe,tstat,max_drawdown,turnover,gross_to_cost
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,0.0,full,59058,0.9977141115513563,0.6374150742357145,0.6354806636453756,0.001934410590339085,0.0,0.6374150742357145,0.06375168907594497,0.37406953586098307,1.182817272619244,-0.24543930869410369,4373.799999999999,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,0.0,train,41341,0.9971215016569507,0.5601394724948388,0.5551280753422047,0.005011397152634099,0.0,0.5601394724948388,0.08005645508021256,0.5561669758605939,1.4711437429699195,-0.1981325062117884,3035.4000000000005,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,0.0,test,17603,0.9990910640231778,0.05538346092300114,0.058601164929268174,-0.00321770400626708,0.0,0.05538346092300114,0.01856989819656625,0.08415029946708254,0.14532520695936876,-0.23371904958562686,1332.4,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,1.0,full,59058,0.9977141115513563,0.6374150742357145,0.6354806636453756,0.001934410590339085,0.9342798897609115,-0.29686481552519695,-0.029691223477327843,-0.17418027446038137,-0.550762404928545,-0.514241007867718,4373.799999999999,0.6822528037062141
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,1.0,train,41341,0.9971215016569507,0.5601394724948388,0.5551280753422047,0.005011397152634099,0.6442160551408945,-0.08407658264605589,-0.01201642357379799,-0.08345726886819471,-0.22075679468530282,-0.3668793562207138,3035.4000000000005,0.8694900849255183
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx1,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,1.0,test,17603,0.9990910640231778,0.05538346092300114,0.058601164929268174,-0.00321770400626708,0.2885495299340959,-0.23316606901109477,-0.07817984091765823,-0.35422854916694096,-0.6117427691239488,-0.33472415538717304,1332.4,0.19193744982239483
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,2.0,full,59058,0.9977141115513563,0.6374150742357145,0.6354806636453756,0.001934410590339085,1.868559779521823,-1.2311447052861086,-0.1231341360306007,-0.7219994048657205,-2.282980261759038,-1.386848805521493,4373.799999999999,0.34112640185310705
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,2.0,train,41341,0.9971215016569507,0.5601394724948388,0.5551280753422047,0.005011397152634099,1.288432110281789,-0.7282926377869504,-0.1040893022278085,-0.7224555411934973,-1.9110015429380074,-0.8334048630827703,3035.4000000000005,0.43474504246275913
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx2,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,2.0,test,17603,0.9990910640231778,0.05538346092300114,0.058601164929268174,-0.00321770400626708,0.5770990598681918,-0.5217155989451907,-0.17492958003188272,-0.7923433433045745,-1.3683547304981158,-0.6053598909357757,1332.4,0.09596872491119741
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,3.0,full,59058,0.9977141115513563,0.6374150742357145,0.6354806636453756,0.001934410590339085,2.8028396692827346,-2.1654245950470203,-0.21657704858387353,-1.268924907181571,-4.012372444114029,-2.2920843493625975,4373.799999999999,0.2274176012354047
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,3.0,train,41341,0.9971215016569507,0.5601394724948388,0.5551280753422047,0.005011397152634099,1.9326481654226835,-1.3725086929278447,-0.196162180881819,-1.3601068696758227,-3.5976834259133166,-1.4438848082629903,3035.4000000000005,0.2898300283085061
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0_costx3,1,1d,24,pressure_vol_scaled,0.5,0.0,0.0,3.0,test,17603,0.9990910640231778,0.05538346092300114,0.058601164929268174,-0.00321770400626708,0.8656485898022876,-0.8102651288792866,-0.2716793191461072,-1.2299487774192348,-2.1240870413989725,-0.8858344149030052,1332.4,0.06397914994079827
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0p02_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.02,0.0,full,59058,0.26771986860374547,0.1342111227078719,0.1354161773689343,-0.0012050546610623979,0.0,0.1342111227078719,0.01342325607166562,0.5202151665923075,1.644933429576453,-0.042757195016998525,1022.0,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0p02_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.02,0.0,train,41341,0.18729590479185312,0.0232147825392782,0.022957818759747946,0.00025696377953026225,0.0,0.0232147825392782,0.0033179114967116564,0.1830887527449577,0.4842967754281497,-0.042757195016998525,536.6,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0p02_costx0,1,1d,24,pressure_vol_scaled,0.5,0.0,0.02,0.0,test,17603,0.4524796909617679,0.10576680279864153,0.1072118413134096,-0.001445038514768042,0.0,0.10576680279864153,0.035463272388804,0.9296597011050978,1.6054962290149912,-0.034356543750857775,482.2,inf
target1m_lb1d_pressure_vol_scaled_entry0p5_exit0_filt0p02_costx1,1,1d,24,pressure_vol_scaled,0.5,0.0,0.02,1.0,full,59058,0.26771986860374547,0.1342111227078719,0.1354161773689343,-0.0012050546610623979,0.13357986393695742,0.000631258770914446,6.31359604070469e-05,0.0024451242945488687,0.007731544464417871,-0.07976873699708677,1022.0,1.0047257030536607
