method,observations,annualized_sharpe,per_obs_sharpe,skew,excess_kurtosis,n_trials,expected_max_sharpe_per_obs,probabilistic_sharpe_ratio,deflated_sharpe_ratio,fixed_universe_annualized_sharpe,fixed_universe_total_return
mahalanobis,43390,-0.8723380336841181,-0.0014792616368503866,-2.1993879127502907,158.11956379276572,73,0.039837374915321105,0.37880549192524315,3.3499890614576192e-18,0.8822274605256721,0.006339419226303322
zscore,43390,-2.8584546002610742,-0.004847206091642061,-2.440099279588219,121.06455180851967,73,0.02575143594889081,0.1549748574213427,7.305051216698391e-11,-0.5170662949330289,-0.002750817566298025
zscore_mahalanobis,43390,0.2554123090720554,0.0004331137882341587,0.2353942317524259,85.55557426031206,73,0.026946394991916083,0.5359446507815084,1.6663585974502614e-08,1.33791362148394,0.0035295193051709806
