root,sample,start,end,nobs,alpha,beta_rates_price,beta_usd,beta_rates_price_t,beta_usd_t,std_beta_rates_price,std_beta_usd,metal_bp_per_1pct_rates_price,metal_bp_per_1pct_usd,r2,residual_vol_ann,raw_vol_ann,macro_vol_share
GC,full_history,2010-06-07T00:00:00+00:00,2024-11-29T00:00:00+00:00,4484,0.0001671881520963748,0.7667090638383949,-0.9670116922539221,18.17131487108483,-30.729394745338755,0.23817638276610106,-0.40277856263901,76.6709063838395,-96.70116922539222,0.24886223463990487,0.12356445915712928,0.14257184629032768,0.1333179560184169
SI,full_history,2010-06-07T00:00:00+00:00,2024-11-29T00:00:00+00:00,4484,0.00018220525913214744,0.45936644464836784,-2.006753390964291,5.6183553055022495,-32.908679999783246,0.07545441782234508,-0.44196302221287126,45.93664446483678,-200.6753390964291,0.21141981697559353,0.2394414846056947,0.2696351253432327,0.11197962690915331
HG,full_history,2010-06-07T00:00:00+00:00,2024-11-29T00:00:00+00:00,4484,0.0001536380485113608,-1.0263478605386591,-1.524600333980078,-16.968806425099455,-33.797085413749144,-0.22627964022181135,-0.45068534205546856,-102.63478605386591,-152.4600333980078,0.22253063857216326,0.17713020082254166,0.20088660228820915,0.11825776928410847
PL,full_history,2010-06-07T00:00:00+00:00,2024-11-29T00:00:00+00:00,4484,-2.627059637285774e-05,0.055888817168761484,-1.685029793980915,0.8494305222251862,-34.33816260920583,0.011390652863558587,-0.4604662535898373,5.588881716876148,-168.5029793980915,0.21379387318942322,0.1926843246317902,0.21730923010520375,0.11331734718075326
PA,full_history,2010-06-07T00:00:00+00:00,2024-11-29T00:00:00+00:00,4482,0.000312155702349861,-0.5069751482225262,-1.865757247210621,-5.2313874077958955,-25.813388225687394,-0.07382218125962804,-0.36426295282243604,-50.69751482225262,-186.5757247210621,0.12975512597606254,0.28380339039193364,0.30422636083656956,0.06713083767125338
GC,trade_overlap,2023-06-22T00:00:00+00:00,2024-11-29T00:00:00+00:00,449,0.0006923893917304589,0.161406546499276,-1.1146740534825323,1.304834791775097,-9.452566073555005,0.06397956899586696,-0.46348480827084093,16.140654649927598,-111.46740534825324,0.2515009471623383,0.11385595149943988,0.13160127882119513,0.1348416024578727
SI,trade_overlap,2023-06-22T00:00:00+00:00,2024-11-29T00:00:00+00:00,449,0.0008411937746899523,-0.25027349787107567,-2.584039792426301,-0.9984824160445865,-10.814145330632483,-0.048872165395405155,-0.5293139776084135,-25.027349787107568,-258.4039792426301,0.2541319350864558,0.23070901353290155,0.2671366994477241,0.13636346481083583
HG,trade_overlap,2023-06-22T00:00:00+00:00,2024-11-29T00:00:00+00:00,449,0.000269820964541943,-0.5333047840237151,-2.037065445124599,-2.918065125978739,-11.692084074220846,-0.142547813315644,-0.5711596369268251,-53.330478402371504,-203.7065445124599,0.2570649468870949,0.16821728492341884,0.1951619704059034,0.138063196566648
PL,trade_overlap,2023-06-22T00:00:00+00:00,2024-11-29T00:00:00+00:00,449,0.0001694207391756075,-0.3198406611668718,-2.217827355074021,-1.49203154919959,-10.85274289761263,-0.07336999043130074,-0.5336788240023259,-31.98406611668718,-221.7827355074021,0.2471636106845564,0.1973084968129929,0.22740263168392205,0.13233855144103368
PA,trade_overlap,2023-06-22T00:00:00+00:00,2024-11-29T00:00:00+00:00,449,-0.0003726835187261099,-0.26907285458851904,-2.928026426064424,-0.7873189459149654,-8.98717617249737,-0.04012851272267591,-0.45806342556621477,-26.907285458851902,-292.8026426064424,0.19123115339114116,0.3145642064170215,0.34978171003003655,0.10068423420421513
