root,sample,start,end,nobs,alpha,beta_rates_price,beta_usd,beta_rates_price_t,beta_usd_t,std_beta_rates_price,std_beta_usd,metal_bp_per_1pct_rates_price,metal_bp_per_1pct_usd,r2,residual_vol_ann,raw_vol_ann,macro_vol_share,date
SI,rolling_252d,2024-02-09T00:00:00+00:00,2024-11-29T00:00:00+00:00,252,0.0012780787161295957,-1.0195607997096385,-3.1694704468754322,-2.348141425144416,-8.359630988195665,-0.15874651422432443,-0.5651543239121932,-101.95607997096386,-316.9470446875432,0.24104038617568557,0.26101788360587375,0.2996131914551771,0.1288171180375992,2024-11-29 00:00:00+00:00
GC,rolling_252d,2024-02-09T00:00:00+00:00,2024-11-29T00:00:00+00:00,252,0.0009981675114174322,-0.0807016818643369,-1.463540365463217,-0.3882911893258715,-8.064341954669315,-0.02573624364232829,-0.5345108904498928,-8.07016818643369,-146.3540365463217,0.2704853495322602,0.1249414191584873,0.1462815069266361,0.14588370202428524,2024-11-29 00:00:00+00:00
HG,rolling_252d,2024-02-09T00:00:00+00:00,2024-11-29T00:00:00+00:00,252,0.0005175583277698867,-0.8061832455518145,-2.439735618705797,-2.545975055599699,-8.823734302847896,-0.1699332443014231,-0.588947560047287,-80.61832455518146,-243.97356187057972,0.26021217313344325,0.19035356240950724,0.22131325135792912,0.1398908052656589,2024-11-29 00:00:00+00:00
PL,rolling_252d,2024-02-09T00:00:00+00:00,2024-11-29T00:00:00+00:00,252,0.0002975539119668124,-0.6237474839357755,-2.322531371863066,-1.742759203836796,-7.431550729716476,-0.12044175882361022,-0.5135930647810578,-62.37474839357755,-232.2531371863066,0.20688131868618287,0.21515567557116472,0.24159264971230363,0.10942789100836026,2024-11-29 00:00:00+00:00
PA,rolling_252d,2024-02-09T00:00:00+00:00,2024-11-29T00:00:00+00:00,252,0.0005772383153304697,-0.48309043681813435,-3.2057784449771276,-0.8646546315469275,-6.571083952372585,-0.06062328594625539,-0.46071655304596965,-48.309043681813435,-320.57784449771276,0.18369515799953895,0.3358668593222841,0.37174143145712196,0.0965040996216634,2024-11-29 00:00:00+00:00
