label,variant,lookback_bars,entry_z,flow_z,rebalance_bars,train_observations,train_total_gross_return,train_total_cost_return,train_total_net_return,train_gross_to_cost,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_avg_turnover,train_avg_gross_exposure,train_active_fraction,test_observations,test_total_gross_return,test_total_cost_return,test_total_net_return,test_gross_to_cost,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_avg_turnover,test_avg_gross_exposure,test_active_fraction,full_observations,full_total_gross_return,full_total_cost_return,full_total_net_return,full_gross_to_cost,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_avg_turnover,full_avg_gross_exposure,full_active_fraction
ungated_residual_reversion_lb390_z2_fz0.5_rb3,ungated_residual_reversion,390,2.0,0.5,3,582,0.012608094794717434,0.0035913752066415922,0.009016719588075844,3.510659307164862,0.154926453403365,1.3548371197554319,7.8735967118979096,0.054982817869415807,-0.0031718558294849654,0.0411383185182313,0.09278350515463918,0.09278350515463918,412,0.0023529133687484735,0.010886412240244198,-0.008533498871495722,0.21613303968504635,-0.20712375901688646,-1.2859511956732383,-8.882259359641084,0.220873786407767,-0.011928813422990642,0.17615553786802907,0.46601941747572817,0.46601941747572817,994,0.01496100816346591,0.014477787446885788,0.0004832207165801211,1.0333766964291262,0.004861375418311078,0.05135133458334503,0.22835268087136398,0.12374245472837023,-0.012430520043970814,0.09710119011995834,0.24748490945674045,0.24748490945674045
ungated_residual_reversion_lb390_z2_fz1_rb3,ungated_residual_reversion,390,2.0,1.0,3,582,0.012608094794717434,0.0035913752066415922,0.009016719588075844,3.510659307164862,0.154926453403365,1.3548371197554319,7.8735967118979096,0.054982817869415807,-0.0031718558294849654,0.0411383185182313,0.09278350515463918,0.09278350515463918,412,0.0023529133687484735,0.010886412240244198,-0.008533498871495722,0.21613303968504635,-0.20712375901688646,-1.2859511956732383,-8.882259359641084,0.220873786407767,-0.011928813422990642,0.17615553786802907,0.46601941747572817,0.46601941747572817,994,0.01496100816346591,0.014477787446885788,0.0004832207165801211,1.0333766964291262,0.004861375418311078,0.05135133458334503,0.22835268087136398,0.12374245472837023,-0.012430520043970814,0.09710119011995834,0.24748490945674045,0.24748490945674045
non_transition_flow_confirmed_reversion_lb156_z2_fz1_rb3,non_transition_flow_confirmed_reversion,156,2.0,1.0,3,582,0.007974818048853282,0.004516071428571428,0.0034587466202818536,1.765875091877358,0.05942863608731707,1.2068905217009005,7.013809338941287,0.05154639175257732,-0.001444232451959004,0.05173048600883652,0.08762886597938144,0.08762886597938144,412,-0.0030338210795641503,0.0048888887551094395,-0.00792270983467359,-0.6205543287098659,-0.19229878239499007,-1.9430568871081693,-13.420987732583493,0.06067961165048544,-0.006408354150857751,0.07910823228332427,0.13106796116504854,0.13106796116504854,994,0.004940996969289133,0.009404960183680866,-0.004463963214391736,0.5253607535588046,-0.04490908666390076,-0.8934706201558014,-3.973147203433151,0.05533199195171026,-0.008941023310769503,0.0630782037805558,0.1056338028169014,0.1056338028169014
non_transition_flow_confirmed_reversion_lb156_z2_fz0.5_rb3,non_transition_flow_confirmed_reversion,156,2.0,0.5,3,582,0.008101955279028072,0.0051375,0.002964455279028073,1.5770229253582624,0.05093565771525899,0.8300509632664652,4.8238171509961925,0.058419243986254296,-0.0019797139798235514,0.058848797250859106,0.10824742268041238,0.10824742268041238,412,0.0019369713915981497,0.006876573893123826,-0.004939602501525675,0.2816768090771203,-0.11989326460013773,-0.9497727451356787,-6.560223967595283,0.09223300970873786,-0.0043626796475509984,0.11127142221883213,0.1820388349514563,0.1820388349514563,994,0.010038926670626223,0.012014073893123825,-0.001975147222497603,0.8355972137288031,-0.019870696403396407,-0.31297778562360323,-1.3917713527841349,0.07243460764587525,-0.005955397166033298,0.0805772896923127,0.13883299798792756,0.13883299798792756
stable_flow_confirmed_reversion_lb156_z1.5_fz1_rb3,stable_flow_confirmed_reversion,156,1.5,1.0,3,582,0.0039016292963487396,0.002271428571428571,0.0016302007249201682,1.7176984323547915,0.02801032173402351,0.6581084712909699,3.824578334969233,0.018900343642611683,-0.0012753567537232347,0.026018654884634264,0.041237113402061855,0.041237113402061855,412,0.000284019708685485,0.0027428571428571424,-0.0024588374341716576,0.10354885212491644,-0.05968052024688489,-2.5798810608459277,-17.81962859598467,0.024271844660194174,-0.002458837434171657,0.04438280166435506,0.07281553398058252,0.07281553398058252,994,0.004185649005034224,0.005014285714285714,-0.0008286367092514894,0.8347448158187912,-0.00833638540494456,-0.3119213463701762,-1.3870735053444296,0.02112676056338028,-0.003734194187894892,0.03363035354987066,0.05432595573440644,0.05432595573440644
stable_flow_confirmed_reversion_lb156_z2_fz0.5_rb6,stable_flow_confirmed_reversion,156,2.0,0.5,6,582,0.002549245944901115,0.0011999999999999997,0.0013492459449011153,2.12437162075093,0.023182920015483083,0.6480405969857354,3.7660691748129143,0.024054982817869417,-0.0013470738852774055,0.013745704467353948,0.04123711340206185,0.041237113402061855,412,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994,0.002549245944901115,0.0011999999999999997,0.0013492459449011153,2.12437162075093,0.013573902866208402,0.6481746240154432,2.8823479324862618,0.014084507042253521,-0.0013470738852774055,0.008048289738430584,0.024144869215291746,0.02414486921529175
stable_flow_confirmed_reversion_lb390_z2_fz0.5_rb3,stable_flow_confirmed_reversion,390,2.0,0.5,3,582,0.0025320314819216837,0.001166729374950102,0.0013653021069715814,2.1701960508451004,0.023458799088858784,0.6014801093968306,3.4954842486702495,0.013745704467353952,-0.001349428620984838,0.013364597651203918,0.02577319587628866,0.02577319587628866,412,-0.003647367624544008,0.0021,-0.005747367624544008,-1.7368417259733373,-0.13949921418796135,-2.3985622029800484,-16.567231827135693,0.014563106796116505,-0.005747367624544008,0.03398058252427184,0.05825242718446602,0.05825242718446602,994,-0.0011153361426223243,0.0032667293749501017,-0.004382065517572427,-0.3414228773203353,-0.044085166172760835,-1.324474051985475,-5.88976319640844,0.014084507042253521,-0.005897367624544008,0.021909653755533883,0.039235412474849095,0.039235412474849095
non_transition_flow_confirmed_reversion_lb156_z2_fz0.5_rb6,non_transition_flow_confirmed_reversion,156,2.0,0.5,6,582,0.005014187465819896,0.002999999999999999,0.002014187465819897,1.6713958219399658,0.03460803205876112,0.5800218512943418,3.370780202718725,0.054982817869415807,-0.0018223692296422604,0.03436426116838488,0.10309278350515463,0.10309278350515463,412,-0.0033203839205433886,0.0034916748699806554,-0.006812058790524043,-0.950943041429795,-0.1653412327797098,-1.210601044460655,-8.3618044713761,0.07766990291262135,-0.008853812543076002,0.05649959336538277,0.17475728155339806,0.17475728155339806,994,0.001693803545276509,0.006491674869980655,-0.004797871324704145,0.26091934349779855,-0.0482683231861584,-0.7252449360004017,-3.2250695481979936,0.06438631790744467,-0.008853812543076003,0.04353906686774417,0.13279678068410464,0.13279678068410464
ungated_residual_reversion_lb390_z1.5_fz0.5_rb3,ungated_residual_reversion,390,1.5,0.5,3,582,0.00835953371154919,0.005456517724393482,0.002903015987155707,1.5320272257483398,0.049879999779307675,0.49668226593405096,2.886454614280336,0.08075601374570447,-0.005749575983434824,0.06250306671699292,0.17010309278350516,0.17010309278350516,412,-0.019229032636052155,0.015280484341524962,-0.03450951697757712,-1.2584046556559043,-0.8376096353780854,-3.1094038774840764,-21.477122760656556,0.33495145631067963,-0.035701527119416626,0.24725702818001552,0.7961165048543689,0.7961165048543689,994,-0.010869498924502964,0.020737002065918445,-0.03160650099042141,-0.5241596104369945,-0.3179728469861309,-2.506247388918451,-11.144954942845889,0.18611670020120724,-0.0389696976984296,0.13908116744412102,0.4295774647887324,0.4295774647887324
ungated_residual_reversion_lb390_z1.5_fz1_rb3,ungated_residual_reversion,390,1.5,1.0,3,582,0.00835953371154919,0.005456517724393482,0.002903015987155707,1.5320272257483398,0.049879999779307675,0.49668226593405096,2.886454614280336,0.08075601374570447,-0.005749575983434824,0.06250306671699292,0.17010309278350516,0.17010309278350516,412,-0.019229032636052155,0.015280484341524962,-0.03450951697757712,-1.2584046556559043,-0.8376096353780854,-3.1094038774840764,-21.477122760656556,0.33495145631067963,-0.035701527119416626,0.24725702818001552,0.7961165048543689,0.7961165048543689,994,-0.010869498924502964,0.020737002065918445,-0.03160650099042141,-0.5241596104369945,-0.3179728469861309,-2.506247388918451,-11.144954942845889,0.18611670020120724,-0.0389696976984296,0.13908116744412102,0.4295774647887324,0.4295774647887324
