,total_flow_volume
GC,826357.0
SI,253435.0
HG,259270.0
PL,95500.0
PA,31979.0
CL,2321257.0
SR3,19543096.0
ZQ,1953400.0
ZT,8531928.0
ZF,13260795.0
ZN,17757030.0
TN,5216623.0
ZB,4020966.0
UB,3149926.0
