window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
120D,GC,cheap,2021-02-10 10:45:00+00:00,2021-02-10 10:45:00+00:00,1,2.5278298575848694,60.68596573647315,-2.5278298575848694,-60.68596573647315,0.0
120D,GC,cheap,2021-02-10 12:45:00+00:00,2021-02-11 13:45:00+00:00,25,3.135213769644958,74.46304086333514,-2.7116845432093974,-61.037814586517115,25.0
120D,GC,cheap,2021-02-11 15:45:00+00:00,2021-02-12 13:45:00+00:00,22,2.8988447402001096,66.26090468937477,-2.5297008977248927,-57.92655193072299,22.0
120D,GC,cheap,2021-02-12 17:45:00+00:00,2021-02-12 21:45:00+00:00,5,2.6488244011108986,60.60448963816042,-2.5152370853303796,-57.800676685749806,4.0
120D,GC,cheap,2021-02-14 23:45:00+00:00,2021-02-19 21:45:00+00:00,111,5.806337606193536,137.8424466047268,-5.565250513070801,-134.1920538277847,118.0
120D,GC,cheap,2021-02-21 23:45:00+00:00,2021-02-26 21:45:00+00:00,115,5.697741024557573,148.31235507473878,-5.207278832825291,-138.80849709521783,118.0
120D,GC,cheap,2021-02-28 23:45:00+00:00,2021-03-05 21:45:00+00:00,115,5.105748328040747,135.99067791333624,-4.013293250637711,-111.65685149003565,118.0
120D,GC,cheap,2021-03-07 23:45:00+00:00,2021-03-12 21:45:00+00:00,115,5.65257915775986,156.27321802915768,-3.104974659194431,-86.38583645660766,118.0
120D,GC,cheap,2021-03-14 22:45:00+00:00,2021-03-16 00:45:00+00:00,26,3.2544184362402695,88.38826703480564,-2.5863673807425465,-71.96348757415511,26.0
120D,GC,cheap,2021-03-16 02:45:00+00:00,2021-03-16 03:45:00+00:00,2,2.568260268644079,71.4596724757263,-2.568260268644079,-71.4596724757263,1.0
120D,GC,cheap,2021-03-16 06:45:00+00:00,2021-03-16 08:45:00+00:00,3,2.686978694251729,74.76291238265188,-2.505617316488913,-69.71668524870194,2.0
120D,GC,cheap,2021-03-16 15:45:00+00:00,2021-03-16 15:45:00+00:00,1,2.5623604346445656,71.29551457848602,-2.5623604346445656,-71.29551457848602,0.0
120D,GC,cheap,2021-03-16 22:45:00+00:00,2021-03-19 20:45:00+00:00,69,3.289503889559833,91.52766696798906,-2.856473036466723,-79.47894927698374,70.0
120D,GC,cheap,2021-03-21 22:45:00+00:00,2021-03-23 01:45:00+00:00,27,3.0972161611208193,84.60759317311856,-2.6521647444737724,-73.79424363864152,27.0
120D,GC,rich,2021-05-18 07:45:00+00:00,2021-05-21 20:45:00+00:00,83,3.2464478805971693,192.1125733105375,3.1839711650980673,189.17792401600468,85.0
120D,GC,rich,2021-05-23 22:45:00+00:00,2021-05-28 20:45:00+00:00,115,3.8092103346257327,229.69707220752724,3.447031843741272,219.27568864323024,118.0
120D,GC,rich,2021-05-30 22:45:00+00:00,2021-06-04 20:45:00+00:00,111,3.5019219944253175,221.78518466270543,3.2856578279496986,210.72140145084148,118.0
120D,GC,rich,2021-06-06 22:45:00+00:00,2021-06-11 20:45:00+00:00,115,3.2911129541065196,219.19057980262357,2.548117305938083,205.74332770964426,118.0
120D,GC,rich,2021-10-01 12:45:00+00:00,2021-10-01 12:45:00+00:00,1,2.527484181774145,60.79414619762972,2.527484181774145,60.79414619762972,0.0
120D,GC,rich,2021-10-01 20:45:00+00:00,2021-10-01 20:45:00+00:00,1,2.5460222483128034,62.083830520904584,2.5460222483128034,62.083830520904584,0.0
120D,GC,rich,2021-10-03 22:45:00+00:00,2021-10-03 22:45:00+00:00,1,2.507727311461076,61.91714851783466,2.507727311461076,61.91714851783466,0.0
120D,GC,rich,2021-10-04 16:45:00+00:00,2021-10-04 16:45:00+00:00,1,2.5151488621669715,63.373942426806565,2.5151488621669715,63.373942426806565,0.0
120D,GC,rich,2021-10-05 18:45:00+00:00,2021-10-05 18:45:00+00:00,1,2.5008633079437392,65.35726115909877,2.5008633079437392,65.35726115909877,0.0
120D,GC,rich,2021-10-06 08:45:00+00:00,2021-10-06 08:45:00+00:00,1,2.5010179365870444,65.83387959490591,2.5010179365870444,65.83387959490591,0.0
120D,GC,rich,2021-10-06 10:45:00+00:00,2021-10-06 10:45:00+00:00,1,2.5368696794467893,66.9039085081375,2.5368696794467893,66.9039085081375,0.0
120D,GC,rich,2021-10-06 15:45:00+00:00,2021-10-07 00:45:00+00:00,9,2.6232565327841946,70.29674162714176,2.527597048861215,68.12120380646013,9.0
120D,GC,rich,2021-10-07 03:45:00+00:00,2021-10-07 05:45:00+00:00,3,2.5799837690702696,69.91413082449674,2.5234850902240633,68.52243717677595,2.0
120D,GC,cheap,2022-02-28 15:00:00+00:00,2022-03-01 11:00:00+00:00,20,3.085868396151459,80.40227412681965,-2.7015961893235696,-72.51968202609689,20.0
120D,GC,cheap,2022-03-01 23:00:00+00:00,2022-03-01 23:00:00+00:00,1,2.5115234710067447,68.19354314513193,-2.5115234710067447,-68.19354314513193,0.0
120D,GC,cheap,2022-03-02 01:00:00+00:00,2022-03-04 21:00:00+00:00,67,3.7247505806747285,110.51522610689243,-3.5631571171198995,-106.26350353870315,68.0
120D,GC,cheap,2022-03-06 23:00:00+00:00,2022-03-08 15:00:00+00:00,40,4.306938028599947,128.13624285141242,-2.5927904612757207,-79.43568703569746,40.0
120D,GC,cheap,2022-03-08 17:00:00+00:00,2022-03-10 05:00:00+00:00,35,4.126318248051477,128.64597536386975,-2.5014901042679725,-79.9134217443072,36.0
120D,GC,cheap,2022-06-08 06:30:00+00:00,2022-06-08 09:30:00+00:00,4,2.533530435232637,149.12016007174591,-2.522544956322499,-148.1742538922636,3.0
120D,GC,cheap,2022-06-08 11:30:00+00:00,2022-06-08 11:30:00+00:00,1,2.527995944772097,148.22539822090027,-2.527995944772097,-148.22539822090027,0.0
120D,GC,cheap,2022-09-22 00:00:00+00:00,2022-09-23 09:00:00+00:00,33,2.9836135315022423,96.24400347181687,-2.625179718439537,-84.19991986529547,33.0
120D,GC,cheap,2022-09-23 11:00:00+00:00,2022-09-23 11:00:00+00:00,1,2.5232555151682345,80.62438540036793,-2.5232555151682345,-80.62438540036793,0.0
120D,GC,cheap,2022-09-23 14:00:00+00:00,2022-09-23 20:00:00+00:00,7,2.777801178777476,88.31836933339703,-2.694948349039696,-85.51210052616793,6.0
120D,GC,cheap,2022-09-26 00:00:00+00:00,2022-09-26 00:00:00+00:00,1,2.5853396923301024,80.53920852715918,-2.5853396923301024,-80.53920852715918,0.0
120D,GC,cheap,2022-09-26 14:00:00+00:00,2022-09-26 14:00:00+00:00,1,2.5236133556562463,77.39183260842847,-2.5236133556562463,-77.39183260842847,0.0
120D,GC,cheap,2022-09-26 18:00:00+00:00,2022-09-26 18:00:00+00:00,1,2.5168938885153245,77.13908104162661,-2.5168938885153245,-77.13908104162661,0.0
120D,GC,cheap,2022-11-11 15:00:00+00:00,2022-11-11 16:00:00+00:00,2,2.5992733994239803,111.95232357474036,-2.5914089020202664,-111.58563116566765,1.0
120D,GC,cheap,2022-11-11 20:00:00+00:00,2022-11-11 21:00:00+00:00,2,2.630428835998182,113.19452407290227,-2.630428835998182,-113.19452407290227,1.0
120D,GC,cheap,2022-11-13 23:00:00+00:00,2022-11-14 09:00:00+00:00,11,3.0913267682358874,130.1051589372,-2.6222505421515185,-111.44021398507793,10.0
