window,root,nobs,median_abs_deviation_bp,p90_abs_deviation_bp,p95_abs_deviation_bp,p99_abs_deviation_bp,off_fair_fraction,extreme_off_fair_fraction,event_count
120D,GC,11820,49.9313961653848,164.3816930355838,200.36155178171396,222.32941797863933,0.14771573604060914,0.048477157360406094,52
120D,HG,11820,91.83130175360293,219.8474893569304,244.06968173934675,309.68580069121214,0.10439932318104907,0.05998307952622674,54
120D,PA,11820,202.53198872279083,555.0659494643667,645.7177801423395,800.2450886893664,0.19619289340101523,0.12411167512690355,59
120D,PL,11820,224.99441785382587,594.3963776685059,630.5923102138183,728.6013711110077,0.1727580372250423,0.050338409475465314,67
120D,SI,11820,98.19773549010223,220.17774460596067,263.0326616248729,357.39918210120476,0.09120135363790186,0.03527918781725888,30
20D,GC,11820,18.93588326736115,52.20034061735663,68.79955633596406,97.62559275958596,0.13705583756345177,0.049407783417935704,126
20D,HG,11820,40.39739899053512,111.09752634246871,131.20410713835133,159.48704713876216,0.15313028764805414,0.06446700507614213,162
20D,PA,11820,40.71796532616662,191.7511113996801,260.6801738359209,770.3536664930206,0.15219966159052453,0.06565143824027073,113
20D,PL,11820,56.26651675566252,155.3405681027655,187.54181739962624,273.28927579151036,0.15228426395939088,0.06742808798646362,126
20D,SI,11820,34.27234157001711,82.50741349177251,98.82420935171517,125.57309710268241,0.12072758037225043,0.04077834179357022,112
252D,GC,11820,100.81530396311427,183.69863921028897,206.82615652970114,252.5335251552598,0.2114213197969543,0.05583756345177665,48
252D,HG,11820,121.29168348636878,265.0883709516651,316.46256722696376,376.1667825793446,0.12402707275803722,0.007868020304568528,77
252D,PA,11820,403.2390808012615,630.5843800454257,695.8518626633738,818.3063650398898,0.17893401015228427,0.10109983079526226,51
252D,PL,11820,313.5558378401447,1011.2475520147295,1077.2431859674064,1124.123310969043,0.2356175972927242,0.11243654822335025,59
252D,SI,11820,174.25446557308314,329.0384028188506,352.4496181160367,402.43351927808845,0.0643824027072758,0.0015228426395939086,36
60D,GC,11820,38.520226754954855,105.91976149217102,124.92668506801282,193.45176318838955,0.18214890016920474,0.11489001692047378,98
60D,HG,11820,69.23891752732044,170.66471109297763,202.61764019966765,283.47671999655824,0.13671742808798645,0.07131979695431472,73
60D,PA,11820,102.2408476179834,363.1882324916526,470.9850276931066,776.0758872921058,0.21751269035532994,0.11480541455160745,91
60D,PL,11820,120.33406206927472,350.40944577401433,397.92966105543087,551.1473189384998,0.12952622673434855,0.05406091370558375,83
60D,SI,11820,63.062440108642846,167.96286106261633,192.49871177116106,249.0215808372851,0.0700507614213198,0.015651438240270727,60
