variant,gross_residual_return,cost_return,net_residual_return,net_raw_return,ann_return,ann_vol,residual_sharpe,residual_tstat,max_drawdown,hit_rate,mean_gross_exposure,mean_turnover,gross_to_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
z2.5_exit0.5_mdq90_normq50_topo_hold,0.2735079190280248,0.1453885669596212,0.12811935206840364,0.12374476402649459,0.007989625518742322,0.048872043928714894,0.1634804865210067,0.6546513628708392,-0.17686492003082332,0.05394704281118535,0.10220242514229151,0.15427503014733898,1.8812202688811575,592,0.5726351351351351,0.0022325181223916382,2.007851009587217,1.6689189189189189,4041
z2.5_exit0.5_mdq95_normq50_topo_hold,0.20498047684436085,0.08116759920103556,0.12381287764332535,0.11440702204141848,0.007721070320741892,0.03889385128419608,0.19851647666167813,0.794951646918334,-0.14282676744952488,0.030932937391734718,0.06211333828260331,0.0912224554021139,2.525397804814531,368,0.5516304347826086,0.0023931664952492964,1.7143007305892972,1.6929347826086956,4041
z2.5_exit0.5_mdq95_normq50_topo_exit,0.19473310685115752,0.08088305291414544,0.11385005393701207,0.09096931791496865,0.007099780646406098,0.03872468574380655,0.1833399163876134,0.7341776910870289,-0.13361729652615828,0.02994308339519921,0.06038109378866617,0.0908501353193261,2.4075884852894953,370,0.5540540540540541,0.002366923057518381,1.7051889625176668,1.6405405405405404,4041
z2.5_exit0.5_mdq90_normq50_topo_exit,0.2582384467593799,0.1453618330814685,0.1128766136779115,0.09877513952135503,0.007039076131361965,0.04874887461208163,0.1443946385916659,0.5782228139694815,-0.18196663500602042,0.05246226181638208,0.10047018064835436,0.15436576676368807,1.7765216720585062,596,0.5721476510067114,0.0021545935251960067,1.9778304995052904,1.6308724832214765,4041
z2.5_exit0.25_mdq95_normq50_topo_hold,0.18885513207670276,0.08084527855155793,0.1080098535251449,0.08880213899260608,0.0067355810661560295,0.0389064030094016,0.17312268791664961,0.6932631900011779,-0.14228933096990914,0.03192279138827023,0.06409304627567433,0.09093374798645772,2.3360069438843367,368,0.5597826086956522,0.002411265681572555,1.7228136984689366,1.7391304347826086,4041
z2.5_exit0.25_mdq90_normq50_topo_hold,0.2519300617459671,0.14447699692659183,0.10745306481937526,0.06602911616504256,0.006700859276041219,0.04834274880661689,0.13861146586526008,0.5550643197196338,-0.17607543981153206,0.05617421430339025,0.1056669141301658,0.15349139573341503,1.7437382220366315,592,0.5777027027027027,0.002265635197728202,2.0320594027633,1.7280405405405406,4041
z2.5_exit0.25_mdq95_normq50_topo_exit,0.17371769373049137,0.08068531923828084,0.09303237449221055,0.06794248097229012,0.005801573464993086,0.038679611906884445,0.14999047764386914,0.6006311376776445,-0.13497126879576213,0.030932937391734718,0.062360801781737196,0.09074702552802034,2.1530272839036084,370,0.5621621621621622,0.0023330231282769095,1.671426376189484,1.6837837837837837,4041
z2.5_exit0.25_mdq90_normq50_topo_exit,0.23177052112431415,0.14457485002205211,0.08719567110226203,0.0436375377660369,0.005437591961833713,0.048171840906021786,0.11287905671784239,0.4520198703373375,-0.19075888237527072,0.054689433308586985,0.10393466963622866,0.15376772997411453,1.6031178388838863,596,0.5771812080536913,0.0021552677436740978,1.9692090197349197,1.6879194630872483,4041
z1.5_exit0.5_mdq90_normq50_topo_exit,0.26566653694771325,0.17850725118103067,0.08715928576668262,0.10923155078355273,0.005435322943133883,0.04516958055721983,0.12033149026585573,0.4818628557769752,-0.18209360475560651,0.06607275426874536,0.12323682256867112,0.19301936892879729,1.4882674803965874,1046,0.5841300191204589,0.0013746993836342642,2.0152638061101182,1.5965583173996176,4041
z1.5_exit0.5_mdq90_normq50_topo_hold,0.2665349993041259,0.18037834297295416,0.08615665633117173,0.11564205164165395,0.005372798167645453,0.045424243630595745,0.11828041015583529,0.47364938383327865,-0.18637846182274992,0.06755753526354863,0.12645384805741153,0.19454322827608495,1.4776441279543744,1038,0.5857418111753372,0.001386120355471537,1.988615038380828,1.6358381502890174,4041
z1.5_exit0.5_mdq95_normq50_topo_hold,0.17417385633979368,0.0978926463602848,0.07628120997950887,0.06534715219920927,0.004756957415203226,0.037324529095094434,0.1274485581072859,0.5103628820564896,-0.1734178104107444,0.036872061370947784,0.07349665924276169,0.10874978083589813,1.7792333011282886,588,0.5544217687074829,0.0011712940836018676,1.2340493612261654,1.6581632653061225,4041
