variant,root,sign,events,mean_event_return,median_event_return,event_tstat,win_rate,mean_duration_days
z1.5_exit0.5_mdq95_normq75_topo_exit,SI,1.0,50,0.0027033245062638017,0.0029246604171190823,1.101627076916043,0.62,1.34
z2_exit0.5_mdq95_normq50_topo_hold,PA,-1.0,53,0.0026996580203934384,-0.0012589990111923771,0.4487912060987614,0.4339622641509434,1.6981132075471699
z2_exit0.25_mdq90_normq75_topo_exit,SI,1.0,59,0.0026923624875524453,0.0022366761714978497,1.153017257760885,0.6101694915254238,1.423728813559322
z2_exit0.25_mdq90_normq50_topo_hold,SI,1.0,59,0.0026895328802139773,0.0023648054340194838,1.0324217248500742,0.6271186440677966,1.6610169491525424
z2_exit0.5_mdq90_normq50_topo_hold,HG,-1.0,102,0.002671333605625528,0.0014803290219593062,1.2246861966123155,0.5882352941176471,1.5588235294117647
z1.5_exit0.25_mdq90_normq75_topo_exit,PA,1.0,101,0.002630130132737588,0.0020979749889335087,1.0579800708218745,0.5544554455445545,1.5247524752475248
z2_exit0.25_mdq95_normq50_topo_exit,PA,-1.0,55,0.0025874946444795497,-0.00034370740284860274,0.4402902288378109,0.4727272727272727,1.6727272727272726
z1.5_exit0.5_mdq95_normq50_topo_hold,PA,-1.0,64,0.002579356904180989,-0.0009101829308261001,0.5100838398490735,0.453125,1.65625
z2_exit0.25_mdq90_normq50_topo_exit,PA,1.0,79,0.002536691918552574,0.0009176563456355091,0.7898381068919261,0.5443037974683544,1.7974683544303798
z1.5_exit0.25_mdq95_normq50_topo_exit,SI,-1.0,62,0.0025164416700412056,0.0026233159371324955,1.8770722853064987,0.7096774193548387,1.596774193548387
z1.5_exit0.25_mdq95_normq50_topo_hold,SI,-1.0,62,0.0025164416700412056,0.0026233159371324955,1.8770722853064987,0.7096774193548387,1.596774193548387
z1.5_exit0.5_mdq95_normq50_topo_exit,SI,-1.0,62,0.0025164416700412056,0.0026233159371324955,1.8770722853064987,0.7096774193548387,1.596774193548387
z1.5_exit0.5_mdq95_normq50_topo_hold,SI,-1.0,62,0.0025164416700412056,0.0026233159371324955,1.8770722853064987,0.7096774193548387,1.596774193548387
z1.5_exit0.25_mdq95_normq75_topo_exit,SI,-1.0,62,0.0025084015896196838,0.0026233159371324955,1.8684852853142768,0.7096774193548387,1.532258064516129
z1.5_exit0.25_mdq95_normq75_topo_hold,SI,-1.0,62,0.0025084015896196838,0.0026233159371324955,1.8684852853142768,0.7096774193548387,1.532258064516129
z1.5_exit0.5_mdq95_normq75_topo_exit,SI,-1.0,62,0.0025084015896196838,0.0026233159371324955,1.8684852853142768,0.7096774193548387,1.532258064516129
