variant,split,start,end,bars,net_residual_return,net_raw_return,cost_return,residual_sharpe,residual_tstat,max_drawdown,events
z1.5_exit0.25_mdq90_normq50_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.06540631022570464,0.04837193275173933,0.1808269132787111,0.09070865376026067,0.3632393386638428,-0.19205467717855773,1036
z1.5_exit0.25_mdq90_normq50_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.13019749899362051,-0.09949795633476874,0.11142834599261393,-0.3965271961859619,-1.2529335171001637,-0.17724483223445525,597
z1.5_exit0.25_mdq90_normq50_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.19560380921932516,0.1478698890865081,0.06939856728609717,0.5409661336798108,1.330775292629809,-0.08053626042947101,439
z1.5_exit0.25_mdq90_normq50_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.017094442627574497,-0.03761826902248954,0.02334998870734449,-0.1840658520558538,-0.24569489091258864,-0.05797050278316253,136
z1.5_exit0.25_mdq90_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.060726270413268155,0.041349038503445526,0.17923712143301712,0.08438907185163651,0.3379328143361023,-0.20044485993665115,1044
z1.5_exit0.25_mdq90_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.13140431940284517,-0.09645698851995707,0.11037759215422224,-0.39788993759378577,-1.257239462320128,-0.1734823468022992,603
z1.5_exit0.25_mdq90_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.19213058981611333,0.1378060270234026,0.06885952927879485,0.5345441310913751,1.3149771828373147,-0.07434638593357182,441
z1.5_exit0.25_mdq90_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.012320354605165784,-0.028092841740438045,0.022765453253773025,-0.13306989265451072,-0.17762443383348964,-0.057210828683479265,136
z1.5_exit0.25_mdq90_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.0435930089549485,0.0076157575570652,0.17410629728822863,-0.06408431997740757,-0.2566232111529104,-0.22288242405973918,1043
z1.5_exit0.25_mdq90_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.17587532978492307,-0.1265524801419684,0.10632018102455418,-0.5934739272978864,-1.875239282926421,-0.19626802659773945,600
z1.5_exit0.25_mdq90_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1322823208299745,0.13416823769903363,0.06778611626367445,0.37979520066924677,0.9342952134027028,-0.10028736522817452,443
z1.5_exit0.25_mdq90_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.0639639840175056,-0.06998675823704613,0.022544619810467043,-0.7317957442211331,-0.9768160337103107,-0.08080873807539746,136
z1.5_exit0.25_mdq90_normq75_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.049821275888894664,0.0036637816035530735,0.17350423679767246,-0.07317889769213307,-0.2930421001737402,-0.23008260618639953,1051
z1.5_exit0.25_mdq90_normq75_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.18035295521585903,-0.1277520209170238,0.10565214803210317,-0.6036331293928997,-1.907339993632445,-0.20074565202867545,606
z1.5_exit0.25_mdq90_normq75_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.13053167932696433,0.13141580252057697,0.06785208876556928,0.3756757954629551,0.9241614872273259,-0.09521152564494026,445
z1.5_exit0.25_mdq90_normq75_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.05856498971791463,-0.06187570617622794,0.022405821449928948,-0.6722066557711386,-0.8972752909664619,-0.07540974377580649,136
z1.5_exit0.25_mdq95_normq50_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.04060119895395811,0.028511192861728624,0.09864238003994219,0.06784468257550665,0.2716814395208433,-0.18049773988277518,587
z1.5_exit0.25_mdq95_normq50_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.10841401292253519,-0.07231411610332143,0.06267858183656921,-0.3855123511739629,-1.2181291742103386,-0.15907699915362358,355
z1.5_exit0.25_mdq95_normq50_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1490152118764933,0.10082530896505004,0.03596379820337299,0.5047820690765424,1.2417625870960993,-0.08222124108847784,232
z1.5_exit0.25_mdq95_normq50_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.03714460393254704,-0.04460206180313522,0.014679858038521903,-0.48245936648174664,-0.6439967006021285,-0.05898388771455548,86
z1.5_exit0.25_mdq95_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.028746438753425446,0.010368126067759116,0.09777238368180437,0.04805221326000905,0.19242325227349363,-0.18491942067468348,593
z1.5_exit0.25_mdq95_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.11858523795194233,-0.07927741293381449,0.062319858562805544,-0.4173328054897146,-1.3186743931134635,-0.16349867994553186,360
z1.5_exit0.25_mdq95_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1473316767053678,0.0896455390015736,0.03545252511899882,0.5022703944636541,1.2355838740309748,-0.0750179816611857,233
z1.5_exit0.25_mdq95_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.03174560963295607,-0.03649100974231704,0.014541059677983812,-0.4141052837010176,-0.5527562628747378,-0.05721082868347928,86
z1.5_exit0.25_mdq95_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.023952338298719844,0.05464037086250685,0.0948193616888019,0.04251252032832364,0.17023976356000847,-0.18539663874643195,591
z1.5_exit0.25_mdq95_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.13643118204944404,-0.09976531449760297,0.05977940601368685,-0.5475175648520709,-1.7300278891400498,-0.15724855978715443,358
